category,key,support,coverage,unique_values,unique_ratio,median_value_length,top_value_share
Автотовары,"высота профиля, в процентах",346,0.009165077346895529,12,0.03468208092485549,2.0,0.17630057803468208
Автотовары,"диаметр, в дюймах",415,0.010992795083704175,14,0.033734939759036145,2.0,0.2674698795180723
Автотовары,индекс скорости,2166,0.0573744437380801,33,0.015235457063711912,1.0,0.21191135734072022
Автотовары,тип рисунка протектора,494,0.013085399449035813,10,0.020242914979757085,13.0,0.42105263157894735
Автотовары,индекс нагрузки,2840,0.07522780250052977,100,0.035211267605633804,3.0,0.061971830985915494
Автотовары,"максимальная нагрузка на шину, в килограммах",108,0.002860775588048315,27,0.25,3.0,0.1388888888888889
Автотовары,шипы,743,0.019681076499258317,6,0.008075370121130552,3.0,0.7187079407806191
Автотовары,способ герметизации,417,0.011045772409408773,2,0.004796163069544364,11.0,0.9424460431654677
Автотовары,оем номер,1660,0.0439711803348167,1659,0.9993975903614458,81.0,0.0012048192771084338
Автотовары,длина упаковки,6409,0.16976584022038568,103,0.016071149945389298,5.0,0.09002964581057887
Автотовары,высота упаковки,6414,0.16989828353464717,88,0.013719987527284067,5.0,0.12285625194886186
Автотовары,ширина упаковки,6408,0.16973935155753336,89,0.013888888888888888,5.0,0.10065543071161048
Автотовары,валюта,6796,0.18001695274422547,1,0.00014714537963507945,3.0,1.0
Автотовары,марка автомобиля,4667,0.12362258953168044,1243,0.2663381187058067,8.0,0.05485322476965931
Автотовары,модель автомобиля,3428,0.09080313625768172,2316,0.67561260210035,16.0,0.006417736289381563
Автотовары,ширина профиля,709,0.018780461962280143,23,0.03244005641748942,3.0,0.16643159379407615
Автотовары,высота профиля,715,0.01893939393939394,15,0.02097902097902098,2.0,0.16363636363636364
Автотовары,диаметр,722,0.019124814579360033,31,0.04293628808864266,3.0,0.20221606648199447
Автотовары,максимальная нагрузка (на одну шину),658,0.017429540156812882,69,0.10486322188449848,6.0,0.05927051671732523
Автотовары,индекс максимальной скорости,669,0.017720915448188174,13,0.01943198804185351,15.0,0.22869955156950672
Автотовары,уцененный,33,0.0008741258741258741,1,0.030303030303030304,2.0,1.0
Автотовары,цвет,2206,0.05843399025217207,189,0.08567543064369901,7.0,0.21532184950135994
Автотовары,доп. опции авточехла,307,0.008132019495655859,45,0.1465798045602606,85.0,0.5798045602605864
Автотовары,тип чехла,307,0.008132019495655859,30,0.09771986970684039,29.0,0.5798045602605864
Автотовары,страна производства,4127,0.10931871159143887,39,0.009449963653985946,6.0,0.5066634359098618
Автотовары,вес с упаковкой (кг),2117,0.05607649925831744,423,0.1998110533774209,6.0,0.08833254605573926
Автотовары,материал изделия,768,0.020343293070565798,123,0.16015625,10.0,0.27734375
Автотовары,модель тс,2101,0.055652680652680656,889,0.4231318419800095,6.0,0.0376011423131842
Автотовары,цвет товара,7743,0.20510171646535283,525,0.06780317706315382,6.0,0.4230918248740798
Автотовары,образец цвета,1138,0.030144098325916507,575,0.5052724077328646,52.0,0.013181019332161687
Автотовары,"размеры, мм",1509,0.03997139224411952,198,0.1312127236580517,10.0,0.26971504307488403
Автотовары,"длина, см",1486,0.039362152998516635,81,0.05450874831763122,2.0,0.3283983849259758
Автотовары,материал,7209,0.19095677050222504,160,0.022194479123318074,9.0,0.25842696629213485
Автотовары,"количество, штук",5824,0.15426997245179064,28,0.004807692307692308,1.0,0.7738667582417582
Автотовары,особенности оплетки руля,1161,0.03075333757151939,2,0.0017226528854435831,7.0,0.9974160206718347
Автотовары,марка тс,2726,0.07220809493536766,96,0.03521643433602348,6.0,0.07740278796771827
Автотовары,"ширина, см",1348,0.035706717524899345,57,0.04228486646884273,2.0,0.3620178041543027
Автотовары,материал оплетки,446,0.01181394363212545,10,0.02242152466367713,18.0,0.42376681614349776
Автотовары,диаметр предмета,524,0.013880059334604788,5,0.009541984732824428,5.0,0.8645038167938931
Автотовары,вес товара с упаковкой (г),1569,0.04156071201525747,168,0.10707456978967496,5.0,0.16889738687061823
Автотовары,"диаметр, см",1421,0.03764038991311719,10,0.007037297677691766,2.0,0.4665728360309641
Автотовары,сезон,2178,0.057692307692307696,10,0.004591368227731864,14.0,0.960514233241506
Автотовары,форма выпуска,2698,0.07146641237550329,31,0.011489992587101558,15.0,0.5852483320978502
Автотовары,область применения,1982,0.052500529773257046,34,0.017154389505549948,5.0,0.8804238143289607
Автотовары,название цвета,3548,0.09398177579995762,1721,0.4850620067643743,14.0,0.12006764374295378
Автотовары,упаковка,2026,0.053666030938758214,31,0.015301085883514315,17.0,0.4442250740375123
Автотовары,"объем, мл",1566,0.04148124602670057,55,0.0351213282247765,2.0,0.27586206896551724
Автотовары,объем (мл),601,0.01591968637423183,29,0.048252911813643926,5.0,0.3011647254575707
Автотовары,спинка,209,0.005536130536130536,2,0.009569377990430622,10.0,0.8133971291866029
Автотовары,расположение сиденья,2479,0.06566539521084976,24,0.009681323114158934,15.0,0.38765631302944736
Автотовары,гарантийный срок,4175,0.11059016740834923,174,0.04167664670658683,6.0,0.20239520958083831
Автотовары,тип спецтехники,1,2.6488662852299217e-05,1,1.0,11.0,1.0
Автотовары,длина,323,0.008555838101292648,125,0.38699690402476783,6.0,0.10526315789473684
Автотовары,ширина,315,0.008343928798474252,104,0.33015873015873015,6.0,0.21587301587301588
Автотовары,диаметр руля,810,0.021455816910362364,8,0.009876543209876543,8.0,0.8185185185185185
Автотовары,срок годности,1388,0.03676626403899131,39,0.028097982708933718,5.0,0.3227665706051873
Автотовары,материал обработки,346,0.009165077346895529,26,0.07514450867052024,15.0,0.2861271676300578
Автотовары,формат упаковки,16,0.0004238186056367875,5,0.3125,6.0,0.625
Автотовары,"длина щетки, см",263,0.006966518330154694,24,0.09125475285171103,2.0,0.2737642585551331
Автотовары,крепление,1306,0.034594193685102775,51,0.03905053598774885,6.0,0.4946401225114854
Автотовары,особенности,2863,0.07583704174613265,122,0.04261264407963675,22.0,0.3534753754802655
Автотовары,соответствующие коды oe,357,0.00945645263827082,356,0.9971988795518207,29.0,0.0056022408963585435
Автотовары,"диаметр, дюймы",1795,0.047547149819877094,37,0.020612813370473538,2.0,0.2139275766016713
Автотовары,runflat,1224,0.03242212333121424,2,0.0016339869281045752,3.0,0.9526143790849673
Автотовары,"высота профиля, %",1669,0.04420957830048739,15,0.008987417615338526,2.0,0.1737567405632115
Автотовары,"ширина профиля, мм",1619,0.04288514515787243,33,0.02038295243977764,3.0,0.15009264978381717
Автотовары,"макс. нагрузка, т",36,0.0009535918626827717,21,0.5833333333333334,2.0,0.1388888888888889
Автотовары,"макс. вертикальная нагрузка на фаркоп, кг",20,0.0005297732570459843,5,0.25,2.0,0.45
Автотовары,"длина второй щетки, см",200,0.005297732570459843,16,0.08,2.0,0.23
Автотовары,количество клиньев,4,0.00010595465140919687,2,0.5,1.0,0.75
Автотовары,тип профиля,4,0.00010595465140919687,1,0.25,2.0,1.0
Автотовары,тип ремня,15,0.00039732994278448826,3,0.2,8.0,0.5333333333333333
Автотовары,длина ремня (мм),3,7.946598855689765e-05,3,1.0,7.0,0.3333333333333333
Автотовары,bluetooth,339,0.008979656706929434,3,0.008849557522123894,2.0,0.5958702064896755
Автотовары,цвет подсветки кнопок,137,0.0036289468107649926,6,0.043795620437956206,12.0,0.7956204379562044
Автотовары,количество ядер,173,0.004582538673447764,3,0.017341040462427744,1.0,0.815028901734104
Автотовары,совместимые платформы,187,0.004953379953379953,2,0.0106951871657754,3.0,0.5187165775401069
Автотовары,диагональ экрана,187,0.004953379953379953,11,0.058823529411764705,2.0,0.5561497326203209
Автотовары,форматы дисков,130,0.003443526170798898,1,0.007692307692307693,3.0,1.0
Автотовары,"количество встроенной памяти, гб",198,0.005244755244755245,10,0.050505050505050504,2.0,0.43434343434343436
Автотовары,поддерживаемые форматы,132,0.0034965034965034965,9,0.06818181818181818,3.0,0.7196969696969697
Автотовары,передняя панель,84,0.0022250476795931343,2,0.023809523809523808,13.0,0.9880952380952381
Автотовары,"макс. выходная мощность на канал, вт",133,0.003522992159355796,6,0.045112781954887216,2.0,0.8270676691729323
Автотовары,навигационные системы,187,0.004953379953379953,4,0.0213903743315508,3.0,0.9572192513368984
Автотовары,пульт ду,73,0.0019336723882178429,2,0.0273972602739726,3.0,0.9726027397260274
Автотовары,поддержка rds,160,0.0042381860563678745,3,0.01875,3.0,0.7125
Автотовары,диапазон радио,166,0.00439711803348167,2,0.012048192771084338,2.0,0.8253012048192772
Автотовары,"оперативная память, гб",200,0.005297732570459843,11,0.055,1.0,0.355
Автотовары,разрешение экрана,190,0.005032845941936851,9,0.04736842105263158,8.0,0.5526315789473685
Автотовары,выдвижной дисплей,70,0.0018542063996609451,1,0.014285714285714285,3.0,1.0
Автотовары,особенности экрана,195,0.005165289256198347,2,0.010256410256410256,9.0,0.5487179487179488
Автотовары,тип экрана,185,0.004900402627675355,6,0.032432432432432434,4.0,0.6162162162162163
Автотовары,типоразмер,368,0.00974782792964611,26,0.07065217391304347,13.0,0.4320652173913043
Автотовары,управление со смартфона,170,0.004503072684890867,2,0.011764705882352941,2.0,0.9352941176470588
Автотовары,регулировки звука,175,0.004635515999152363,3,0.017142857142857144,14.0,0.5314285714285715
Автотовары,тв-тюнер,42,0.0011125238397965672,1,0.023809523809523808,11.0,1.0
Автотовары,цветность дисплея,178,0.004714981987709261,2,0.011235955056179775,7.0,0.9943820224719101
Автотовары,беспроводная связь,193,0.0051123119304937485,3,0.015544041450777202,9.0,0.7668393782383419
Автотовары,степень блеска покрытия,309,0.008184996821360457,5,0.016181229773462782,18.0,0.7961165048543689
Автотовары,"длина, м",17,0.00045030726848908665,12,0.7058823529411765,2.0,0.17647058823529413
Автотовары,шумоизоляция,73,0.0019336723882178429,2,0.0273972602739726,3.0,0.7534246575342466
Автотовары,"толщина, мкр",110,0.002913752913752914,12,0.10909090909090909,3.0,0.41818181818181815
Автотовары,количество предметов в упаковке,74,0.001960161051070142,25,0.33783783783783783,4.0,0.17567567567567569
Автотовары,комплект,179,0.00474147065056156,6,0.0335195530726257,2.0,0.6983240223463687
Автотовары,количество в комплекте,279,0.007390336935791482,16,0.05734767025089606,5.0,0.2974910394265233
Автотовары,подробная комплектация,1249,0.03308433990252172,267,0.21377101681345076,77.0,0.09047237790232186
Автотовары,дополнительная информация,724,0.019177791905064634,211,0.2914364640883978,52.0,0.1132596685082873
Автотовары,вид колодок,382,0.010118669209578301,2,0.005235602094240838,8.0,0.93717277486911
Автотовары,тип двигателя,300,0.007946598855689765,13,0.043333333333333335,16.0,0.5733333333333334
Автотовары,"внешний диаметр, мм",210,0.005562619198982835,128,0.6095238095238096,2.0,0.03333333333333333
Автотовары,"толщина, мм",197,0.005218266581902945,85,0.43147208121827413,2.0,0.05583756345177665
Автотовары,вид крепления,174,0.004609027336300063,6,0.034482758620689655,13.0,0.9540229885057471
Автотовары,основа краски,511,0.013535706717524899,5,0.009784735812133072,7.0,0.7906066536203522
Автотовары,вид краски,572,0.015151515151515152,3,0.005244755244755245,14.0,0.8688811188811189
Автотовары,вид воздушного фильтра,87,0.0023045136681500316,5,0.05747126436781609,7.0,0.632183908045977
Автотовары,корпус фильтра,48,0.0012714558169103624,3,0.0625,11.0,0.4791666666666667
Автотовары,форма,54,0.0014303877940241576,10,0.18518518518518517,7.0,0.4074074074074074
Автотовары,исполнение фильтра,101,0.002675354948082221,20,0.19801980198019803,18.0,0.40594059405940597
Автотовары,"высота, мм",627,0.016608391608391608,218,0.34768740031897927,2.0,0.06539074960127592
Автотовары,изготовитель,64,0.00169527442254715,36,0.5625,6.0,0.09375
Автотовары,"ширина, мм",423,0.011204704386522569,184,0.43498817966903075,3.0,0.04018912529550828
Автотовары,год выпуска,180,0.004767959313413859,130,0.7222222222222222,9.0,0.06111111111111111
Автотовары,"длина, мм",574,0.01520449247721975,338,0.5888501742160279,3.0,0.017421602787456445
Автотовары,способ крепления,1011,0.02678003814367451,12,0.011869436201780416,6.0,0.7101879327398615
Автотовары,тип краски,321,0.008502860775588048,5,0.01557632398753894,7.0,0.470404984423676
Автотовары,"объем, в миллилитрах",526,0.013933036660309388,14,0.026615969581749048,2.0,0.3688212927756654
Автотовары,код краски,502,0.013297308751854206,494,0.9840637450199203,3.0,0.00398406374501992
Автотовары,цветовой эффект,171,0.0045295613477431655,4,0.023391812865497075,7.0,0.3567251461988304
Автотовары,методы нанесения краски,132,0.0034965034965034965,3,0.022727272727272728,30.0,0.48484848484848486
Автотовары,"сушка при 20°c, в часах",61,0.0016158084339902522,2,0.03278688524590164,2.0,0.9508196721311475
Автотовары,"минимальная температура проведения работ, в градусах цельсия",518,0.013721127357490993,3,0.005791505791505791,2.0,0.42277992277992277
Автотовары,"максимальная температура проведения работ, в градусах цельсия",304,0.008052553507098962,3,0.009868421052631578,2.0,0.6875
Автотовары,отвердитель в комплекте,77,0.0020396270396270395,1,0.012987012987012988,3.0,1.0
Автотовары,жаростойкая,77,0.0020396270396270395,2,0.025974025974025976,2.0,0.7922077922077922
Автотовары,устойчивость к ультрафиолетовому излучению,494,0.013085399449035813,1,0.0020242914979757085,2.0,1.0
Автотовары,"длина, в сантиметрах",629,0.016661368934096206,68,0.10810810810810811,2.0,0.2972972972972973
Автотовары,"ширина, в сантиметрах",631,0.016714346259800804,54,0.08557844690966719,2.0,0.27416798732171155
Автотовары,"высота, в сантиметрах",622,0.016475948294130113,48,0.07717041800643087,2.0,0.30064308681672025
Автотовары,"вес, в килограммах",780,0.02066115702479339,125,0.16025641025641027,4.0,0.30512820512820515
Автотовары,ортопедические,696,0.018436109345200253,2,0.0028735632183908046,3.0,0.9971264367816092
Автотовары,вид шин,1157,0.030647382920110194,2,0.001728608470181504,12.0,0.8107173725151253
Автотовары,сторона установки,618,0.016369993642720914,118,0.19093851132686085,9.0,0.11165048543689321
Автотовары,"внутренний диаметр, мм",237,0.006277813095994914,73,0.3080168776371308,2.0,0.11392405063291139
Автотовары,способ установки,46,0.0012184784912057638,4,0.08695652173913043,11.0,0.5434782608695652
Автотовары,"максимальная допустимая нагрузка, в килограммах",46,0.0012184784912057638,4,0.08695652173913043,2.0,0.7391304347826086
Автотовары,монтажный комплект,46,0.0012184784912057638,1,0.021739130434782608,2.0,1.0
Автотовары,"длина поперечины, в сантиметрах",41,0.0010860351769442678,14,0.34146341463414637,3.0,0.24390243902439024
Автотовары,профиль дуги,46,0.0012184784912057638,4,0.08695652173913043,16.0,0.7391304347826086
Автотовары,замок на багажнике,44,0.0011655011655011655,3,0.06818181818181818,11.0,0.5227272727272727
Автотовары,размер чехла,122,0.0032316168679805044,31,0.2540983606557377,20.0,0.3114754098360656
Автотовары,кузов,237,0.006277813095994914,9,0.0379746835443038,7.0,0.35443037974683544
Автотовары,"угол обзора, градусов",4,0.00010595465140919687,2,0.5,3.0,0.75
Автотовары,подключение,5,0.00013244331426149608,1,0.2,9.0,1.0
Автотовары,отображение парковочных линий,5,0.00013244331426149608,1,0.2,2.0,1.0
Автотовары,разрешение,4,0.00010595465140919687,2,0.5,7.0,0.75
Автотовары,тип матрицы,7,0.00018542063996609452,5,0.7142857142857143,8.0,0.42857142857142855
Автотовары,объем,932,0.024687433778342868,78,0.08369098712446352,5.0,0.3873390557939914
Автотовары,"диаметр центр. отверстия, мм",184,0.004873913964823055,37,0.20108695652173914,4.0,0.20108695652173914
Автотовары,кол-во крепежных отверстий,213,0.005642085187539733,4,0.018779342723004695,1.0,0.7652582159624414
Автотовары,"вылет, мм",199,0.005271243907607544,43,0.21608040201005024,2.0,0.1507537688442211
Автотовары,диаметр расположения отверстий (pcd),211,0.005589107861835135,17,0.08056872037914692,3.0,0.3412322274881517
Автотовары,ширина обода,187,0.004953379953379953,11,0.058823529411764705,2.0,0.33689839572192515
Автотовары,вид диска,174,0.004609027336300063,4,0.022988505747126436,5.0,0.8793103448275862
Автотовары,"вес, кг",375,0.009933248569612207,206,0.5493333333333333,4.0,0.088
Автотовары,расположение детали,269,0.0071254503072684895,4,0.01486988847583643,7.0,0.654275092936803
Автотовары,омологация,219,0.005801017164653528,35,0.1598173515981735,11.0,0.634703196347032
Автотовары,тип автотехники,269,0.0071254503072684895,27,0.10037174721189591,19.0,0.724907063197026
Автотовары,oe-код,543,0.014383343928798474,543,1.0,17.0,0.001841620626151013
Автотовары,"диаметр присоединения, мм",3,7.946598855689765e-05,3,1.0,2.0,0.3333333333333333
Автотовары,вес без упаковки (кг),400,0.010595465140919686,140,0.35,6.0,0.045
Автотовары,технология runflat,742,0.01965458783640602,4,0.005390835579514825,3.0,0.9056603773584906
Автотовары,мост установки,719,0.019045348590803136,36,0.05006954102920723,8.0,0.45897079276773295
Автотовары,тип диска,65,0.001721763085399449,3,0.046153846153846156,5.0,0.9230769230769231
Автотовары,"вылет et, мм",63,0.0016687857596948505,21,0.3333333333333333,2.0,0.2222222222222222
Автотовары,"ширина обода, дюймы",63,0.0016687857596948505,10,0.15873015873015872,3.0,0.25396825396825395
Автотовары,"диаметр центрального отверстия dia, мм",63,0.0016687857596948505,29,0.4603174603174603,4.0,0.1746031746031746
Автотовары,количество крепежных отверстий,70,0.0018542063996609451,3,0.04285714285714286,1.0,0.7142857142857143
Автотовары,"расстояние между болтами, мм",63,0.0016687857596948505,9,0.14285714285714285,3.0,0.31746031746031744
Автотовары,"вес диска, кг",27,0.0007151938970120788,18,0.6666666666666666,2.0,0.18518518518518517
Автотовары,длина второй щетки,110,0.002913752913752914,14,0.12727272727272726,6.0,0.2
Автотовары,тип щетки,216,0.00572155117609663,32,0.14814814814814814,12.0,0.3888888888888889
Автотовары,тип крепления,177,0.004688493324856961,52,0.2937853107344633,13.0,0.3163841807909605
Автотовары,глянцевая,462,0.012237762237762238,2,0.004329004329004329,2.0,0.7705627705627706
Автотовары,матовая,462,0.012237762237762238,2,0.004329004329004329,3.0,0.696969696969697
Автотовары,время высыхания,217,0.00574803983894893,19,0.08755760368663594,8.0,0.4700460829493088
Автотовары,доп. опции органайзера,30,0.0007946598855689765,5,0.16666666666666666,93.0,0.8666666666666667
Автотовары,количество отделений,44,0.0011655011655011655,7,0.1590909090909091,5.0,0.4090909090909091
Автотовары,высота предмета,237,0.006277813095994914,53,0.22362869198312235,5.0,0.19831223628691982
Автотовары,ширина предмета,232,0.006145369781733418,62,0.2672413793103448,5.0,0.1810344827586207
Автотовары,длина предмета,54,0.0014303877940241576,19,0.35185185185185186,5.0,0.18518518518518517
Автотовары,oem,386,0.010224623860987497,2,0.0051813471502590676,3.0,0.5984455958549223
Автотовары,место крепления,187,0.004953379953379953,35,0.18716577540106952,17.0,0.24598930481283424
Автотовары,количество отверстий,44,0.0011655011655011655,8,0.18181818181818182,1.0,0.38636363636363635
Автотовары,вес товара без упаковки (г),193,0.0051123119304937485,91,0.47150259067357514,5.0,0.21243523316062177
Автотовары,года выпуска,65,0.001721763085399449,62,0.9538461538461539,9.0,0.03076923076923077
Автотовары,количество сидений,422,0.01117821572367027,10,0.023696682464454975,1.0,0.46919431279620855
Автотовары,тип запчасти,214,0.0056685738503920325,7,0.03271028037383177,12.0,0.40186915887850466
Автотовары,особенности держателя,9,0.00023839796567069293,4,0.4444444444444444,23.0,0.3333333333333333
Автотовары,место крепления держателя,11,0.0002913752913752914,5,0.45454545454545453,13.0,0.2727272727272727
Автотовары,тип держателя,7,0.00018542063996609452,3,0.42857142857142855,5.0,0.5714285714285714
Автотовары,встроенная беспроводная зарядка,7,0.00018542063996609452,1,0.14285714285714285,3.0,1.0
Автотовары,"макс. диагональ, дюймы",4,0.00010595465140919687,2,0.5,1.0,0.75
Автотовары,вид крепления автоаксессуара,84,0.0022250476795931343,4,0.047619047619047616,14.0,0.6547619047619048
Автотовары,срок службы,530,0.014038991311718584,16,0.03018867924528302,5.0,0.3490566037735849
Автотовары,объем (л),106,0.002807798262343717,6,0.05660377358490566,3.0,0.37735849056603776
Автотовары,тип моторного масла,107,0.0028342869251960163,33,0.308411214953271,14.0,0.411214953271028
Автотовары,класс вязкости,117,0.0030991735537190084,62,0.5299145299145299,6.0,0.1282051282051282
Автотовары,применение,45,0.0011919898283534647,12,0.26666666666666666,18.0,0.4888888888888889
Автотовары,высота,207,0.005483153210425938,58,0.28019323671497587,6.0,0.3285024154589372
Автотовары,вес,401,0.010621953803771986,163,0.40648379052369077,6.0,0.16957605985037408
Автотовары,код производителя,264,0.006993006993006993,263,0.9962121212121212,7.0,0.007575757575757576
Автотовары,индикатор износа,135,0.0035759694850603942,2,0.014814814814814815,2.0,0.7333333333333333
Автотовары,возможность ошиповки,137,0.0036289468107649926,2,0.014598540145985401,3.0,0.8832116788321168
Автотовары,низкопрофильная шина,123,0.0032581055308328034,2,0.016260162601626018,3.0,0.6666666666666666
Автотовары,грязевая шина,72,0.0019071837253655435,2,0.027777777777777776,3.0,0.9861111111111112
Автотовары,год выпуска автомобиля,117,0.0030991735537190084,93,0.7948717948717948,9.0,0.05128205128205128
Автотовары,грязеотталкивающие свойства,6,0.0001589319771137953,2,0.3333333333333333,3.0,0.6666666666666666
Автотовары,защита от намерзания льда,8,0.00021190930281839374,2,0.25,3.0,0.625
Автотовары,ударопрочный,6,0.0001589319771137953,2,0.3333333333333333,3.0,0.8333333333333334
Автотовары,рёбра жёсткости,6,0.0001589319771137953,2,0.3333333333333333,2.5,0.5
Автотовары,надпись,7,0.00018542063996609452,2,0.2857142857142857,3.0,0.8571428571428571
Автотовары,светоотражающие элементы,8,0.00021190930281839374,1,0.125,3.0,1.0
Автотовары,алюминиевая пластина,6,0.0001589319771137953,1,0.16666666666666666,3.0,1.0
Автотовары,подвязочный ремень,6,0.0001589319771137953,1,0.16666666666666666,3.0,1.0
Автотовары,"минимальная температура эксплуатации, в градусах цельсия",7,0.00018542063996609452,3,0.42857142857142855,3.0,0.5714285714285714
Автотовары,"максимальная температура эксплуатации, в градусах цельсия",7,0.00018542063996609452,3,0.42857142857142855,2.0,0.5714285714285714
Автотовары,крепежный комплект,7,0.00018542063996609452,2,0.2857142857142857,3.0,0.8571428571428571
Автотовары,материал корпуса,94,0.0024899343081161264,28,0.2978723404255319,10.0,0.1702127659574468
Автотовары,цвет корпуса,37,0.000980080525535071,4,0.10810810810810811,6.0,0.918918918918919
Автотовары,двигатель,226,0.0059864378046196225,45,0.19911504424778761,6.0,0.5796460176991151
Автотовары,тип кузова,236,0.006251324433142615,16,0.06779661016949153,9.0,0.3220338983050847
Автотовары,тип фильтра,60,0.001589319771137953,4,0.06666666666666667,19.0,0.6
Автотовары,конструкция покрышки,485,0.012847001483365119,2,0.004123711340206186,11.0,0.9979381443298969
Автотовары,"максимальная нагрузка, кг",4,0.00010595465140919687,3,0.75,3.0,0.5
Автотовары,фильтрующий материал,37,0.000980080525535071,3,0.08108108108108109,5.0,0.8648648648648649
Автотовары,назначение шин,152,0.004026276753549481,10,0.06578947368421052,24.0,0.7171052631578947
Автотовары,тип датчика,80,0.0021190930281839372,13,0.1625,18.0,0.25
Автотовары,классификация по api,203,0.005377198559016741,53,0.26108374384236455,2.0,0.2561576354679803
Автотовары,коробка передач,33,0.0008741258741258741,3,0.09090909090909091,12.0,0.45454545454545453
Автотовары,вид масла,206,0.005456664547573638,4,0.019417475728155338,13.0,0.7281553398058253
Автотовары,допуски oem,134,0.003549480822208095,97,0.7238805970149254,11.0,0.07462686567164178
Автотовары,вязкость по sae,218,0.005774528501801229,29,0.13302752293577982,5.0,0.2889908256880734
Автотовары,"объем, л",444,0.011760966306420852,35,0.07882882882882883,1.0,0.5067567567567568
Автотовары,тип поверхности,54,0.0014303877940241576,5,0.09259259259259259,9.0,0.8703703703703703
Автотовары,химическая основа автоэмали,280,0.0074168255986437805,5,0.017857142857142856,9.0,0.41785714285714287
Автотовары,требует подготовки поверхности,8,0.00021190930281839374,2,0.25,2.5,0.5
Автотовары,с хромированным молдингом,6,0.0001589319771137953,1,0.16666666666666666,3.0,1.0
Автотовары,интерфейсы,162,0.004291163382072473,5,0.030864197530864196,3.0,0.5555555555555556
Автотовары,напряжение адаптера питания,139,0.003681924136469591,2,0.014388489208633094,3.0,0.9928057553956835
Автотовары,"номинальная выходная мощность на канал, вт",145,0.0038408561135833863,5,0.034482758620689655,2.0,0.6551724137931034
Автотовары,праздник,51,0.00135092180546726,7,0.13725490196078433,13.0,0.43137254901960786
Автотовары,количество,210,0.005562619198982835,9,0.04285714285714286,5.0,0.4857142857142857
Автотовары,тип профиля дуги,153,0.00405276541640178,6,0.0392156862745098,16.0,0.3660130718954248
Автотовары,замки,137,0.0036289468107649926,3,0.021897810218978103,13.0,0.45985401459854014
Автотовары,максимальная грузоподъемность,158,0.004185208730663276,9,0.056962025316455694,5.0,0.5759493670886076
Автотовары,рабочая среда,123,0.0032581055308328034,3,0.024390243902439025,7.0,0.6747967479674797
Автотовары,тип покрытия,110,0.002913752913752914,1,0.00909090909090909,9.0,1.0
Автотовары,"светопропускаемость, %",120,0.003178639542275906,10,0.08333333333333333,2.0,0.30833333333333335
Автотовары,наружный диаметр,27,0.0007151938970120788,18,0.6666666666666666,5.0,0.1111111111111111
Автотовары,диаметр внутреннего отверстия,9,0.00023839796567069293,7,0.7777777777777778,5.0,0.2222222222222222
Автотовары,"диаметр, дюйм",126,0.003337571519389701,11,0.0873015873015873,2.0,0.18253968253968253
