category,concept,relation,label,attribute_key,attribute_key_source,observed_attribute_key_support,top_observed_attribute_keys,all_pair_support,all_label0,all_label1,all_occurrence_target_probability,singleton_support,singleton_label0,singleton_label1,singleton_target_probability,discovery_singleton_support,validation_singleton_support,example_pair_ids,example_value_pairs,anchor_profiles,allowed_product_types,source_examples,profile_diagnostics,semantic_review_required,mutation_mode,forbidden_anchor_attribute_patterns,target_value_pattern,forbidden_target_value_pattern,rejection_reason
Дом и сад,name,different_value,0,,,0,[],6,6,0,1.0,4,4,0,1.0,4,0,rp_fa821ba92fa4bc51c375ca04;rp_3721588d11ff8435faf42574;rp_8520b77ce994542c1571a8a2,дарья | ева | олега,"[{'product_type': 'наклейка интерьерная', 'normalized_product_type': 'наклейка интерьерная', 'singleton_pair_support': 4, 'singleton_target_support': 4, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_3721588d11ff8435faf42574', 'rp_c0d00bbb5509a5092511bfaa', 'rp_1f6a444b01d93a86c284c27e', 'rp_9c953a9900da5ee36ca55f40']}]",['наклейка интерьерная'],"[{'source_pair_id': 'rp_3721588d11ff8435faf42574', 'product_type': 'наклейка интерьерная', 'title_a': 'person.sticker.name / наклейка с именем ева для шара, двери', 'title_b': 'наклейка с именем полина, для шара, фотозоны, на день рождения', 'target_value_a': 'ева', 'target_value_b': 'полина'}, {'source_pair_id': 'rp_c0d00bbb5509a5092511bfaa', 'product_type': 'наклейка интерьерная', 'title_a': 'person.sticker.name / наклейка с именем тамила', 'title_b': 'наклейка именная надин,  для детской, для шара, фотозоны на день рождения', 'target_value_a': 'надин', 'target_value_b': 'тамила'}, {'source_pair_id': 'rp_1f6a444b01d93a86c284c27e', 'product_type': 'наклейка интерьерная', 'title_a': 'person.sticker.name / наклейка с именем варвара на подарок,шар', 'title_b': 'наклейка с именем айла на шар, подарок', 'target_value_a': 'айла', 'target_value_b': 'варвара'}, {'source_pair_id': 'rp_9c953a9900da5ee36ca55f40', 'product_type': 'наклейка интерьерная', 'title_a': 'person.sticker.name / наклейка с именем игорь', 'title_b': 'наклейка именная вера, для шара, фотозоны, на день рождения', 'target_value_a': 'вера', 'target_value_b': 'игорь'}]","{'source_singleton_pairs': 4, 'source_pairs_with_explicit_type': 4, 'observed_exact_product_types': 1, 'supported_product_type_profiles': 1}",False,independent_value,[],,,generic_concept
Дом и сад,tomato_variety,different_value,0,,,0,[],3,3,0,1.0,2,2,0,1.0,1,1,rp_b858c37180a373e0d6473138;rp_d978f30a9ae7efb1755ae76c;rp_fa142b61183a4b6ecbdd9ba5,розовое вино биф | аэлита-71 f1 | дикая роза,"[{'product_type': 'семена', 'normalized_product_type': 'семена', 'singleton_pair_support': 2, 'singleton_target_support': 2, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_d978f30a9ae7efb1755ae76c', 'rp_fa142b61183a4b6ecbdd9ba5']}]",['семена'],"[{'source_pair_id': 'rp_d978f30a9ae7efb1755ae76c', 'product_type': 'семена', 'title_a': 'томат аэлита-71 f1 20шт индет ср (аэлита) профи-аэлита в заказе: 10 шт', 'title_b': 'без бренда томат сто пудов f1 20шт индет ср (аэлита) - 10 пачек семян', 'target_value_a': 'аэлита 71 f1', 'target_value_b': 'сто пудов f1'}, {'source_pair_id': 'rp_fa142b61183a4b6ecbdd9ba5', 'product_type': 'семена', 'title_a': 'barantsev семена / семена томат ""дикая роза"", 0,1 г', 'title_b': ""семена томат 'груша красная', 0,1 г"", 'target_value_a': 'груша красная', 'target_value_b': 'дикая роза'}]","{'source_singleton_pairs': 2, 'source_pairs_with_explicit_type': 2, 'observed_exact_product_types': 1, 'supported_product_type_profiles': 1}",False,independent_value,[],,,no_reliable_attribute_key
Канцелярские товары,color_count,different_value,0,,,1,"[{'attribute_key': 'количество фломастеров, шт', 'support': 1}]",27,24,3,0.8888888888888888,5,5,0,1.0,3,2,rp_bb84ae4e1c943c7acfb510d6;rp_fcb19765bbc5a4e098b9bb87;rp_502d4fafd49186bd5aab2042,60 | 18 цветов | 6 цветов,"[{'product_type': 'набор фломастеров', 'normalized_product_type': 'набор фломастеров', 'singleton_pair_support': 3, 'singleton_target_support': 3, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_d02a944524c0b61162044f9b', 'rp_4b8218ad7626949706bac945', 'rp_655b7d6441012de8a22a089b']}]",['набор фломастеров'],"[{'source_pair_id': 'rp_d02a944524c0b61162044f9b', 'product_type': 'набор фломастеров', 'title_a': 'calligrata фломастеры 12 цветов, вентилируемый колпачок, в картонной коробке', 'title_b': 'фломастеры calligrata 18 цветов в картонной коробке вентилируемый колпачок', 'target_value_a': '12 цветов', 'target_value_b': '18 цветов'}, {'source_pair_id': 'rp_4b8218ad7626949706bac945', 'product_type': 'набор фломастеров', 'title_a': ""каляка-маляка / фломастеры-кисти 12 цветов 'каляка-маляка', вентилируемый ко"", 'title_b': 'фломастеры magic 18 цветов, калякка-маляка, 16 цветов + 2 магических, 1 набор', 'target_value_a': '12 цветов', 'target_value_b': '18 цветов'}, {'source_pair_id': 'rp_655b7d6441012de8a22a089b', 'product_type': 'набор фломастеров', 'title_a': 'юнландия / фломастеры юнландия 12 цветов, ""уроки рисования"", вентилируе', 'title_b': ' набор фломастеров, 24 шт.', 'target_value_a': '12 цветов', 'target_value_b': '24'}]","{'source_singleton_pairs': 5, 'source_pairs_with_explicit_type': 5, 'observed_exact_product_types': 3, 'supported_product_type_profiles': 1}",False,independent_value,[],,,no_reliable_attribute_key
Канцелярские товары,density,different_value,0,"плотность, г/м2",dominant_singleton_evidence,2,"[{'attribute_key': 'плотность, г/м2', 'support': 2}, {'attribute_key': 'плотность бумаги', 'support': 1}, {'attribute_key': 'плотность', 'support': 1}]",22,19,3,0.8636363636363636,3,3,0,1.0,3,0,rp_e5d270935466ed56576bf5c6;rp_727a5e10c82a23a99175ee7c;rp_e4521816ab5a157bef84c085,170 | 200 г/м2 | 90г/м2,[],[],[],"{'source_singleton_pairs': 3, 'source_pairs_with_explicit_type': 3, 'observed_exact_product_types': 3, 'supported_product_type_profiles': 0}",False,independent_value,[],,,no_supported_product_type_profile
Канцелярские товары,length,different_value,0,Длина,override,1,"[{'attribute_key': 'длина предмета', 'support': 1}, {'attribute_key': 'длина корпуса, мм', 'support': 1}, {'attribute_key': 'длина, см', 'support': 1}]",24,22,2,0.9166666666666666,2,2,0,1.0,2,0,rp_e4521816ab5a157bef84c085;rp_52ec7d5fa1866f0c7486de8e;rp_302ce964078214abf6da05f4,45м | 200 мм | 1000,[],[],[],"{'source_singleton_pairs': 2, 'source_pairs_with_explicit_type': 2, 'observed_exact_product_types': 2, 'supported_product_type_profiles': 0}",False,independent_value,[],,,no_supported_product_type_profile
Канцелярские товары,name_on_cover,different_value,0,,,0,[],11,11,0,1.0,8,8,0,1.0,8,0,rp_3677f96dfdb1720f4c01f83c;rp_dec08f14ba034cb4785d6371;rp_4bf2bce742c58557dc3107e0,маруф | флорид | лариса,"[{'product_type': 'ежедневник', 'normalized_product_type': 'ежедневник', 'singleton_pair_support': 8, 'singleton_target_support': 8, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_3677f96dfdb1720f4c01f83c', 'rp_7498c3131147e372869014dc', 'rp_dc8e18c48df8e2b48572ee4a', 'rp_acfe85ec478874445f73a4e2', 'rp_16987ad6975d2562c4b0c566', 'rp_cd383f2ebe547d379ca27b55', 'rp_820e0c1f1a93da2c83682753', 'rp_5e8133725501d2bff73269b1']}]",['ежедневник'],"[{'source_pair_id': 'rp_3677f96dfdb1720f4c01f83c', 'product_type': 'ежедневник', 'title_a': 'woodyname / деревянный ежедневник с именем маруф', 'title_b': 'деревянный подарочный ежедневник woodyname с именем нафик', 'target_value_a': 'маруф', 'target_value_b': 'нафик'}, {'source_pair_id': 'rp_7498c3131147e372869014dc', 'product_type': 'ежедневник', 'title_a': 'woodyname / деревянный ежедневник с именем анаит', 'title_b': 'деревянный подарочный ежедневник woodyname с именем айгуль', 'target_value_a': 'айгуль', 'target_value_b': 'анаит'}, {'source_pair_id': 'rp_dc8e18c48df8e2b48572ee4a', 'product_type': 'ежедневник', 'title_a': 'woodyname / деревянный ежедневник с именем гавриил', 'title_b': 'деревянный подарочный ежедневник woodyname с именем гаден', 'target_value_a': 'гавриил', 'target_value_b': 'гаден'}, {'source_pair_id': 'rp_acfe85ec478874445f73a4e2', 'product_type': 'ежедневник', 'title_a': 'деревянный подарочный ежедневник woodyname с именем рузанна', 'title_b': 'woodyname / деревянный ежедневник с именем фарида', 'target_value_a': 'рузанна', 'target_value_b': 'фарида'}]","{'source_singleton_pairs': 8, 'source_pairs_with_explicit_type': 8, 'observed_exact_product_types': 1, 'supported_product_type_profiles': 1}",False,independent_value,[],,,generic_concept
Канцелярские товары,name_on_item,different_value,0,,,0,[],6,6,0,1.0,2,2,0,1.0,2,0,rp_cc3498c748dc54858372c24c;rp_85193c5c2ded5035da11a130;rp_db337a499f0316a35a88ae24,елизавета | екатерина | михеил,"[{'product_type': 'ручка', 'normalized_product_type': 'ручка', 'singleton_pair_support': 2, 'singleton_target_support': 2, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_85193c5c2ded5035da11a130', 'rp_615d8cd433d3425a9721fa8a']}]",['ручка'],"[{'source_pair_id': 'rp_85193c5c2ded5035da11a130', 'product_type': 'ручка', 'title_a': 'papriq / ручка с именем екатерина. именная ручка екатерина.', 'title_b': 'ручка с именем снежана. именная ручка снежана.', 'target_value_a': 'екатерина', 'target_value_b': 'снежана'}, {'source_pair_id': 'rp_615d8cd433d3425a9721fa8a', 'product_type': 'ручка', 'title_a': 'ручка с именем юрий. именная ручка юрий.', 'title_b': 'papriq / ручка с именем яна.', 'target_value_a': 'юрий', 'target_value_b': 'яна'}]","{'source_singleton_pairs': 2, 'source_pairs_with_explicit_type': 2, 'observed_exact_product_types': 1, 'supported_product_type_profiles': 1}",False,independent_value,[],,,generic_concept
Канцелярские товары,size,different_value,0,Размер,override,1,"[{'attribute_key': 'размер зажима, мм', 'support': 1}]",39,38,1,0.9743589743589743,3,3,0,1.0,2,1,rp_27c0b2794b4b0f1bd7ef0750;rp_fb9298233e31a99bb40a97de;rp_967c401e70602bcec936eef8,240х320 мм | 100х100 мм | 154 х 165 см,[],[],[],"{'source_singleton_pairs': 3, 'source_pairs_with_explicit_type': 3, 'observed_exact_product_types': 3, 'supported_product_type_profiles': 0}",False,independent_value,[],,,no_supported_product_type_profile
Канцелярские товары,staple_size,different_value,0,размер скоб,dominant_singleton_evidence,3,"[{'attribute_key': 'размер скоб', 'support': 3}]",2,2,0,1.0,2,2,0,1.0,1,1,rp_29df99e91c6abbfd5de34550;rp_099a648772822cb2d62b2ffa,23/23 | 24/6,[],[],[],"{'source_singleton_pairs': 2, 'source_pairs_with_explicit_type': 2, 'observed_exact_product_types': 2, 'supported_product_type_profiles': 0}",False,independent_value,[],,,no_supported_product_type_profile
Канцелярские товары,weight,different_value,0,Вес изделия,override,0,[],49,42,7,0.8571428571428571,2,2,0,1.0,2,0,rp_6d51d75404b4a99d7b30f663;rp_7f61bfe8ba1f70804253a145;rp_3f11d935a2e3bd732bcbbf82,0.93 кг | 0.59 кг | 5 кг,[],[],[],"{'source_singleton_pairs': 2, 'source_pairs_with_explicit_type': 2, 'observed_exact_product_types': 2, 'supported_product_type_profiles': 0}",True,independent_value,[],,,no_supported_product_type_profile
Красота и гигиена,ingredients,different_value,0,Состав,override,2,"[{'attribute_key': 'состав', 'support': 2}]",59,38,21,0.6440677966101694,2,2,0,1.0,2,0,rp_421d2e3825b21ca67a8de628;rp_a876ce18d7364ca122cb080f;rp_247b8356ff668ea34de71b0d,"уголь, лакрица | питательные элементы,косметическая основа 50% | вода, лимонная кислота, линалоол, аргановое масло, ферменты, пантенол, кокамидопропил бетаин, полисорбат 20, макадамии масло, розмарин, бензоат натрия",[],[],[],"{'source_singleton_pairs': 2, 'source_pairs_with_explicit_type': 2, 'observed_exact_product_types': 2, 'supported_product_type_profiles': 0}",False,independent_value,['(?:вкус|flavou?r)'],,,no_supported_product_type_profile
Красота и гигиена,scent_ingredients,different_value,0,,,0,[],3,3,0,1.0,2,2,0,1.0,2,0,rp_364d8993686322cdf289309d;rp_cd0f2fb32993157895cd47ed;rp_6042a5d3c73727e180482e92,"экстракты инжира, белой орхидеи и масла | можжевельник и кедровое молочко | хна и масло арганы",[],[],[],"{'source_singleton_pairs': 2, 'source_pairs_with_explicit_type': 2, 'observed_exact_product_types': 2, 'supported_product_type_profiles': 0}",False,independent_value,[],,,no_reliable_attribute_key
Мебель,orientation,different_value,0,Ориентация,static_pair_rule_mapping,1,"[{'attribute_key': 'ориентация', 'support': 1}]",151,140,11,0.9271523178807947,2,2,0,1.0,1,1,rp_048d7fd22bc3aa7f1bcb9509;rp_2501e486ceed153c22c3febc;rp_07c59c27036d7c6b222b7d24,левый | универсальное | правый,[],[],[],"{'source_singleton_pairs': 2, 'source_pairs_with_explicit_type': 2, 'observed_exact_product_types': 3, 'supported_product_type_profiles': 0}",False,independent_value,[],,,no_supported_product_type_profile
Мебель,package_quantity,different_value,0,Количество в упаковке,override,1,"[{'attribute_key': 'количество в комплекте, шт.', 'support': 1}]",30,29,1,0.9666666666666667,3,3,0,1.0,3,0,rp_3d84d658b60cc329098e5f0c;rp_28248313f56a8cd64d698f67;rp_d77181ce9cd57f3caeb75090,1 | 2 шт. | 2 шт.,[],[],[],"{'source_singleton_pairs': 3, 'source_pairs_with_explicit_type': 3, 'observed_exact_product_types': 3, 'supported_product_type_profiles': 0}",False,independent_value,[],,,no_supported_product_type_profile
Музыкальные инструменты,guitar_type,different_value,0,тип,dominant_singleton_evidence,4,"[{'attribute_key': 'тип', 'support': 4}, {'attribute_key': 'назначение муз. аксессуара', 'support': 4}, {'attribute_key': 'назначение', 'support': 2}, {'attribute_key': 'назначение струн', 'support': 1}]",127,118,9,0.9291338582677166,12,10,2,0.8333333333333334,10,2,rp_f18c6ab9c31ceafbf52d1252;rp_5873f503dcfe4c7f32a37fc1;rp_7f5a22ca831183c79bf87965,акустическая гитара | классическая гитара | электрогитара,"[{'product_type': 'акустическая гитара', 'normalized_product_type': 'акустическая гитара', 'singleton_pair_support': 5, 'singleton_target_support': 5, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_ae671ee5c2e2deaab8d79f33', 'rp_f0dadb3b3f4327d10194e5d5', 'rp_11f18c2d5c17ecd05d7eb8c0', 'rp_8234217feb378f08e2524aeb', 'rp_9949bd3ff7c9c7f91417faf4']}, {'product_type': 'электроакустическая гитара', 'normalized_product_type': 'электроакустическая гитара', 'singleton_pair_support': 4, 'singleton_target_support': 4, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_ae671ee5c2e2deaab8d79f33', 'rp_f0dadb3b3f4327d10194e5d5', 'rp_11f18c2d5c17ecd05d7eb8c0', 'rp_8234217feb378f08e2524aeb']}]","['акустическая гитара', 'электроакустическая гитара']","[{'source_pair_id': 'rp_ae671ee5c2e2deaab8d79f33', 'product_type': 'акустическая гитара', 'title_a': 'не определен гитара акустическая jet jom-255 op', 'title_b': 'электроакустическая гитара jet jde-255 ssb', 'target_value_a': 'акустическая гитара', 'target_value_b': 'электроакустическая гитара'}, {'source_pair_id': 'rp_f0dadb3b3f4327d10194e5d5', 'product_type': 'акустическая гитара', 'title_a': 'jmfsd25 акустическая гитара kopo series sd25, дредноут, prodipe', 'title_b': 'd-me электроакустическая гитара, цвет натуральный, shadow', 'target_value_a': 'акустическая', 'target_value_b': 'электроакустическая'}, {'source_pair_id': 'rp_11f18c2d5c17ecd05d7eb8c0', 'product_type': 'акустическая гитара', 'title_a': 'акустическая гитара kepma edc black matt', 'title_b': 'электроакустическая гитара kepma edce natural matt', 'target_value_a': 'акустическая гитара', 'target_value_b': 'электроакустическая гитара'}, {'source_pair_id': 'rp_8234217feb378f08e2524aeb', 'product_type': 'акустическая гитара', 'title_a': 'crafter гитара акустическая шестиструнная ga-7 /nс crafter', 'title_b': 'электроакустическая гитара crafter de-7/nc+ чехол', 'target_value_a': 'акустическая гитара', 'target_value_b': 'электроакустическая гитара'}]","{'source_singleton_pairs': 12, 'source_pairs_with_explicit_type': 12, 'observed_exact_product_types': 7, 'supported_product_type_profiles': 2}",True,product_type_value,[],,,semantic_review_required
Музыкальные инструменты,reed_strength,different_value,0,,,0,[],18,17,1,0.9444444444444444,2,2,0,1.0,2,0,rp_dcdaf4a334d2ef5d240e3007;rp_f7003b176d1eb1801d83f9bf;rp_a8d3303eb6fa816066323a51,2 | 3.5 | 4.5,"[{'product_type': 'аксессуар для духовых', 'normalized_product_type': 'аксессуар для духовых', 'singleton_pair_support': 2, 'singleton_target_support': 2, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_f859bb45ed080c0e9655b4a7', 'rp_b406d059f8c659b7b845acd1']}]",['аксессуар для духовых'],"[{'source_pair_id': 'rp_f859bb45ed080c0e9655b4a7', 'product_type': 'аксессуар для духовых', 'title_a': 'трости для саксофона баритон №2,5 (5шт) vandoren sr3425 java', 'title_b': 'vandoren / vandoren sr-2435 (№ 3-1/2) - трость для саксофона баритон', 'target_value_a': '2 5', 'target_value_b': '3 1 2'}, {'source_pair_id': 'rp_b406d059f8c659b7b845acd1', 'product_type': 'аксессуар для духовых', 'title_a': 'vandoren paris / трости для саксофона тенор традиционные №1,5 (5шт)', 'title_b': 'трости для саксофона тенор №2 (5шт) vandoren classique sr222', 'target_value_a': '1 5', 'target_value_b': '2'}]","{'source_singleton_pairs': 2, 'source_pairs_with_explicit_type': 2, 'observed_exact_product_types': 1, 'supported_product_type_profiles': 1}",False,independent_value,[],,,no_reliable_attribute_key
Музыкальные инструменты,saxophone_type,different_value,0,,,0,[],4,4,0,1.0,3,3,0,1.0,2,1,rp_f589c781a3f5774fb2fa6392;rp_6b2faea777d723bb4032e86a;rp_d6537422b7b96c3850e47cf4,сопрано | альт | сопрано,"[{'product_type': 'аксессуар для духовых', 'normalized_product_type': 'аксессуар для духовых', 'singleton_pair_support': 3, 'singleton_target_support': 3, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_f589c781a3f5774fb2fa6392', 'rp_6b2faea777d723bb4032e86a', 'rp_1288bcebbdda790c12af9c45']}]",['аксессуар для духовых'],"[{'source_pair_id': 'rp_f589c781a3f5774fb2fa6392', 'product_type': 'аксессуар для духовых', 'title_a': 'vandoren paris / v12 трости для саксофона сопрано №2,5 (10шт)', 'title_b': 'трости для саксофона-альт vandoren v12 sr6145', 'target_value_a': 'альт', 'target_value_b': 'сопрано'}, {'source_pair_id': 'rp_6b2faea777d723bb4032e86a', 'product_type': 'аксессуар для духовых', 'title_a': 'v5 мундштук для саксофона альт a17, vandoren sm418', 'title_b': 'v5 мундштук для саксофона-сопрано s27 vandoren', 'target_value_a': 'альт', 'target_value_b': 'сопрано'}, {'source_pair_id': 'rp_1288bcebbdda790c12af9c45', 'product_type': 'аксессуар для духовых', 'title_a': 'vandoren paris / v21 трости для саксофона тенор, размер 3, 5шт', 'title_b': 'трости для саксофона-альт vandoren v21 sr8135', 'target_value_a': 'альт', 'target_value_b': 'тенор'}]","{'source_singleton_pairs': 3, 'source_pairs_with_explicit_type': 3, 'observed_exact_product_types': 1, 'supported_product_type_profiles': 1}",False,independent_value,[],,,no_reliable_attribute_key
Музыкальные инструменты,strength,different_value,0,,,0,[],13,13,0,1.0,4,4,0,1.0,3,1,rp_f04136875bf0325f728acbca;rp_d1110dbd34c3524d1ab5438e;rp_81216d0f595984b715eed481,№3 | 4-1/2 | 1025,"[{'product_type': 'аксессуар для духовых', 'normalized_product_type': 'аксессуар для духовых', 'singleton_pair_support': 4, 'singleton_target_support': 4, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_0b76f6da8c2787d47a63aa41', 'rp_b6a255e488a78d849f73109f', 'rp_eb0face41fcbc0ab70176a5a', 'rp_733899132afec9c9d9b9a1df']}]",['аксессуар для духовых'],"[{'source_pair_id': 'rp_0b76f6da8c2787d47a63aa41', 'product_type': 'аксессуар для духовых', 'title_a': 'трость для альт саксофона kuno №2,25 пластиковая', 'title_b': 'не определен трость для альт саксофона kuno №2,75 пластиковая', 'target_value_a': '2 25', 'target_value_b': '2 75'}, {'source_pair_id': 'rp_b6a255e488a78d849f73109f', 'product_type': 'аксессуар для духовых', 'title_a': 'fedotovreeds / трости для кларнета inb/ina № 2,5, sonore, 10шт', 'title_b': 'sonore трости для кларнета inb/ina № 2 (10шт), fedotovreeds fr16c002', 'target_value_a': '2', 'target_value_b': '2 5'}, {'source_pair_id': 'rp_eb0face41fcbc0ab70176a5a', 'product_type': 'аксессуар для духовых', 'title_a': 'трость для кларнета gonzales 2 1/4', 'title_b': 'gonzalez / трости для кларнета fof bb-clarinet 2 3/4, 10 шт', 'target_value_a': '2 1 4', 'target_value_b': '2 3 4'}, {'source_pair_id': 'rp_733899132afec9c9d9b9a1df', 'product_type': 'аксессуар для духовых', 'title_a': 'трости для саксофона-альт vandoren java sr2635', 'title_b': 'vandoren / трости для альт саксофона vandoren №3 (10 шт)', 'target_value_a': '3', 'target_value_b': 'sr2635'}]","{'source_singleton_pairs': 4, 'source_pairs_with_explicit_type': 4, 'observed_exact_product_types': 1, 'supported_product_type_profiles': 1}",False,independent_value,[],,,no_reliable_attribute_key
Музыкальные инструменты,string_note,different_value,0,,,0,[],11,11,0,1.0,2,2,0,1.0,2,0,rp_766c699c88feebe366460919;rp_9464b11f675533a78f3480b4;rp_68c75289ca47e4102c9cbe64,d | g2 | a,"[{'product_type': 'аксессуар для струнных', 'normalized_product_type': 'аксессуар для струнных', 'singleton_pair_support': 2, 'singleton_target_support': 2, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_9464b11f675533a78f3480b4', 'rp_30dbd168d366363750229468']}]",['аксессуар для струнных'],"[{'source_pair_id': 'rp_9464b11f675533a78f3480b4', 'product_type': 'аксессуар для струнных', 'title_a': 'струна g2 для арфы bow brand lever artists nylon', 'title_b': 'струна a3 для арфы bow brand lever artists nylon ln-19a3', 'target_value_a': 'a3', 'target_value_b': 'g2'}, {'source_pair_id': 'rp_30dbd168d366363750229468', 'product_type': 'аксессуар для струнных', 'title_a': 'bblav-c3-s отдельная струна c (3 октава) для леверсной арфы, жила, bow brand', 'title_b': 'струна d1 для арфы bow brand lever natural gut ls-02d1', 'target_value_a': 'c 3 октава', 'target_value_b': 'd1'}]","{'source_singleton_pairs': 2, 'source_pairs_with_explicit_type': 2, 'observed_exact_product_types': 1, 'supported_product_type_profiles': 1}",False,independent_value,[],,,no_reliable_attribute_key
Обувь,country_of_origin,different_value,0,Страна производства,override,2,"[{'attribute_key': 'страна производства', 'support': 2}, {'attribute_key': 'страна-изготовитель', 'support': 1}, {'attribute_key': 'страна бренда', 'support': 1}]",504,484,20,0.9603174603174603,2,2,0,1.0,1,1,rp_eddf750bc52a856ba02c55c0;rp_b3bff2fda23f0b84d48d3fd9;rp_65f21607abdf57a70eb1d007,китай | россия | китай,[],[],[],"{'source_singleton_pairs': 2, 'source_pairs_with_explicit_type': 0, 'observed_exact_product_types': 0, 'supported_product_type_profiles': 0}",True,independent_value,[],,,no_supported_product_type_profile
Продукты питания,filling,different_value,0,,,1,"[{'attribute_key': 'начинка и добавки', 'support': 1}]",60,49,11,0.8166666666666667,2,2,0,1.0,2,0,rp_0334ed8978bc8984e9279e51;rp_5263323c284c484b7985547d;rp_6de79425eaa7dd6493b769a2,ассорти | черничная | миндаль и нуга,[],[],[],"{'source_singleton_pairs': 2, 'source_pairs_with_explicit_type': 2, 'observed_exact_product_types': 2, 'supported_product_type_profiles': 0}",False,independent_value,[],,,no_reliable_attribute_key
Продукты питания,flavor_additives,different_value,0,,,1,"[{'attribute_key': 'вкус/добавки', 'support': 1}, {'attribute_key': 'состав', 'support': 1}, {'attribute_key': 'вкус и добавки', 'support': 1}]",49,45,4,0.9183673469387755,3,3,0,1.0,3,0,rp_a0bf3ce6d40b1e047f521964;rp_7d5dbf7f1ecc94ff8ed78586;rp_f4afc1dd13dc9192851dc52e,"медовая дыня, вишневый | цитрус, роза, лотос, жасмин, хризантема | с натуральными лесными ягодами","[{'product_type': 'чай листовой', 'normalized_product_type': 'чай листовой', 'singleton_pair_support': 2, 'singleton_target_support': 2, 'singleton_target_probability': 1.0, 'source_pair_ids': ['rp_9c1d486a4bbde104076e07e7', 'rp_02e1f55148a95ec5adcec5c7']}]",['чай листовой'],"[{'source_pair_id': 'rp_9c1d486a4bbde104076e07e7', 'product_type': 'чай листовой', 'title_a': 'hyton китайский чай хайтон бирюзовый, лимон, яблоко, белый кардамон, 90г х 1шт', 'title_b': 'hyton / чай бирюзовый hyton китайский улун, апельсин и персик 90г', 'target_value_a': 'апельсин и персик', 'target_value_b': 'лимон яблоко белый кардамон'}, {'source_pair_id': 'rp_02e1f55148a95ec5adcec5c7', 'product_type': 'чай листовой', 'title_a': 'черный листовой чай с добавками gutenberg брусничный 1000 г.', 'title_b': 'черный листовой чай с добавками gutenberg божественный premium 1000 г.', 'target_value_a': 'апельсин василек китайский лимонник цитрус подсолнечник цветки апельсина', 'target_value_b': 'брусничный'}]","{'source_singleton_pairs': 3, 'source_pairs_with_explicit_type': 3, 'observed_exact_product_types': 2, 'supported_product_type_profiles': 1}",False,independent_value,[],,,no_reliable_attribute_key
Продукты питания,grain_type,different_value,0,,,0,[],15,15,0,1.0,2,2,0,1.0,2,0,rp_fec569c51906cbff42f7bf51;rp_23d8e3348911bf249f34c3aa;rp_92db270fa9aa872fe746e4f0,4-злаковые | кукурузная | мультизлаковая,[],[],[],"{'source_singleton_pairs': 2, 'source_pairs_with_explicit_type': 2, 'observed_exact_product_types': 2, 'supported_product_type_profiles': 0}",False,independent_value,[],,,no_reliable_attribute_key
Продукты питания,model,different_value,0,Модель,override,0,[],96,91,5,0.9479166666666666,4,4,0,1.0,4,0,rp_951d9169c770acd97c7f16bb;rp_d313f7de7e0a134ac55f6be8;rp_860be3eafe7589cc34999fa5,№82 | menghai xiao gong | cereal шоколадные шарики,[],[],[],"{'source_singleton_pairs': 4, 'source_pairs_with_explicit_type': 4, 'observed_exact_product_types': 4, 'supported_product_type_profiles': 0}",False,identity_value,[],,,no_supported_product_type_profile
Продукты питания,nut_type,different_value,0,,,1,"[{'attribute_key': 'вид ореха', 'support': 1}, {'attribute_key': 'вид орехов', 'support': 1}]",18,16,2,0.8888888888888888,2,2,0,1.0,1,1,rp_5ec6f09a90c10de0aa24d757;rp_6d1c36d3d8cfc0378d74dcfb;rp_0b780a5f587c6a2ddf5c72a5,фундук | грецкий орех | миндаль,[],[],[],"{'source_singleton_pairs': 2, 'source_pairs_with_explicit_type': 2, 'observed_exact_product_types': 2, 'supported_product_type_profiles': 0}",False,independent_value,[],,,no_reliable_attribute_key
Продукты питания,product_form,different_value,0,Форма продукта,static_pair_rule_mapping,1,"[{'attribute_key': 'форма мармелада', 'support': 1}]",70,60,10,0.8571428571428571,2,2,0,1.0,2,0,rp_44ab5f93b5eb239bb92856f0;rp_da371970f2fa93f89dc3a0ae;rp_c63ebf965282ceb8ba4eb275,в зернах | орехи в меду | кофе растворимый,[],[],[],"{'source_singleton_pairs': 2, 'source_pairs_with_explicit_type': 2, 'observed_exact_product_types': 2, 'supported_product_type_profiles': 0}",False,product_type_value,[],,,no_supported_product_type_profile
