category,concept,relation,label,attribute_key,attribute_key_source,observed_attribute_key_support,top_observed_attribute_keys,all_pair_support,all_label0,all_label1,all_occurrence_target_probability,singleton_support,singleton_label0,singleton_label1,singleton_target_probability,discovery_singleton_support,validation_singleton_support,example_pair_ids,example_value_pairs,rejection_reason
Продукты питания,filling,different_value,0,,,1,"[{'attribute_key': 'начинка и добавки', 'support': 1}]",60,49,11,0.8166666666666667,2,2,0,1.0,2,0,rp_0334ed8978bc8984e9279e51;rp_5263323c284c484b7985547d;rp_6de79425eaa7dd6493b769a2,ассорти | черничная | миндаль и нуга,no_reliable_attribute_key
Продукты питания,flavor_additives,different_value,0,,,1,"[{'attribute_key': 'вкус/добавки', 'support': 1}, {'attribute_key': 'состав', 'support': 1}, {'attribute_key': 'вкус и добавки', 'support': 1}]",49,45,4,0.9183673469387755,3,3,0,1.0,3,0,rp_a0bf3ce6d40b1e047f521964;rp_7d5dbf7f1ecc94ff8ed78586;rp_f4afc1dd13dc9192851dc52e,"медовая дыня, вишневый | цитрус, роза, лотос, жасмин, хризантема | с натуральными лесными ягодами",no_reliable_attribute_key
Продукты питания,grain_type,different_value,0,,,0,[],15,15,0,1.0,2,2,0,1.0,2,0,rp_fec569c51906cbff42f7bf51;rp_23d8e3348911bf249f34c3aa;rp_92db270fa9aa872fe746e4f0,4-злаковые | кукурузная | мультизлаковая,no_reliable_attribute_key
Продукты питания,nut_type,different_value,0,,,1,"[{'attribute_key': 'вид ореха', 'support': 1}, {'attribute_key': 'вид орехов', 'support': 1}]",18,16,2,0.8888888888888888,2,2,0,1.0,1,1,rp_5ec6f09a90c10de0aa24d757;rp_6d1c36d3d8cfc0378d74dcfb;rp_0b780a5f587c6a2ddf5c72a5,фундук | грецкий орех | миндаль,no_reliable_attribute_key
Продукты питания,product_name,different_value,0,,,0,[],42,39,3,0.9285714285714286,2,2,0,1.0,1,1,rp_05ed7c43738cce4f698b54f5;rp_36e493c0582fcc5ff1ed038f;rp_0d4c1896c82e13ad6fa382ee,клюква на коньяке | фруктовый чай - глинтвейн | аркадий,generic_concept
Спорт и отдых,caliber,different_value,0,,,0,[],4,4,0,1.0,2,2,0,1.0,1,1,rp_165d6c4661df22227284d49f;rp_cae4097a808e163c5251fb0d;rp_9f9c7fd95990c15ca6fc8221,"20 калибр | 4,5 | 9 калибр",no_reliable_attribute_key
Спорт и отдых,model_code,different_value,0,,,1,"[{'attribute_key': 'цвет производителя', 'support': 1}]",14,13,1,0.9285714285714286,2,2,0,1.0,2,0,rp_22c13ecbfbbf7f7e57c274cb;rp_3549e896a5c82491f214de00;rp_c941dac65920c3169a519b56,fk010 | 003 | 026,no_reliable_attribute_key
Спорт и отдых,spindle_length,different_value,0,,,1,"[{'attribute_key': 'длина, мм', 'support': 1}]",2,2,0,1.0,2,2,0,1.0,2,0,rp_b406ff3baa6a179015528a62;rp_0e1f0cda80724aaf57804c13,"122,5 мм | 115 мм",no_reliable_attribute_key
Строительство и ремонт,diameter_range,different_value,0,,,0,[],4,4,0,1.0,2,2,0,1.0,2,0,rp_a09bfa5ebf938bcca4e8e906;rp_09d2cd3a305d657d7b832138;rp_40d2220adc6a725f2e9a2a1f,110-114 | 30-45 | 80-85,no_reliable_attribute_key
Строительство и ремонт,grit,different_value,0,,,1,"[{'attribute_key': 'зернистость', 'support': 1}]",12,11,1,0.9166666666666666,2,2,0,1.0,2,0,rp_81b98618623edaf301bad5d7;rp_151c5cdecb63566cc0c2e26b;rp_e62f5645afde92743c8e39de,p150 | p100 | p 120,no_reliable_attribute_key
Строительство и ремонт,rated_current,different_value,0,,,1,"[{'attribute_key': 'номинальный ток, а', 'support': 1}]",23,21,2,0.9130434782608695,2,2,0,1.0,2,0,rp_d5bf8d1f25359c5003a87d32;rp_e2f29a12287f6ca1ee719334;rp_4fbc93fb22bba744a0e785d1,16 а | 16а | 4а,no_reliable_attribute_key
Строительство и ремонт,socket_size,different_value,0,,,1,"[{'attribute_key': 'размер ключа (мм)', 'support': 1}]",13,13,0,1.0,3,3,0,1.0,3,0,rp_d14ef86b2abdbb75ec26d79d;rp_b9cc1e9d917af1ecd1262d10;rp_84491640543b53bcbab9bee5,42мм | е20 | 27,no_reliable_attribute_key
Строительство и ремонт,thread_size,different_value,0,,,0,[],16,16,0,1.0,2,2,0,1.0,2,0,rp_0c4eb4e2b5081ca926bad36d;rp_dbe1167366436f1566858621;rp_6dc31e128f97ed9fe0fb4f58,"1/2"" | м14x2.0мм | 1/2'",no_reliable_attribute_key
Товары для животных,breed,different_value,0,,,0,[],26,14,12,0.5384615384615384,2,2,0,1.0,2,0,rp_239aa9aba4fa1f79e63ac473;rp_0b967e1fb6c419b52babe34a;rp_994b28960840c58c7565c64d,чихуа-хуа | абиссинская | для любой породы,no_reliable_attribute_key
Хобби и творчество,design,different_value,0,,,0,[],7,7,0,1.0,4,4,0,1.0,3,1,rp_00dbf978c059570bb313c2a4;rp_cdb9161978d156a417bbd25c;rp_d2e184946b7b881466fa3ccb,"череп и кости | гатс, 05 | снеговичок",no_reliable_attribute_key
Хобби и творчество,model_type,different_value,0,,,0,[],4,2,2,0.5,2,2,0,1.0,1,1,rp_b8c135fa4a43730b92d92016;rp_61bdb01b79e1aada63ceaf6b;rp_f87ed4aaefc8e8471cfd9a2d,деревянная модель | ударный вертолет ah-1w супер кобра | сборная модель военной техники,no_reliable_attribute_key
Электроника,connector_type,different_value,0,,,1,"[{'attribute_key': 'коннектор 1', 'support': 1}]",39,34,5,0.8717948717948718,3,3,0,1.0,3,0,rp_8aa600b526fbca66b6ff434a;rp_09cc0e94f2be3bae4b2e4f74;rp_38511f97e7d082e019c87f98,"type-c type-c | mono jack 6,3 <-> mono jack 6,3 | 4.5x3.0мм",no_reliable_attribute_key
Электроника,part_type,different_value,0,,,0,[],4,4,0,1.0,2,2,0,1.0,2,0,rp_569de72fac124bf0c28ed76b;rp_5bb18672138b16382773bece;rp_52437bbc89eff1d897c3f4a8,чехол для телефона | шлейф кнопки включения и кнопок громкости | нижняя плата с разъемом зарядки/гарнитуры/микрофон,no_reliable_attribute_key
