category,target,count,share_within_category
Галантерея и аксессуары,0.2222222222222222,17980,0.03258515545003942
Галантерея и аксессуары,0.3333333333333333,16417,0.029752530423987605
Галантерея и аксессуары,0.4444444444444444,8178,0.014820990059534057
Галантерея и аксессуары,0.5555555555555556,8262,0.014973223266308436
Галантерея и аксессуары,0.6666666666666666,4580,0.00830033436936488
Галантерея и аксессуары,0.7777777777777778,6863,0.012437815453482787
Галантерея и аксессуары,0.8888888888888888,13264,0.024038348269706498
Галантерея и аксессуары,1.0,21848,0.03959513216198338
Детские товары,0.0,323337,0.5784038381727893
Детские товары,0.1111111111111111,14,2.5044005896074532e-05
Детские товары,0.2222222222222222,28132,0.05032414099059777
Детские товары,0.3333333333333333,26183,0.04683765759835139
Детские товары,0.4444444444444444,14759,0.02640174878715457
Детские товары,0.5555555555555556,17834,0.03190248579647094
Детские товары,0.6666666666666666,10259,0.018351889749130615
Детские товары,0.7777777777777778,18503,0.033099231506790505
Детские товары,0.8888888888888888,41305,0.0738887616812399
Детские товары,1.0,78690,0.1407652017115789
Дом и сад,0.0,369267,0.6446193996630851
Дом и сад,0.1111111111111111,76,0.00013267114140823433
Дом и сад,0.2222222222222222,31059,0.05421885501313619
Дом и сад,0.3333333333333333,24923,0.043507406017334535
Дом и сад,0.4444444444444444,13451,0.023481046356344213
Дом и сад,0.5555555555555556,13539,0.02363466557271164
Дом и сад,0.6666666666666666,9631,0.01681257582766717
Дом и сад,0.7777777777777778,15008,0.02619905908229975
Дом и сад,0.8888888888888888,39455,0.06887552479291956
Дом и сад,1.0,56436,0.09851879653309359
Канцелярские товары,0.0,344843,0.6221278883484637
Канцелярские товары,0.1111111111111111,25,4.510225583442782e-05
Канцелярские товары,0.2222222222222222,28344,0.05113513357484088
Канцелярские товары,0.3333333333333333,25795,0.04653650756996262
Канцелярские товары,0.4444444444444444,14079,0.025399786395716367
Канцелярские товары,0.5555555555555556,15089,0.02722191753142725
Канцелярские товары,0.6666666666666666,9006,0.016247636641794277
Канцелярские товары,0.7777777777777778,15359,0.027709021894439072
Канцелярские товары,0.8888888888888888,37966,0.06849408980039545
Канцелярские товары,1.0,63790,0.11508291598712601
Красота и гигиена,0.0,328126,0.573570644459827
Красота и гигиена,0.1111111111111111,64,0.00011187324761045736
Красота и гигиена,0.2222222222222222,31273,0.054665813633153634
Красота и гигиена,0.3333333333333333,25906,0.04528419300932044
Красота и гигиена,0.4444444444444444,13252,0.023164754333340327
Красота и гигиена,0.5555555555555556,15890,0.027776029758283863
Красота и гигиена,0.6666666666666666,9500,0.016606185192177263
Красота и гигиена,0.7777777777777778,16506,0.028852809766534517
Красота и гигиена,0.8888888888888888,40448,0.07070389248980904
Красота и гигиена,1.0,91111,0.15926380410994342
Мебель,0.0,345491,0.6116151486236973
Мебель,0.1111111111111111,155,0.0002743931044127722
Мебель,0.2222222222222222,62220,0.11014670294556572
Мебель,0.3333333333333333,40085,0.07096159735732886
Мебель,0.4444444444444444,16975,0.030050470628431022
Мебель,0.5555555555555556,14656,0.02594519573079735
Мебель,0.6666666666666666,10272,0.01818429657114836
Мебель,0.7777777777777778,14364,0.02542827452764555
Мебель,0.8888888888888888,30996,0.0548715397701825
Мебель,1.0,29669,0.05252238074079057
Музыкальные инструменты,0.0,273401,0.5301808309497261
Музыкальные инструменты,0.1111111111111111,15,2.908808842778882e-05
Музыкальные инструменты,0.2222222222222222,25182,0.048833082852571874
Музыкальные инструменты,0.3333333333333333,23977,0.046496339748872836
Музыкальные инструменты,0.4444444444444444,13902,0.02695884035487468
Музыкальные инструменты,0.5555555555555556,18148,0.0351927085858341
Музыкальные инструменты,0.6666666666666666,9996,0.01938430212827847
Музыкальные инструменты,0.7777777777777778,17744,0.03440926940417899
Музыкальные инструменты,0.8888888888888888,41014,0.07953459058515538
Музыкальные инструменты,1.0,92296,0.1789809473020798
Обувь,0.0,527039,0.8934469582670785
Обувь,0.1111111111111111,1,1.6952198191539496e-06
Обувь,0.2222222222222222,11885,0.02014768755064469
Обувь,0.3333333333333333,10858,0.018406696796373585
Обувь,0.4444444444444444,4668,0.007913286115810637
Обувь,0.5555555555555556,4348,0.0073708157736813735
Обувь,0.6666666666666666,2698,0.004573703072077356
Обувь,0.7777777777777778,4220,0.007153827636829668
Обувь,0.8888888888888888,7257,0.012302210227600212
Обувь,1.0,16920,0.02868311934008483
Одежда,0.0,531809,0.8919617459209961
Одежда,0.1111111111111111,14,2.3481107771575783e-05
Одежда,0.2222222222222222,15794,0.02649004401030485
Одежда,0.3333333333333333,12539,0.021030686453413484
Одежда,0.4444444444444444,5237,0.008783611528553026
Одежда,0.5555555555555556,4243,0.007116452876771147
Одежда,0.6666666666666666,2757,0.004624101009016745
Одежда,0.7777777777777778,3785,0.006348285208243882
Одежда,0.8888888888888888,7429,0.012460082116788321
Одежда,1.0,12617,0.021161509768140834
Продукты питания,0.0,290303,0.5180938341581464
Продукты питания,0.1111111111111111,182,0.00032480917460991665
Продукты питания,0.2222222222222222,51785,0.09241891817128865
Продукты питания,0.3333333333333333,36120,0.06446212849950654
Продукты питания,0.4444444444444444,16498,0.02944341627865058
Продукты питания,0.5555555555555556,16881,0.030126943277967052
Продукты питания,0.6666666666666666,10884,0.01942430250799084
Продукты питания,0.7777777777777778,16350,0.029179285741055702
Продукты питания,0.8888888888888888,43304,0.07728316756762545
Продукты питания,1.0,78022,0.1392431946231589
Спорт и отдых,0.0,340932,0.6232350338917365
Спорт и отдых,0.1111111111111111,35,6.398116394533449e-05
Спорт и отдых,0.2222222222222222,31678,0.057908437470294456
Спорт и отдых,0.3333333333333333,27863,0.050934490600253
Спорт и отдых,0.4444444444444444,15168,0.02772760842065239
Спорт и отдых,0.5555555555555556,16487,0.030138784284763707
Спорт и отдых,0.6666666666666666,10390,0.01899326552548644
Спорт и отдых,0.7777777777777778,16307,0.02980973829875913
Спорт и отдых,0.8888888888888888,37944,0.06936289384976492
Спорт и отдых,1.0,50232,0.09182576649434407
Строительство и ремонт,0.0,324037,0.5706142559793194
Строительство и ремонт,0.1111111111111111,159,0.00027999168829705184
Строительство и ремонт,0.2222222222222222,39876,0.07021980228008326
Строительство и ремонт,0.3333333333333333,30244,0.05325829321293104
Строительство и ремонт,0.4444444444444444,15769,0.027768483853812642
Строительство и ремонт,0.5555555555555556,16991,0.029920369659466713
Строительство и ремонт,0.6666666666666666,11246,0.019803688846469464
Строительство и ремонт,0.7777777777777778,19106,0.03364478740002184
Строительство и ремонт,0.8888888888888888,47912,0.08437082874017827
Строительство и ремонт,1.0,62534,0.11011949833942036
Товары для животных,0.0,270573,0.47814807811591564
Товары для животных,0.1111111111111111,121,0.0002138273865168579
Товары для животных,0.2222222222222222,44975,0.07947840255037755
Товары для животных,0.3333333333333333,33657,0.05947758965287509
Товары для животных,0.4444444444444444,16578,0.029296119121293145
Товары для животных,0.5555555555555556,17514,0.030950188821952475
Товары для животных,0.6666666666666666,11521,0.02035954809967537
Товары для животных,0.7777777777777778,19246,0.03401092463556568
Товары для животных,0.8888888888888888,48725,0.08610528436391654
Товары для животных,1.0,102967,0.18196003725191162
Хобби и творчество,0.0,348375,0.6353358913942648
Хобби и творчество,0.1111111111111111,18,3.2826827542437795e-05
Хобби и творчество,0.2222222222222222,22785,0.041553292530802505
Хобби и творчество,0.3333333333333333,21945,0.04002137391215541
Хобби и творчество,0.4444444444444444,13935,0.025413435655770592
Хобби и творчество,0.5555555555555556,15339,0.02797392820408074
Хобби и творчество,0.6666666666666666,10024,0.018280895515855357
Хобби и творчество,0.7777777777777778,15016,0.027384869020958106
Хобби и творчество,0.8888888888888888,45026,0.0821144853847669
Хобби и творчество,1.0,55869,0.10188900155380318
Электроника,0.0,449621,0.7697671631569937
Электроника,0.1111111111111111,22,3.766478342749529e-05
Электроника,0.2222222222222222,25779,0.04413456599897278
Электроника,0.3333333333333333,22905,0.03921417565485362
Электроника,0.4444444444444444,11592,0.01984591679506934
Электроника,0.5555555555555556,11549,0.019772299263824688
Электроника,0.6666666666666666,7452,0.01275808936825886
Электроника,0.7777777777777778,10591,0.0181321691491183
Электроника,0.8888888888888888,19509,0.03340010272213662
Электроника,1.0,25080,0.04293785310734463
Ювелирные изделия,0.0,410374,0.7838311218243182
Ювелирные изделия,0.1111111111111111,9,1.719036804577986e-05
Ювелирные изделия,0.2222222222222222,26986,0.05154436356482392
Ювелирные изделия,0.3333333333333333,19419,0.037091084120111015
Ювелирные изделия,0.4444444444444444,8932,0.017060485264989524
Ювелирные изделия,0.5555555555555556,7287,0.01391846799439976
Ювелирные изделия,0.6666666666666666,4930,0.009416501607299413
Ювелирные изделия,0.7777777777777778,7530,0.014382607931635816
Ювелирные изделия,0.8888888888888888,21176,0.040447025970826035
Ювелирные изделия,1.0,16906,0.03229115135355048
