pattern,category,analogy_score,lexical_analogy,structure_analogy,target1_target,target1_pair,target1_title1,target1_title2,target1_numbers1,target1_numbers2,target1_codes1,target1_codes2,target1_s2_score,target1_catboost_score,target0_target,target0_title1,target0_pair,target0_title2,target0_numbers1,target0_numbers2,target0_codes1,target0_codes2,target0_s2_score,target0_catboost_score,manual_policy_verdict,manual_comment
code_conflict,Музыкальные инструменты,0.7176397224026023,0.65285014914875,0.9120084421641594,1.0,[A] струны для бас-гитары d'addario esxl170 45-100 || [B] комплект струн для бас-гитары d'addario exl170s,струны для бас-гитары d'addario esxl170 45-100,комплект струн для бас-гитары d'addario exl170s,100 | 45,110,esxl170,exl170s,0.02692581,0.04170231,0.0,d'addario nw017 - одиночная струна,[A] d'addario nw017 - одиночная струна || [B] струна для электрогитары d'addario nw018 обмотка никелированная сталь,струна для электрогитары d'addario nw018 обмотка никелированная сталь,17 | 4,,nw017,nw018,0.020860448,0.030125717,,
code_conflict,Музыкальные инструменты,0.7007277222760014,0.6420757146936786,0.8766837450229699,1.0,[A] чехол для уменьшенной гитары martin romas гк-1 кант чёрный размер 1/2-3/4 || [B] dasmax / mrгк-2 чехол для классической гитары 1/2,чехол для уменьшенной гитары martin romas гк-1 кант чёрный размер 1/2-3/4,dasmax / mrгк-2 чехол для классической гитары 1/2,1 | 2 | 3 | 4,1 | 2 | 35 | 4 | 5,гк1,mrгк2,0.022394415,0.026786763,0.0,"mz-chgb-3b/skull2 чехол для бас-гитары, черный/черепа, mezzo","[A] mz-chgb-3b/skull2 чехол для бас-гитары, черный/черепа, mezzo || [B] mz-chgc-3grey чехол для классической гитары, mezzo","mz-chgc-3grey чехол для классической гитары, mezzo",,1 | 105,mzchgb3b | skull2,mzchgc3grey,0.010331561,0.02660071,,
code_conflict,Музыкальные инструменты,0.7006400202365751,0.6805723513013946,0.760843027042117,1.0,"[A] rico rgc10asx350 трости для альт-саксофона grand concert alto sax 3.5, 10 шт. || [B] трости для сопрано-саксофона rico grand concert select rgc10ssx350","rico rgc10asx350 трости для альт-саксофона grand concert alto sax 3.5, 10 шт.",трости для сопрано-саксофона rico grand concert select rgc10ssx350,10 | 2.5 | 3.5,,rgc10asx350,rgc10ssx350,0.067647904,0.06752031,0.0,rico rsf10ssx3m трости для саксофона,[A] rico rsf10ssx3m трости для саксофона || [B] rico rsf10ssx4m трости для саксофона,rico rsf10ssx4m трости для саксофона,,0.6 | 0.8 | 10 | 4.0,rsf10ssx3m,rsf10ssx4m,0.013701603,0.020772537,,
code_conflict,Музыкальные инструменты,0.6861240235386362,0.7019805311843887,0.6385545006013786,1.0,[A] fabio / stratocaster электрогитара h-s-s st200 bk || [B] flight est13 bk электрогитара,fabio / stratocaster электрогитара h-s-s st200 bk,flight est13 bk электрогитара,1 | 21 | 3 | 33 | 4 | 4.5 | 42 | 6 | 645 | 99,,st200,est13,0.022039324,0.022405237,0.0,jet js-450 tbl - электрогитара шестиструнная,"[A] jet js-450 tbl - электрогитара шестиструнная || [B] jet electric / jt-450q - электрогитара, telecaster","jet electric / jt-450q - электрогитара, telecaster",12 | 22 | 450 | 6 | 648 | 6670335486,101 | 22 | 4 | 42 | 5 | 6 | 647.7,js450,jt450q,0.00905846,0.008462412,,
code_conflict,Музыкальные инструменты,0.6838865760527348,0.652868855986127,0.7769397362525584,1.0,[A] трость для бас-кларнета rigotti gold classic rg.ccb-2.5 || [B] трость для саксофона-альт rigotti gold classic rg. csa-4,трость для бас-кларнета rigotti gold classic rg.ccb-2.5,трость для саксофона-альт rigotti gold classic rg. csa-4,2.5,10 | 4,ccb2,csa4,0.038079925,0.02710077,0.0,трость для бас-кларнета rigotti gold jazz rg.jcb-3.5,[A] трость для бас-кларнета rigotti gold jazz rg.jcb-3.5 || [B] трость для бас-кларнета rigotti gold classic rg.ccb-3.5,трость для бас-кларнета rigotti gold classic rg.ccb-3.5,3.5,100042338109 | 3.5,jcb3,ccb3,0.03445722,0.04946262,,
code_conflict,Музыкальные инструменты,0.680180773385858,0.5982407239195757,0.9260009217847048,1.0,"[A] dasmax / mrгк-2 чехол для классической гитары 4/4 || [B] martin romas гк-2bl - чехол для классической гитары  цвет - голубой, утепленный",dasmax / mrгк-2 чехол для классической гитары 4/4,"martin romas гк-2bl - чехол для классической гитары  цвет - голубой, утепленный",2 | 35 | 4 | 5,500,mrгк2,гк2bl,0.013628273,0.022391109,0.0,valencia vc104bus гитара классическая,[A] valencia vc104bus гитара классическая || [B] гитара belucci классическая 7/8 bc3825 bls,гитара belucci классическая 7/8 bc3825 bls,18 | 2 | 4 | 6,7 | 8,vc104bus,bc3825,0.0052310117,0.013194165,,
color_conflict,Детские товары,1.0000000000000002,1.0000000000000002,1.0,1.0,[A] мягкая плюшевая игрушка подушка гусь обнимусь 130 см || [B] asras - toy / мягкая игрушка подушка гусь обнимусь 130 см большая,мягкая плюшевая игрушка подушка гусь обнимусь 130 см,asras - toy / мягкая игрушка подушка гусь обнимусь 130 см большая,0 | 130,125 | 13 | 130 | 2 | 20 | 30 | 9 | 90,,,0.21230611,0.1708061,0.0,asras - toy / мягкая игрушка подушка гусь обнимусь 130 см большая,[A] asras - toy / мягкая игрушка подушка гусь обнимусь 130 см большая || [B] мягкая плюшевая игрушка подушка гусь обнимусь 130 см,мягкая плюшевая игрушка подушка гусь обнимусь 130 см,125 | 13 | 130 | 2 | 20 | 30 | 9 | 90,0 | 130,,,0.21230611,0.1708061,,
color_conflict,Галантерея и аксессуары,0.9837410099334538,0.9999999999999992,0.9349640397338173,1.0,"[A] наручные часы восток командирские, синий, черный || [B] восток часы наручные механические","наручные часы восток командирские, синий, черный",восток часы наручные механические,12 | 2 | 36,18 | 2 | 40 | 61,,,0.00781541,0.013377968,0.0,восток часы наручные механические,"[A] восток часы наручные механические || [B] наручные часы восток командирские, оранжевый","наручные часы восток командирские, оранжевый",18 | 2 | 40 | 61,12 | 18 | 2 | 40.9 | 40.90 | 75 | 80,,2414а,0.017818848,0.010845829,,
color_conflict,Мебель,0.981055606464001,1.0,0.9242224258560041,1.0,"[A] лига диванов прямой диван, механизм еврокнижка, 224х80х91 см || [B] прямой диван лига диванов меркурий лайт 112924","лига диванов прямой диван, механизм еврокнижка, 224х80х91 см",прямой диван лига диванов меркурий лайт 112924,02 | 112923 | 127 | 18 | 192 | 224 | 40 | 69 | 80 | 91 | 95000,02 | 1.5 | 112924 | 1270 | 150 | 1920 | 2240 | 400 | 800 | 910 | 95 | 95.00,224х80х91,2240x910x800,0.33550888,0.2878644,0.0,"лига диванов прямой диван, механизм аккордеон, 132х110х93 см","[A] лига диванов прямой диван, механизм аккордеон, 132х110х93 см || [B] лига диванов прямой диван меркурий 100",лига диванов прямой диван меркурий 100,100 | 105493 | 110 | 132 | 18 | 190 | 41 | 57 | 75000 | 93,1 | 100 | 110 | 87,132х110х93,132х110х93,0.79785365,0.7304627,,
color_conflict,Мебель,0.9344277187798474,0.9129167338314842,0.9989606736249369,1.0,[A] кровать astria подъемным механизмом с размером спального места 160x200 || [B] без бренда кровать alfia подъемным механизмом с размером спального места 160x200,кровать astria подъемным механизмом с размером спального места 160x200,без бренда кровать alfia подъемным механизмом с размером спального места 160x200,1 | 120 | 160 | 168 | 18 | 200 | 210 | 230 | 30 | 4532222346 | 60000,100 | 12 | 120 | 160 | 168 | 2 | 200 | 210 | 250 | 30,160x200,160x200 | 200х120х8,0.03434983,0.033877447,0.0,без бренда кровать linch с подъемным механизмом с размером спального места 90x200,[A] без бренда кровать linch с подъемным механизмом с размером спального места 90x200 || [B] кровать sierra с подъемным механизмом с размером спального места 90x200,кровать sierra с подъемным механизмом с размером спального места 90x200,100 | 120 | 2 | 200 | 210 | 250 | 30 | 90 | 98,1 | 120 | 13332006879 | 18 | 200 | 210 | 250 | 30 | 60000 | 90 | 98,200х120х8 | 90x200,90x200,0.01940222,0.023005113,,
color_conflict,Музыкальные инструменты,0.9217612056146232,1.0000000000000002,0.6870448224584919,1.0,[A] электрогитара aria stg-003/m 3ts || [B] электрогитара aria stg-003 3ts,электрогитара aria stg-003/m 3ts,электрогитара aria stg-003 3ts,003 | 1 | 12 | 22 | 3 | 6 | 648 | 7080 | 888880031806,003 | 1 | 2 | 22 | 25.5 | 43 | 6,os1 | stg003,stg003 | vft1,0.03364905,0.02495474,0.0,электрогитара aria stg-003 3ts,[A] электрогитара aria stg-003 3ts || [B] электрогитара леворукая aria stg-003-l 3ts,электрогитара леворукая aria stg-003-l 3ts,003 | 1 | 2 | 22 | 25.5 | 43 | 6,003 | 22 | 3 | 6 | 648,stg003 | vft1,3х | stg003l,0.10765031,0.059020445,,
color_conflict,Хобби и творчество,0.9062554660224307,1.0000000000000002,0.6250218640897216,1.0,"[A] хоббимагазин / алмазная мозаика на подрамнике 33*43 || [B] алмазная мозаика на подрамнике, набор для творчества, картина для выкладки стразами 33*43 см, алмазная россыпь",хоббимагазин / алмазная мозаика на подрамнике 33*43,"алмазная мозаика на подрамнике, набор для творчества, картина для выкладки стразами 33*43 см, алмазная россыпь",1 | 10 | 250 | 3 | 33 | 35 | 43 | 45,1 | 10 | 33 | 330 | 43 | 430 | 6916591859,,multimedia1n,0.21454898,0.18784955,0.0,алмазная мозаика на подрамнике 40х50,[A] алмазная мозаика на подрамнике 40х50 || [B] алмазная мозаика 40х50cm на подрамнике,алмазная мозаика 40х50cm на подрамнике,30 | 4 | 6 | 650,1 | 2 | 3 | 4 | 40 | 400 | 50 | 500 | 6 | 6768918853,40х50,40х50cm | ga73217,0.124345675,0.063845575,,
color_conflict,Обувь,0.9011907010935039,0.9999999999999999,0.6047628043740159,1.0,"[A] туфли tendance || [B] tendance туфли tendance, размер 35, белый",туфли tendance,"tendance туфли tendance, размер 35, белый",0.3 | 39 | 5.5,35 | 5.5,,,0.021974472,0.025766052,0.0,туфли женские tendance pz-d2218-2 черные 40 eu,[A] туфли женские tendance pz-d2218-2 черные 40 eu || [B] туфли tendance,туфли tendance,100064929326 | 2 | 25.5 | 3428129 | 40 | 5.5,0.3 | 40 | 5.7,pzd22182,,0.55112207,0.6244114,,
color_conflict,Музыкальные инструменты,0.8997599592636136,0.9695229912597197,0.6904708632752953,1.0,[A] terris / электрогитара шестиструнная tlp 039 wh || [B] terris tlp-039 wh - электрогитара шестиструнная,terris / электрогитара шестиструнная tlp 039 wh,terris tlp-039 wh - электрогитара шестиструнная,039 | 1 | 100 | 2 | 22 | 4.8 | 42 | 43 | 6 | 628.7,039 | 12 | 2 | 6695771366,,multimedia2 | tlp039,0.8057137,0.90328306,0.0,terris tlp-039 bk электрогитара шестиструнная,[A] terris tlp-039 bk электрогитара шестиструнная || [B] terris / электрогитара шестиструнная tlp 039 wh,terris / электрогитара шестиструнная tlp 039 wh,039 | 1000 | 12 | 22 | 400 | 42 | 4500 | 50 | 6 | 648,039 | 1 | 100 | 2 | 22 | 4.8 | 42 | 43 | 6 | 628.7,tlp039,,0.013575476,0.025243014,,
color_conflict,Автотовары,0.890823989842594,0.9085935914260691,0.8375151850921688,1.0,"[A] краска для сколов во флаконе с кисточкой color1 для peugeot, цвет u17 - gris titanium || [B] краска для сколов во флаконе с кисточкой color1 для skoda, цвет lf7u - seda stone/stone grey","краска для сколов во флаконе с кисточкой color1 для peugeot, цвет u17 - gris titanium","краска для сколов во флаконе с кисточкой color1 для skoda, цвет lf7u - seda stone/stone grey",0.075 | 20 | 365,1 | 20 | 6694191191,color1,color1,0.009356994,0.024286322,0.0,"краска для сколов во флаконе с кисточкой color1 для toyota, цвет d02 - silver","[A] краска для сколов во флаконе с кисточкой color1 для toyota, цвет d02 - silver || [B] краска для сколов во флаконе с кисточкой color1 для toyota, цвет 22u - dahlia blue","краска для сколов во флаконе с кисточкой color1 для toyota, цвет 22u - dahlia blue",0.075 | 20 | 365,,color1,color1,0.008171796,0.028072394,,
color_conflict,Музыкальные инструменты,0.8551902060977573,0.8805696334944182,0.7790519239077746,1.0,"[A] evans / tt14ec2s пластик для малого и том барабана 14"" || [B] genera resonant пластик для том барабана 14"", резонансный, evans tt14gr","evans / tt14ec2s пластик для малого и том барабана 14""","genera resonant пластик для том барабана 14"", резонансный, evans tt14gr",1 | 14,14,tt14ec2s,tt14gr,0.026612375,0.024763135,0.0,"evans bd22emad пластик для бас-барабана 22""","[A] evans bd22emad пластик для бас-барабана 22"" || [B] evans bd22rsw eq3 пластик для бас-барабана 22""","evans bd22rsw eq3 пластик для бас-барабана 22""",22,1 | 22,bd22emad,bd22rsw,0.015414301,0.018347817,,
color_conflict,Автотовары,0.7928054487679956,0.7293021234957449,0.9833154245847477,1.0,"[A] краска для сколов во флаконе с кисточкой color1 для renault, цвет h30 - orange || [B] краска для сколов во флаконе с кисточкой color1 для renault, цвет hnd - jaune","краска для сколов во флаконе с кисточкой color1 для renault, цвет h30 - orange","краска для сколов во флаконе с кисточкой color1 для renault, цвет hnd - jaune",1 | 20 | 6691349835,0.075 | 20 | 365,color1,color1,0.006706863,0.024677016,0.0,"краска для сколов во флаконе с кисточкой color1 для ford, цвет pvv - ice blue","[A] краска для сколов во флаконе с кисточкой color1 для ford, цвет pvv - ice blue || [B] краска для сколов во флаконе с кисточкой color1 для ford, цвет 3cta - blue print","краска для сколов во флаконе с кисточкой color1 для ford, цвет 3cta - blue print",1 | 20 | 6681396626,0.075 | 20 | 365,color1,color1,0.024693077,0.031388,,
color_conflict,Электроника,0.7795143631110295,0.7930714155114624,0.7388432059097306,1.0,[A] дизайнерский силиконовый чехол для tecno spark 20 pro амонг ас обои || [B] tecno / чехол на tecno spark 20 pro/текно спарк 20 про,дизайнерский силиконовый чехол для tecno spark 20 pro амонг ас обои,tecno / чехол на tecno spark 20 pro/текно спарк 20 про,20 | 21880 | 71 | 82867,1 | 16 | 20 | 25 | 8,100gadgets,,0.014241369,0.015460778,0.0,tecno / чехол на tecno spark 20 pro/текно спарк 20 про,"[A] tecno / чехол на tecno spark 20 pro/текно спарк 20 про || [B] чехол на tecno spark 20 pro (для техно спарк 20 про) силикон с рисунком ""капли на филетовой траве""","чехол на tecno spark 20 pro (для техно спарк 20 про) силикон с рисунком ""капли на филетовой траве""",1 | 16 | 20 | 25 | 8,115322 | 169.6 | 20 | 24 | 6.78 | 77.6 | 9.4,,,0.0076102987,0.012808555,,
color_conflict,Ювелирные изделия,0.7764924856961576,0.7390749203903721,0.8887451816135141,1.0,[A] обручальное кольцо золотое || [B] золотой parad / обручальное кольцо золотое,обручальное кольцо золотое,золотой parad / обручальное кольцо золотое,1.17 | 18.5 | 2023 | 585,1.2 | 18.5 | 375,оба040,,0.12621012,0.075910605,0.0,sokolov / обручальное кольцо серебро 925 пробы ювелирное,[A] sokolov / обручальное кольцо серебро 925 пробы ювелирное || [B] роскошь кольцо обручальное серебро позолоченное 925 пробы,роскошь кольцо обручальное серебро позолоченное 925 пробы,16.5 | 2.94 | 925,1.52 | 20.5 | 925 | 93110001,,,0.16947159,0.13445084,,
color_conflict,Электроника,0.7544456598659959,0.7200141217252829,0.8577402742881348,1.0,"[A] soundcore наушники беспроводные с микрофоном, серый || [B] soundcore / полноразмерные беспроводные наушники soundcore life tune","soundcore наушники беспроводные с микрофоном, серый",soundcore / полноразмерные беспроводные наушники soundcore life tune,12 | 16 | 240 | 40000 | 5.0,12 | 120 | 15 | 16 | 18 | 22 | 235 | 40 | 40000 | 5.0 | 535 | 7 | 720 | 95,,,0.05093854,0.034084026,0.0,наушники air беспроводные,[A] наушники air беспроводные || [B] наушники airpods беспроводные,наушники airpods беспроводные,1 | 100 | 120 | 2 | 20 | 20000 | 22 | 3 | 4 | 40 | 5.0 | 50 | 55 | 90,2 | 210 | 23 | 6,,,0.09041695,0.03821569,,
color_conflict,Автотовары,0.7325762450966466,0.6481856605065164,0.9857479988670377,1.0,"[A] краска для сколов во флаконе с кисточкой color1 для nissan, цвет 54a - green golden || [B] краска для сколов во флаконе с кисточкой color1 для nissan, цвет nh0 - dk green","краска для сколов во флаконе с кисточкой color1 для nissan, цвет 54a - green golden","краска для сколов во флаконе с кисточкой color1 для nissan, цвет nh0 - dk green",0.075 | 1 | 20,1 | 20 | 6663718679,color1,color1,0.019724227,0.031768825,0.0,"краска для сколов во флаконе с кисточкой color1 для mazda, цвет 34m - cosmic blue","[A] краска для сколов во флаконе с кисточкой color1 для mazda, цвет 34m - cosmic blue || [B] краска для сколов во флаконе с кисточкой color1 для mazda, цвет u1 - arctic blue","краска для сколов во флаконе с кисточкой color1 для mazda, цвет u1 - arctic blue",0.075 | 365 | 40,1 | 20 | 6650572769,color1,color1,0.013599181,0.0256496,,
color_conflict,Ювелирные изделия,0.721157954437119,0.762914381777494,0.5958886724159939,1.0,[A] sokolov / подвеска кулон из серебра 925 пробы с корундами || [B] подвеска из серебра балерина,sokolov / подвеска кулон из серебра 925 пробы с корундами,подвеска из серебра балерина,1.400 | 1.50 | 1.9 | 17 | 2.50 | 34 | 5.00 | 7 | 925,2.02 | 894032833 | 925,,,0.026274633,0.023564357,0.0,multisilver / подвеска на шею серебро 925,[A] multisilver / подвеска на шею серебро 925 || [B] подвеска на шею серебро 925,подвеска на шею серебро 925,0.3 | 925,1.7 | 2.0 | 20 | 3 | 41030001 | 925,,,0.043703154,0.030546943,,
color_conflict,Дом и сад,0.7188515107633952,0.8389029321486797,0.35869724660754143,1.0,[A] ковровая дорожка 100х550 см на войлочной основе || [B] star-carpet / ковровая дорожка 100х500 см p2421a1r51 на войлочной основе,ковровая дорожка 100х550 см на войлочной основе,star-carpet / ковровая дорожка 100х500 см p2421a1r51 на войлочной основе,1 | 100550 | 168000 | 3 | 5.5 | 6831667765 | 91,0.3 | 1 | 100 | 21 | 4.5 | 4.6,100х550 | 25х100х25 | multimedia1 | p2616a2p,100х500 | p2421a1r51,0.0061428356,0.011531127,0.0,"витебские ковры ковровая дорожка ширина 90 см, длина 380 см / ковровая дорожка на войлочной основе / ковровая дорожка ширина 0,9 м","[A] витебские ковры ковровая дорожка ширина 90 см, длина 380 см / ковровая дорожка на войлочной основе / ковровая дорожка ширина 0,9 м || [B] ковровая дорожка / ковровая дорожка ширина 110 см, длина 400 см / ковровая дорожка на войлочной основе / ковровая дорожка метражом","ковровая дорожка / ковровая дорожка ширина 110 см, длина 400 см / ковровая дорожка на войлочной основе / ковровая дорожка метражом",0.9 | 22 | 3 | 3.77 | 3.8 | 380 | 50 | 90,1 | 1.1 | 110 | 3 | 4 | 400 | 6834979317,50х93х22,,0.0031463634,0.012899272,,
