comparison_id,pattern,category,target,title_a,title_b,numbers_a,numbers_b,codes_a,codes_b
C031,color_conflict,Автотовары,1,"краска для сколов во флаконе с кисточкой color1 для nissan, цвет 54a - green golden","краска для сколов во флаконе с кисточкой color1 для nissan, цвет nh0 - dk green",0.075 | 1 | 20,1 | 20 | 6663718679,color1,color1
C032,color_conflict,Ювелирные изделия,1,sokolov / подвеска кулон из серебра 925 пробы с корундами,подвеска из серебра балерина,1.400 | 1.50 | 1.9 | 17 | 2.50 | 34 | 5.00 | 7 | 925,2.02 | 894032833 | 925,,
C033,color_conflict,Дом и сад,1,ковровая дорожка 100х550 см на войлочной основе,star-carpet / ковровая дорожка 100х500 см p2421a1r51 на войлочной основе,1 | 100550 | 168000 | 3 | 5.5 | 6831667765 | 91,0.3 | 1 | 100 | 21 | 4.5 | 4.6,100х550 | 25х100х25 | multimedia1 | p2616a2p,100х500 | p2421a1r51
C034,memory_conflict,Автотовары,1,штатная магнитола teyes cc2 plus 4/64 hyundai santa fe 2 (2006-2012),штатная магнитола teyes spro plus 4/64 nissan qashqai 2 (2013-2021) f2 климат контроль тип-c,2 | 2006 | 2012 | 3 | 4 | 64 | 8 | 9,10 | 12 | 16 | 2 | 200 | 2013 | 2021 | 2100 | 300 | 4 | 64 | 8,1280x720 | 1474cc2plus49,ums512
C035,model_conflict,Обувь,1,кроссовки dunks nike,shoeslaboratory / кроссовки nike sb dunk,1 | 2024 | 3 | 36 | 47,1 | 39 | 4 | 6,color2 | eur37,
C036,model_conflict,Автотовары,1,фильтр топливный,mahle/knecht фильтр топливный,01182671 | 0461117010 | 0471117010 | 053600111707500 | 1 | 11015020 | 11170016300000 | 1117011630000 | 11170116300000 | 17224161 | 2415500 | 410030172 | 41117010 | 471117010 | 53401117075 | 534431117010 | 5361117075 | 536111707501 | 53611170756104 | 5602 | 6113 | 6501117075 | 70104068 | 75111117075 | 93047 | 93735,100040430893,111705073d | 111705073d1 | 120035rx | 6501117039b | 8220531sx | cs0162m | d5010477855 | difaт6113 | eko03328 | eko328 | f026402151 | fc62150 | fcp2426 | ff5470 | ff5785 | fg1066 | ft0461117010 | ft0471117010 | gb6482 | h563wk | kf3047pr | kf3047sp | kf3941pr | kfft0100010p | kfфt010002 | kfфт010001 | kfфт010003 | leo100044a | mf7005 | nf3511 | nf3551 | psp9401 | rg5361117075 | rl6141bd63 | sakurafc62150 | sk3045 | sn70440 | t12395001 | t12397009 | t6103 | ut5219l | vg1092080009 | vg1540080310 | wdk9401 | wdk999 | wk94020 | wp4160 | ws15003001 | ya00078643 | z34620 | zp3379fmb | дфт1901 | дфт19010471117010 | еко031 | еко0353 | т6113 | фт010003 | фт0461117010 | фт0471117010 | фт305480471117010 | фт30559,kl174
C037,model_conflict,Автотовары,1,tmi tatsumi колодки тормозные tca1075,/ колодки тормозные дисковые задние toyota,0446504080 | 0446508030 | 0446521020 | 0446528510 | 0446533270 | 0446533280 | 0446533350 | 0446565020 | 0446565021,30 | 35 | 5,04465yzzea | tca1075,tca1053
C038,model_conflict,Ювелирные изделия,1,zoloto.gold кольцо золото красное 585 пробы,"zoloto.gold кольцо обручальное zoloto.gold, золото, 585 проба, размер 23.5",2.75 | 23 | 23.5 | 4.0 | 585,2.75 | 23.5 | 585,,
C039,model_conflict,Автотовары,1,"metaco фильтр топливный арт. 1030126, 1 шт.",фильтр топливный metaco 1030-078,1 | 1030126 | 6987 | 77143 | 8450033130,078 | 1030 | 164 | 306 | 309,af27040 | an1173 | fa180 | fap2265 | gb95090 | gir04033 | glaf15 | ib771140 | lf1151 | ma1379 | nsii0019779745 | pf1794 | sb2436 | ta4100,
C040,model_conflict,Автотовары,1,bsg / колодки тормозные дисковые передние,bsg колодки тормозные bsg 30-200-037,016 | 15 | 20 | 200,037 | 1 | 1815287 | 200 | 30 | 6987,bsg90200016,bk3w1109ja | ft23075 | nsii0012977260
C041,model_conflict,Ювелирные изделия,1,юверос кольцо серебряное обручальное мужское,"юверос кольцо обручальное юверос, серебро, 925 проба, родирование, размер 16, белый",0 | 19 | 19.0 | 190 | 2022 | 3.68 | 925,16 | 2.92 | 925,,
C042,model_conflict,Автотовары,1,амортизатор подвески miles dg02229,"miles амортизатор подвески, арт. dg00224-01",1 | 100038232146,01 | 0344077 | 1 | 219667 | 365025 | 365501 | 665036 | 90236448 | 90272631 | 96208556 | 96226992,dg02229,dg0022401 | dm00205 | o22049lr
C043,model_conflict,Автотовары,1,"aplus наконечник рулевой, арт. 25338ap, 1 шт.",aplus / наконечник рулевой тяги перед прав,0801001 | 1 | 42789 | 6987 | 86942789,01747 | 07030741 | 09768 | 1130030182 | 1309209 | 23020515 | 24024 | 27 | 301191605430 | 325023220 | 3432901 | 35160200033 | 3802013 | 3844600480 | 4204545 | 42470 | 49401821 | 5033242 | 51341 | 51933 | 5710419 | 600741 | 690750 | 7 | 7030741 | 76905 | 83924024 | 83942470 | 840107610 | 850050151 | 9 | 91080451 | 917075 | 9951933,20201aa061 | 20201fa060 | 20201fa080 | 20204fe120 | 25338ap | aw1420250 | bu8402 | c9077 | goj708 | gom708 | grm14273 | n4237002 | nsii0022055695 | pse1758 | qf30d00056 | ru353l | ru708 | s58801 | skta1060428 | susb14935 | tef1721,0521ggr | 0521mz6r | 11103348r | 14aj355 | 14tr768 | 14tr804 | 151ce2357 | 15615ap | 22111ap | 4000115r | 460n10038z | 4rkf34738 | 5104504sx | 5171019asx | 777c32711 | a0248010 | a321162 | adm58740 | adm58760 | as3207 | asb42705 | asi05187 | ate0405r | aw1310518r | btr5093 | c16fdm0200 | c4098r | ce0462 | cemz41 | cemz41p | ctre2158 | dc17229 | degj32280m6 | dlzgj6e32280 | dra39505 | el1239 | et25631r | ff3u34312 | frx34760 | fs1134r | g11279 | g26a32280 | g26a32280a | gj6a32280 | gj6e32280 | gj6e32280a | gj6e32280map | gsp201153 | hqe0099r | j4833001 | jse0011r | jte7585 | k301095 | kat0927maz | ktr1316 | l50151 | ln10127 | m410a25 | m8070102 | ma701 | mdes2362 | me1631r | mtg055237 | mz330019r | mz711 | mza78559 | mzgj6e32280 | n1315 | n1a35355 | nu7se33974 | pq5100254 | ps1373r | ps21137 | q0350195 | q0350436 | qf33e00092 | qs0542hq | r8g26a32280 | re2701r | rema701r | rugj32280m6 | se141 | se1472 | se1631r | sgst2121 | skzmz019 | skzmz020 | sn2169 | sp32002 | ste11413ar | stgj6e32280 | su20114 | ta1971 | tec1744r | ti348r | tsp1162 | v329549 | z10923 | zvgj6e32280 | zzxv37220
C044,model_conflict,Автотовары,1,filtron / фильтр воздушный filtron ap134 10,filtron фильтр воздушный арт. ap1347,00 | 0018 | 006 | 01092 | 0120 | 026 | 043 | 0460.2 | 0896 | 0998 | 1 | 10 | 10.0538 | 12 | 140 | 1500582 | 16 | 1682949680 | 1715042 | 180042410 | 18597 | 1975 | 20 | 20043 | 2061 | 2070 | 2294 | 2312 | 2343 | 25990 | 26 | 28 | 28.0002 | 3 | 30.688 | 3043 | 321 | 325 | 33 | 33006 | 34 | 3688 | 377 | 400 | 4002 | 4128 | 48538 | 50014568 | 54 | 60126 | 694 | 701007 | 7046 | 71 | 728700 | 801001290 | 8738,1000204 | 1090198 | 239 | 57 | 8200216005 | 8200399214 | 8200437229,33006lfpcsms | 7101092sx | a141769 | a1576 | a2500 | a25990 | a43001 | a63613 | adr162221 | afau133 | ap134 | ar11652pms | b13cr0068 | b13mr0140 | b2r067pr | bfa2463 | ca11652 | caf101106p | daf2061 | dfa0701 | dp1110 | e1104l | eaf3629 | eaf828 | elp9343 | f228801 | fa043s | fa1051 | fa194z | fai152 | la2070 | lf1975 | lfaf572 | lvfa1626 | ma3186 | maf3043 | md8738 | p523a | pa3613 | pa7785 | paf5469 | pf1961 | qfa0921 | r132t04 | v460896 | wa9754 | wg1019291 | wg1216183 | wg1700358 | wg2152157 | wg2206426 | wg2222276,1654600q2m | 1654600qar | 165460588r | 165469040r | 16546bc40a | 16546bn701 | 16546bn70a | 2232400qab | ap1347 | e147244
C045,model_conflict,Автотовары,1,"zimmermann колодки тормозные, арт. 243.9116.01",zimmermann / колодки тормозные дисковые,01 | 0252439116 | 1 | 1050232 | 10808208 | 121242 | 121501 | 12359 | 13046027152 | 1501225218 | 1511928 | 16658 | 179889 | 181758 | 181758700 | 191150 | 2121501 | 2135138 | 2207020 | 225218 | 243.9116 | 2439101 | 243911602 | 3000052 | 301804 | 325230 | 3363601910 | 350992 | 363702161165 | 363916060241 | 37532 | 50001875 | 5008801 | 50801 | 5502225218 | 55370 | 598804 | 6003330 | 6116731 | 670013 | 6987 | 70416100 | 71742853 | 71750033 | 7180 | 7779 | 811010566 | 8227020 | 8460 | 847281 | 84916658 | 9001131 | 9010602,00 | 0010188 | 0117 | 013 | 025 | 050 | 06 | 0773 | 08.35 | 1 | 10 | 1051362 | 12540 | 1391 | 1582 | 171 | 181949 | 2 | 20 | 202 | 22 | 221581 | 237 | 24458.170 | 24458.970 | 2445801 | 244581701 | 3017 | 301820 | 3421 | 355 | 365 | 51 | 510117 | 5502221581 | 555 | 598820 | 6 | 6118922 | 766 | 773 | 783 | 789.9 | 794 | 822 | 879 | 9,01784b | 05p1245 | 10808208a | 13046027152nsetms | 24510z | 402b0297 | 5581079j00 | 573288b | 573288ch | 573288j | 70416100p | 70416100x | 8db355012511 | adb31513 | adk84235 | adr380111 | akd9803 | b110963 | b1g10207742 | bb0351 | bbp1968 | bl2016a4 | bp12359 | bp1597 | bp3242 | bp43264 | bp6192 | bp8529 | bpd1181 | bpfi1020 | bs1545 | cbp31513 | d9044h | d9057m | d9057mh | dp1010100071 | e100163 | fbp1546 | fbp4024 | fdb1875 | fk10140 | fo926081 | ft29139 | gdb1673 | gdb1673zfr | ib153085 | j3608028 | j3608031 | jbp0372 | jq1013750 | kbp1968 | lp1966 | m2624391 | mbf015502 | md8527ms | mdb2797 | np9017 | nsin0020858493 | p11325 | p1315301 | p23105 | pa1706 | pa801af | pbp0160 | pbp1501 | pcp1278 | pf1058 | pf1519 | pf2402 | prp1224 | qp8059 | qp8059c | ra08460 | rb1758700 | rnz280 | s360i31 | sgbp2731 | skbp0010298 | spb242 | t1616 | tca1059 | tx1519 | v240102 | vbs1673ps | vkbp80185a | wbp24391a | x40959,402b0188 | aa0650 | adb114203 | bl2620a1 | bp12540 | bp3410 | bs1582 | c2b031abe | fbp1391 | fdb4259 | gdb1892 | gdb1892dte | mdb2879 | pp0117af | prp1446 | prp14463m | qp3703 | rb1949 | skbp0010188
C046,model_conflict,Ювелирные изделия,1,"серьги из белого золота diamant 52-120-01945-1, фианит","diamant, серьги из белого золота с бриллиантами, 52-220-02092-1, декоративные, 585 проба",0 | 01945 | 1 | 100059793931 | 120 | 2.25 | 52 | 585,0.197 | 0.26 | 0.90 | 02092 | 1 | 1.00 | 1.6 | 12 | 17 | 2 | 2.47 | 220 | 3 | 4 | 42 | 52 | 57 | 585 | 6 | 7 | 9,,7х4х16 | кр57 | кр570
C047,model_conflict,Ювелирные изделия,1,"яхонт кольцо яхонт, золото, 585 проба, фианит, размер 17.5, бесцветный",яхонт золотой кольцо золото красное 585 пробы,0.95 | 17.5 | 47974 | 585,0.9 | 15.5 | 2024 | 4797400155 | 585,,
C048,model_conflict,Автотовары,1,колодки тормозные дисковые задние lynxauto bd7602,колодки тормозные lynxauto bd7611,0 | 017 | 02 | 040 | 04466 | 0446614090 | 0446614100 | 0446622120 | 04492 | 0986495330 | 110 | 1142 | 1147 | 120 | 14010 | 14030 | 14080 | 14081 | 14090 | 14100 | 14110 | 14120 | 14130 | 2000401 | 206 | 2104 | 22020 | 22030 | 22040 | 22041 | 22042 | 22043 | 22050 | 22060 | 22070 | 22080 | 22090 | 22100 | 22101 | 22110 | 22111 | 22120 | 22121 | 22130 | 22131 | 22140 | 22141 | 224521 | 30010 | 30080 | 30100 | 30101 | 30102 | 30110 | 30111 | 30120 | 30130 | 36626 | 40010 | 40020 | 40030 | 4117 | 460 | 51 | 51206 | 83 | 9412 | 986,1.385 | 1149 | 144.4 | 15.5 | 1991 | 1997 | 46 | 600002809698 | 7611,04466yzzc1 | adb0388 | adb0388hd | adt34221 | akd1147 | an227k | an227ke | av914 | bb0118 | bd7602 | bs2104 | ckt110 | ckt120 | d2042 | d2062 | dbp477 | dfp872 | fdb477 | gdb777 | gdb872 | gk1133 | hn142c | j3612006 | jbp0218 | lp577 | ms1142 | np1046 | pf1142c | pn1142 | pp206af | sn764 | sp1123 | t361a06 | tabp2187,adb0923 | akd1149 | bd7611 | cd2102 | sn641
C049,model_conflict,Автотовары,1,амортизатор,dynamatrix амортизатор,,100056038129,e62103za0b | e6210je21b | e6210je21c | k3501659g | обнп00000000000000102353,dsa341279
C050,model_conflict,Автотовары,1,тормозной диск zekkert bs-5831,диск тормозной brembo 09944711,5831,09944711 | 1 | 600002712763,bs5831,
C051,model_conflict,Автотовары,1,kiwix / автоэмаль peugeot 9s gris cool silver 20 мл,ремонт сколов кузова (подкраска) peugeot 9p gris shark 20 мл,10 | 20 | 30 | 4,20,9s041257k,9p041224k
C052,model_conflict,Обувь,1,chicshoes / adidas campus 00s,кроссовки adidas campus,41 | 6,1 | 2024 | 218 | 28 | 3 | 30 | 44,,campus2183
C053,model_conflict,Мебель,1,"комплект teymi 3 в 1: тумба helmi 85 дуб крафт/графит + раковина solli 51 накладная + смеситель diadonna высокий, черный матовый f07101",teymi / тумба helmi 85 дуб/графит + раковина + смеситель f07109,1 | 1215323 | 3 | 46 | 47 | 51 | 6885021526 | 85,4.5 | 46 | 85 | 850,f07101,f07109
C054,model_conflict,Ювелирные изделия,1,серьги кольца / золото 585 / серьги конго из золота / золотые серьги / круглые золотые серьги,"diamant online серьги конго diamant online, золото, 585 проба",1.1 | 140004 | 2.26 | 4 | 585,2.27 | 585,,
C055,numeric_or_unit_conflict,Ювелирные изделия,1,"sokolov, кольцо из серебра с жемчугом и фианитами, 92014447, 925 проба","sokolov кольцо sokolov, серебро, 925 проба, родирование, жемчуг пресноводный культивированный, фианит, размер 19",12 | 19 | 2.79 | 3 | 3.419 | 6 | 92014447 | 925,1 | 1.50 | 19 | 2 | 2.50 | 2.663 | 8.00 | 925,,
C056,numeric_or_unit_conflict,Ювелирные изделия,1,"sokolov, кольцо из серебра с фианитами, 94013657, 925 проба","sokolov кольцо sokolov, серебро, 925 проба, родирование, фианит, размер 19",0.068 | 1.1 | 1.36 | 12 | 19 | 3 | 6 | 925 | 94013657,1 | 1.00 | 1.25 | 1.303 | 19 | 6 | 925,6х3х11,
C057,numeric_or_unit_conflict,Ювелирные изделия,1,"zoloto.gold кольцо обручальное плоское унисекс из красного золота 585 пробы, ширина - 4 мм.","zoloto.gold кольцо обручальное zoloto.gold, золото, 585 проба, размер 17.5",1.95 | 17 | 224000 | 4 | 585,17.5 | 2.17 | 585,22400017z,
C058,numeric_or_unit_conflict,Бытовая химия,1,abc стиральный порошок для цветного белья 3кг,abc / порошок стиральный abc 3 кг,1 | 15 | 16 | 17 | 3 | 3000 | 34 | 5,1 | 13 | 18 | 20 | 3 | 3000 | 3200 | 36 | 50,,
C059,numeric_or_unit_conflict,Товары для животных,1,"комплект ""классика"", ширина 1 см, шлейка 21-35 см, поводок 120 см, капрон, голубой","пижон комплект прошитый ""лапки"", поводок 120 х 1 см, ог 23-35 см, голубой",1 | 120 | 21 | 35,1 | 120 | 23 | 30 | 35,,
C060,numeric_or_unit_conflict,Ювелирные изделия,1,"sokolov кольцо sokolov, серебро, 925 проба, золочение, эмаль, размер 20","кольцо серебро 925 женское с эмалью, 93010835",1 | 20 | 3.92 | 925,1.9 | 12 | 16.5 | 3 | 4.21 | 6 | 925 | 93010835,,3х23х19
C061,numeric_or_unit_conflict,Аптека,1,очки с футляром-змейка melorsch мод. 2110 цвет 6 с линзами ecoplus 1.56 hmc -6.00 рц 60-62,очки с футляром-змейка melorsch мод. 2110 цвет 6 с линзами ecoplus 1.56 hmc -8.00 рц 58-60,1.56 | 138 | 140 | 17 | 2023 | 2110 | 45 | 52 | 6 | 6.00 | 60 | 62,1.56 | 140 | 2110 | 45 | 52 | 58 | 6 | 60 | 8.00,uv400,uv400
C062,numeric_or_unit_conflict,Красота и гигиена,1,lash&go / черные ресницы 16 линий / d / 0.15 / 10,"lash&go черные ресницы для наращивания, одна длина, изгиб d,16 линий, 0.10/d/15 mm лэш гоу",0.15 | 10 | 16,0.10 | 1 | 15 | 16,,
C063,numeric_or_unit_conflict,Канцелярские товары,1,"пастель сухая в карандаше koh-i-noor gioconda 8820/45 soft pastel, жёлто- коричневая","не определен пастель сухая в карандаше gioconda 8820/2 soft pastel, чeрная 12 шт",45 | 8820,12 | 2 | 8820,,
C064,numeric_or_unit_conflict,Мебель,1,"стол обеденный нераскладной кухонный loft со столешницей цвета антрацит из массива сосны 40 мм и белыми металлическими ножками, 100х75х75 см, 100х75х75 см","solarius стол кухонный loft со столешницей без покрытия из массива сосны 40 мм и черными металлическими ножками, 100х70х75 см",1 | 100 | 10394 | 2 | 23500 | 40 | 700 | 75,2 | 21.9 | 4 | 40,100х75х75,100х70х75 | 102х72х21 | 70x100x75
C065,numeric_or_unit_conflict,Электроника,1,"apple смартфон iphone 14 pro 6/512 гб, черный","apple / apple iphone 14 pro 512 гб, black",1 | 12 | 14 | 147.5 | 172 | 2 | 2160 | 23 | 3 | 3.46 | 3200 | 3840 | 48 | 5.3 | 512 | 6 | 6.1 | 60 | 7.85 | 71.5 | 75 | 802,1 | 12 | 14 | 16 | 22 | 3 | 3200 | 4 | 48 | 5 | 512 | 6 | 6.1,2532x1170,
C066,numeric_or_unit_conflict,Канцелярские товары,1,"комплект 2 упаковок, бумага цветная promega jet (а3.160г, голубая пастель) 250л/уп","бумага цветная promega jet (а3, 160 грамм, голубая пастель) 250 листов в упаковке",2 | 250,1 | 160 | 250 | 29.7 | 42,,
C067,numeric_or_unit_conflict,Бытовая химия,1,zhandaulet / стиральный порошок,"порошок стиральный, аква пудра насыщенный цвет 450 г.",16 | 20 | 22 | 3 | 450,1 | 15 | 19 | 350 | 4 | 450 | 5,,
C068,numeric_or_unit_conflict,Продукты питания,1,чай черный greenfield golden ceylon 100г х 2шт,чай черный листовой greenfield golden ceylon (гринфилд голден цейлон) 100г (комплект 20 шт.) 6003516,0 | 100 | 1095 | 2 | 20 | 75,100 | 20 | 6003516,,
C069,numeric_or_unit_conflict,Бытовая химия,1,"lenor / концентрированный кондиционер для белья 1,785 л 51 стирок","lenor  кондиционер для белья концентрат от кутюр манифик 1,795 л",1.785 | 100 | 12 | 1785 | 1872 | 29 | 51 | 9,1 | 1.795 | 15 | 1795 | 5,,15х10х10 | o1agr58785
C070,numeric_or_unit_conflict,Бытовая химия,1,"московский мыловаренный завод мыло хозяйственное гост-30266-2017 72%, 200 г","мыло хозяйственное гост-30266-2017 72%, 180 г",0.2 | 200 | 2017 | 30266 | 72,180 | 2017 | 30266 | 72 | 948056,гост302662017,гост302662017
C071,numeric_or_unit_conflict,Мебель,1,без бренда шкаф-пенал трикс левый цвет дуб крафт золотой 600-550-2200 наполнение платье,шкаф-пенал трикс левый цвет дуб крафт золотой с ящиками 600-550-2000 наполнение белье,1 | 220 | 2200 | 55 | 550 | 60 | 600 | 75,1 | 200 | 2000 | 24 | 50337 | 55 | 550 | 60 | 600 | 6440294689 | 75000,230х65х10,multimedia1
C072,numeric_or_unit_conflict,Мебель,1,шкаф арлин 3 с ящиками 1400-520-2200 дуб крафт золотой наполнение платье/белье,без бренда шкаф арлин 3 с ящиками 1400-550-2200 дуб крафт золотой наполнение платье/белье,140 | 1400 | 168000 | 220 | 2200 | 24 | 3 | 36768 | 52 | 520 | 6699230366,1 | 140 | 1400 | 173 | 2 | 220 | 2200 | 3 | 55 | 550,,230х65х10
C073,numeric_or_unit_conflict,Бытовая химия,1,средство для мытья посуды fairy нежные руки чайное дерево и мята 450мл 1 шт.,фейри / средство для мытья посуды,1 | 450 | 5 | 645941,0.5 | 3 | 35 | 430 | 7,,
C074,sku_human_asymmetry,Электроника,1,mypads / мужская поясная сумка-борсетка-чехол borsello для blackvi...,мужская поясная сумка-борсетка-чехол mypads borsello для blackview bv6000s с несколькими отделениями на молнии и двумя большими вместительными карманами из натуральной кожи,20 | 22 | 4,186263,bv9200,bv6000s
