rule_id,canonical_rule,concept,relation,catalog_tier,human_pairs,human_positive_pairs,human_negative_pairs,false_positive_pairs,false_negative_pairs,model_error_pairs,oof_hard_pairs,hard_negative_pairs,hard_positive_pairs,clean_pairs,clean_negative_pairs,clean_false_positive_pairs,mean_oof_score,mean_hardness,error_rate,false_positive_rate,false_negative_rate,hard_rate,human_training_priority
rule_3dafe3e882f84fb0,curl_type has different explicit values,curl_type,different_value,RARE_SAFE,73,0,73,0,0,0,2,2,0,13,13,0,0.027854064,0.027854064,0.0,0.0,,0.0273972602739726,LOW_OBSERVED_MODEL_ERROR
rule_c8279513c21f3c1b,needle_diameter has different explicit values,needle_diameter,different_value,RARE_SAFE,70,4,66,0,4,4,2,2,0,22,20,0,0.054746825,0.1093313,0.05714285714285714,0.0,1.0,0.02857142857142857,LOW_OBSERVED_MODEL_ERROR
rule_a488f60e29897411,frame_size has different explicit values,frame_size,different_value,RARE_SAFE,53,0,53,0,0,0,2,2,0,18,18,0,0.04239946,0.04239946,0.0,0.0,,0.03773584905660377,LOW_OBSERVED_MODEL_ERROR
rule_6781877044ead9dd,axis has different explicit values,axis,different_value,RARE_SAFE,368,3,365,0,3,3,1,1,0,55,54,0,0.017451832,0.025456661,0.008152173913043478,0.0,1.0,0.002717391304347826,LOW_OBSERVED_MODEL_ERROR
rule_9985fc48a8512f98,cylinder_power has different explicit values,cylinder_power,different_value,RARE_SAFE,294,2,292,0,2,2,1,1,0,20,19,0,0.018710725,0.025442759,0.006802721088435374,0.0,1.0,0.003401360544217687,LOW_OBSERVED_MODEL_ERROR
rule_f53bb79d59252242,load_index has different explicit values,load_index,different_value,RARE_SAFE,177,9,168,0,6,6,1,1,0,6,4,0,0.038077366,0.06021213,0.03389830508474576,0.0,0.6666666666666666,0.005649717514124294,LOW_OBSERVED_MODEL_ERROR
rule_8eb0649a5cc85498,lash_length has different explicit values,lash_length,different_value,RARE_SAFE,59,3,56,0,3,3,1,1,0,18,17,0,0.039352927,0.07751477,0.05084745762711865,0.0,1.0,0.01694915254237288,LOW_OBSERVED_MODEL_ERROR
rule_7e16fc9f13e7410f,oxygen_permeability has different explicit values,oxygen_permeability,different_value,RARE_SAFE,324,12,312,0,10,10,7,0,7,37,29,0,0.033131927,0.05356875,0.030864197530864196,0.0,0.8333333333333334,0.021604938271604937,LOW_OBSERVED_MODEL_ERROR
rule_f6fe500617600790,lash_thickness has different explicit values,lash_thickness,different_value,RARE_SAFE,51,1,50,0,1,1,0,0,0,12,12,0,0.02646328,0.04180525,0.0196078431372549,0.0,1.0,0.0,LOW_OBSERVED_MODEL_ERROR
rule_8066b3533bb1cfe1,engraving_text has different explicit values,engraving_text,different_value,RARE_SAFE,31,1,30,0,1,1,1,0,1,3,2,0,0.04831474,0.07619585,0.03225806451612903,0.0,1.0,0.03225806451612903,LOW_OBSERVED_MODEL_ERROR
rule_43e773fb47a2bb7c,custom_name has different explicit values,custom_name,different_value,RARE_SAFE,24,0,24,0,0,0,0,0,0,1,1,0,0.020499531,0.020499531,0.0,0.0,,0.0,LOW_OBSERVED_MODEL_ERROR
rule_c468e766f15511f7,compatible_phone_model has different explicit values,compatible_phone_model,different_value,RARE_SAFE,24,1,23,0,1,1,1,0,1,10,10,0,0.036202498,0.072156176,0.041666666666666664,0.0,1.0,0.041666666666666664,LOW_OBSERVED_MODEL_ERROR
rule_e0ac5f32e0551448,pasta_shape has different explicit values,pasta_shape,different_value,RARE_SAFE,24,1,23,0,1,1,0,0,0,8,7,0,0.057302907,0.09418324,0.041666666666666664,0.0,1.0,0.0,LOW_OBSERVED_MODEL_ERROR
rule_6571ad3b5ba7aa38,key_tuning has different explicit values,key_tuning,different_value,RARE_SAFE,20,1,19,0,1,1,0,0,0,7,7,0,0.06933877,0.09565431,0.05,0.0,1.0,0.0,LOW_OBSERVED_MODEL_ERROR
