category,band,target,n
Электроника,exact_positive,1.0,25080
Электроника,uncertain_negative,0.1111111111111111,22
Электроника,uncertain_negative,0.2222222222222222,25779
Электроника,uncertain_negative,0.3333333333333333,22905
Электроника,uncertain_negative,0.4444444444444444,11592
Электроника,uncertain_positive,0.5555555555555556,11549
Электроника,uncertain_positive,0.6666666666666666,7452
Электроника,uncertain_positive,0.7777777777777778,10591
Электроника,uncertain_positive,0.8888888888888888,19509
Ювелирные изделия,exact_negative,0.0,410374
Ювелирные изделия,exact_positive,1.0,16906
Ювелирные изделия,uncertain_negative,0.1111111111111111,9
Ювелирные изделия,uncertain_negative,0.2222222222222222,26986
Ювелирные изделия,uncertain_negative,0.3333333333333333,19419
Ювелирные изделия,uncertain_negative,0.4444444444444444,8932
Ювелирные изделия,uncertain_positive,0.5555555555555556,7287
Ювелирные изделия,uncertain_positive,0.6666666666666666,4930
Ювелирные изделия,uncertain_positive,0.7777777777777778,7530
Ювелирные изделия,uncertain_positive,0.8888888888888888,21176
