audit_id,human_row_id,id1,id2,category,target,predict,mismatch_type,selection_reason,title1,title2,compact1,compact2,product_text_1,product_text_2
30,298803,695784835167,781684192375,Детские товары,1.0,0.00023050666092516467,FN,lexical_surprise,мамин малыш / бытовая техника,"швейная машина мята с катушками, лапка двигается, световые и звуковые эффекты",Название: мамин малыш / бытовая техника | высота упаковки: 30 см | длина упаковки: 40 см | ширина упаковки: 20 см,"Название: швейная машина мята с катушками, лапка двигается, световые и звуковые эффекты | бренд: нет бренда | тип: сюжетно-ролевые игрушки | типоразмер батареек: aa | вид сюжетно-ролевой игрушки: бытовая техника | материал: пластик","Категория: Детские товары
Название: мамин малыш / бытовая техника
валюта: rub
высота упаковки: 30 см
длина упаковки: 40 см
страна производства: китай
ширина упаковки: 20 см","Категория: Детские товары
Название: швейная машина мята с катушками, лапка двигается, световые и звуковые эффекты
бренд: нет бренда
тип: сюжетно-ролевые игрушки
типоразмер батареек: aa
вид сюжетно-ролевой игрушки: бытовая техника
материал: пластик
максимальный возраст ребенка: до 10 лет
минимальный возраст ребенка: от 3 лет
пол ребенка: девочка"
31,340131,790274136406,180388667145,Детские товары,1.0,0.04742587351415913,FN,component_companion,"каток радиоуправляемый дорожные работы, работает от батареек","без бренда каток радиоуправляемый дорожные работы, работает от батареек","Название: каток радиоуправляемый дорожные работы, работает от батареек | бренд: нет бренда | тип: машинка радиоуправляемая | типоразмер батареек: aa | цвет товара: желтый | количество батареек: 5 | страна-изготовитель: китай","Название: без бренда каток радиоуправляемый дорожные работы, работает от батареек | тип: машинка радиоуправляемая | цвет товара: желтый","Категория: Детские товары
Название: каток радиоуправляемый дорожные работы, работает от батареек
бренд: нет бренда
тип: машинка радиоуправляемая
типоразмер батареек: aa
цвет товара: желтый
количество батареек: 5
максимальный возраст ребенка: до 12 лет
минимальный возраст ребенка: от 3 лет
питание пульта: сменная батарея
пол ребенка: унисекс
страна-изготовитель: китай","Категория: Детские товары
Название: без бренда каток радиоуправляемый дорожные работы, работает от батареек
тип: машинка радиоуправляемая
цвет товара: желтый
возраст: от 3 лет
особенности: свет
тематика: спецтехника, строительная техника"
32,345082,807453904298,687194927485,Детские товары,1.0,0.22270013882530884,FN,model_disagreement_or_order_gap,"woodland развивающая игра-сортер ""барабан. новогоднее настроение"", развитие логики и мелкой моторики, 15 деревянных деталей","сортер ""барабан. новогоднее настроение"", 1 шт.","Название: woodland развивающая игра-сортер ""барабан. новогоднее настроение"", развитие логики и мелкой моторики, 15 деревянных деталей | тип: сортер","Название: сортер ""барабан. новогоднее настроение"", 1 шт. | бренд: нет бренда | тип: сортер | название цвета: цвет 223 | цвет товара: разноцветный | высота игрушки, см: 12 | страна-изготовитель: россия","Категория: Детские товары
Название: woodland развивающая игра-сортер ""барабан. новогоднее настроение"", развитие логики и мелкой моторики, 15 деревянных деталей
тип: сортер
минимальный возраст: мес.","Категория: Детские товары
Название: сортер ""барабан. новогоднее настроение"", 1 шт.
бренд: нет бренда
тип: сортер
название цвета: цвет 223
цвет товара: разноцветный
высота игрушки, см: 12
максимальный возраст ребенка: до 9 лет
минимальный возраст ребенка: от 3 лет
пол ребенка: унисекс
страна-изготовитель: россия"
33,100803,231928340312,644245108555,Дом и сад,1.0,0.000804085962940771,FN,lexical_surprise,/ кашпо для цветов,"горшок цветочный ""кактус"" № 2 (d12) готика шнур, 0,7 л",Название: / кашпо для цветов | вес с упаковкой (кг): 0.63 кг | материал изделия: керамика | высота упаковки: 14 см | длина упаковки: 15 см | ширина упаковки: 15 см,"Название: горшок цветочный ""кактус"" № 2 (d12) готика шнур, 0,7 л | бренд: нет бренда | артикул: 3809674 | тип: горшок для цветов | вид выпуска товара: фабричное производство | объем, л: 1 | название цвета: разноцветный | образец цвета: https://cdn1.ozone.ru/s3/multimedia-w/6125797208.jpg | цвет товара: разноцветный | материал: керамика | страна-изготовитель: россия","Категория: Дом и сад
Название: / кашпо для цветов
вес с упаковкой (кг): 0.63 кг
материал изделия: керамика
валюта: rub
высота упаковки: 14 см
длина упаковки: 15 см
страна производства: россия
ширина упаковки: 15 см","Категория: Дом и сад
Название: горшок цветочный ""кактус"" № 2 (d12) готика шнур, 0,7 л
бренд: нет бренда
артикул: 3809674
тип: горшок для цветов
вид выпуска товара: фабричное производство
объем, л: 1
название цвета: разноцветный
образец цвета: https://cdn1.ozone.ru/s3/multimedia-w/6125797208.jpg
цвет товара: разноцветный
материал: керамика
страна-изготовитель: россия"
34,111013,257698127725,635655254075,Дом и сад,1.0,0.01798621187025419,FN,component_companion,тройка настенные часы troyka,"часы настенные, серия: классика, плавный ход, d-30.5 см","Название: тройка настенные часы troyka | цвет товара: белый | материал корпуса: пластик, стекло | высота: 30.5 см | особенности: батарейки в комплекте | ширина: 30.5 см","Название: часы настенные, серия: классика, плавный ход, d-30.5 см | бренд: тройка | артикул: 7095059 | тип: настенные часы | вид выпуска товара: ручная, авторская работа | страна-изготовитель: беларусь","Категория: Дом и сад
Название: тройка настенные часы troyka
цвет товара: белый
материал корпуса: пластик, стекло
высота: 30.5 см
механизм часов: кварцевые
особенности: батарейки в комплекте
стекло: минеральное
форма: круглая
циферблат: темный
цифры: арабские
ширина: 30.5 см","Категория: Дом и сад
Название: часы настенные, серия: классика, плавный ход, d-30.5 см
бренд: тройка
артикул: 7095059
тип: настенные часы
вид выпуска товара: ручная, авторская работа
страна-изготовитель: беларусь"
35,301102,704374691732,146028898673,Дом и сад,1.0,0.29421497216298875,FN,model_disagreement_or_order_gap,"no name горшок керамический с поддоном овал 4,7л d18см градиент","горшок керамический с поддоном овал 4,7л d18см градиент желтый 1шт","Название: no name горшок керамический с поддоном овал 4,7л d18см градиент | тип: горшок | объем: 4.7 л | вес в транспортной упаковке: 2.85 кг | цвет товара: градиент | материал: керамика | высота: 20 см | диаметр: 18 см | длина: 18 см | дополнительная информация: экологически чистый материал | назначение: для балкона, для дома | ширина: 18 см","Название: горшок керамический с поддоном овал 4,7л d18см градиент желтый 1шт | бренд: нет бренда | артикул: ео-мк-сад-1001459512 | тип: кашпо | вид выпуска товара: фабричное производство | объем, л: 4.7 | название цвета: желтый | цвет товара: желтый | материал: керамика | комплектация: кашпо 1шт | высота, см: 20 | длина, см: 18 | количество в упаковке, шт.: 1 | страна-изготовитель: беларусь | ширина/диаметр, см: 18","Категория: Дом и сад
Название: no name горшок керамический с поддоном овал 4,7л d18см градиент
тип: горшок
объем: 4.7 л
вес в транспортной упаковке: 2.85 кг
цвет товара: градиент
материал: керамика
высота: 20 см
габариты транспортной упаковки: 20х20х21 см
диаметр: 18 см
длина: 18 см
дополнительная информация: экологически чистый материал
назначение: для балкона, для дома
размещение: напольное
ширина: 18 см","Категория: Дом и сад
Название: горшок керамический с поддоном овал 4,7л d18см градиент желтый 1шт
бренд: нет бренда
артикул: ео-мк-сад-1001459512
тип: кашпо
вид выпуска товара: фабричное производство
объем, л: 4.7
название цвета: желтый
цвет товара: желтый
материал: керамика
комплектация: кашпо 1шт
высота, см: 20
длина, см: 18
единиц в одном товаре: 1
количество в упаковке, шт.: 1
место эксплуатации: дом
размещение горшка: настольное/на подоконник
страна-изготовитель: беларусь
форма горшка: овал
ширина/диаметр, см: 18"
36,302936,704374774477,850403640630,Дом и сад,1.0,0.00048785718098195605,FN,lexical_surprise,"ваза, 18 см","evis ваза ""натали-1"" бренди на средней ножке d-15см 27х18 см, 3л 1627","Название: ваза, 18 см | бренд: нет бренда | артикул: 797251 | тип: ваза | вид выпуска товара: фабричное производство | высота, см: 18","Название: evis ваза ""натали-1"" бренди на средней ножке d-15см 27х18 см, 3л 1627 | тип: ваза | цвет товара: прозрачный | материал: стекло | высота: 27 см | диаметр/ширина: 15 см","Категория: Дом и сад
Название: ваза, 18 см
бренд: нет бренда
артикул: 797251
тип: ваза
вид выпуска товара: фабричное производство
высота, см: 18","Категория: Дом и сад
Название: evis ваза ""натали-1"" бренди на средней ножке d-15см 27х18 см, 3л 1627
тип: ваза
цвет товара: прозрачный
материал: стекло
высота: 27 см
диаметр/ширина: 15 см
на ножке: да
прозрачная: да
размещение: настольная"
37,347783,816043798120,781684074095,Дом и сад,1.0,0.000804085962940771,FN,lexical_surprise,без бренда / шврики для праздника / воздушные шары,"шар для твистинга латексный 250', перламутровый, набор 100 шт., цвет золото",Название: без бренда / шврики для праздника / воздушные шары | тип воздушного шара: для моделирования | материал изделия: латекс | комплектация: 1 | высота предмета: 2 см | количество предметов в упаковке: по 1 набор,"Название: шар для твистинга латексный 250', перламутровый, набор 100 шт., цвет золото | бренд: neotex co | артикул: 5106402fr | тип: воздушный шар | вид выпуска товара: фабричное производство | комплектация: изделие в упаковке | страна-изготовитель: корея","Категория: Дом и сад
Название: без бренда / шврики для праздника / воздушные шары
тип воздушного шара: для моделирования
материал изделия: латекс
комплектация: 1
валюта: rub
высота предмета: 2 см
количество предметов в упаковке: по 1 набор
страна производства: абхазия","Категория: Дом и сад
Название: шар для твистинга латексный 250', перламутровый, набор 100 шт., цвет золото
бренд: neotex co
артикул: 5106402fr
тип: воздушный шар
вид выпуска товара: фабричное производство
комплектация: изделие в упаковке
страна-изготовитель: корея"
38,350522,816043917223,601295538029,Дом и сад,1.0,0.06754668832401889,FN,model_disagreement_or_order_gap,"не определен карнавальная маска «хэллоуин», цвета микс","карнавальная маска хэллоуин , цвета микс","Название: не определен карнавальная маска «хэллоуин», цвета микс | тип: маска | цвет товара: микс | материал: текстиль","Название: карнавальная маска хэллоуин , цвета микс | бренд: нет бренда | артикул: 7912317 | тип: маска карнавальная | вид выпуска товара: фабричное производство | образец цвета: https://cdn1.ozone.ru/s3/multimedia-r/6380870847.jpg | цвет товара: разноцветный | материал: текстиль | комплектация: карнавальная маска - 1 шт. | длина, см: 20 | страна-изготовитель: китай","Категория: Дом и сад
Название: не определен карнавальная маска «хэллоуин», цвета микс
тип: маска
цвет товара: микс
материал: текстиль
пол: унисекс
праздник: хэллоуин
тематика: животные","Категория: Дом и сад
Название: карнавальная маска хэллоуин , цвета микс
бренд: нет бренда
артикул: 7912317
тип: маска карнавальная
вид выпуска товара: фабричное производство
образец цвета: https://cdn1.ozone.ru/s3/multimedia-r/6380870847.jpg
цвет товара: разноцветный
материал: текстиль
комплектация: карнавальная маска - 1 шт.
длина, см: 20
для кого: девушка
праздник: универсальный
срок годности в днях: 365
страна-изготовитель: китай
целевая аудитория: детская"
39,13336,25769880990,60129569115,Канцелярские товары,1.0,3.120190393987402e-05,FN,lexical_surprise,lisik. кисть для рисования,"не определен кисть синтетика, круглая №7, 1 шт.",Название: lisik. кисть для рисования | бренд: lisik. | тип: кисть для рисования | страна-изготовитель: китай,"Название: не определен кисть синтетика, круглая №7, 1 шт. | бренд: случай | тип: кисточка","Категория: Канцелярские товары
Название: lisik. кисть для рисования
бренд: lisik.
тип: кисть для рисования
страна-изготовитель: китай","Категория: Канцелярские товары
Название: не определен кисть синтетика, круглая №7, 1 шт.
бренд: случай
тип: кисточка"
40,48865,111669211401,240518312026,Канцелярские товары,1.0,0.009708474753363424,FN,lexical_surprise,"папка 45,5 x 33 x 0,1 1шт","не определен папка-конверт на кнопке, формат а3 (445 х 330 мм), devente turbo, 200 мкм","Название: папка 45,5 x 33 x 0,1 1шт | бренд: china | тип: папка | количество заводских упаковок: 1 | страна-изготовитель: россия","Название: не определен папка-конверт на кнопке, формат а3 (445 х 330 мм), devente turbo, 200 мкм | тип: папка | вид папки: конверт | цвет товара: черный | материал: пластик","Категория: Канцелярские товары
Название: папка 45,5 x 33 x 0,1 1шт
бренд: china
тип: папка
количество заводских упаковок: 1
страна-изготовитель: россия
формат: a3 (29.7 × 42 см)","Категория: Канцелярские товары
Название: не определен папка-конверт на кнопке, формат а3 (445 х 330 мм), devente turbo, 200 мкм
тип: папка
вид папки: конверт
цвет товара: черный
материал: пластик
застежка: кнопки
крепление: отсутствует
формат: а3"
41,55378,128849069030,386547105749,Канцелярские товары,1.0,0.4073334000459302,FN,lexical_surprise,attache / папка канцелярская,"папка для документов bantex, папка-регистратор а4+, из бумвинила, с арочным механизмом, вместимость до 600 листов, корешок 80 мм, голубая.",Название: attache / папка канцелярская | цвет: голубой | материал изделия: бумвинил | комплектация: папка-регистратор 1 шт | высота предмета: 31.7 см | ширина предмета: 30 см,"Название: папка для документов bantex, папка-регистратор а4+, из бумвинила, с арочным механизмом, вместимость до 600 листов, корешок 80 мм, голубая. | бренд: bantex | тип: папка | вид папки: папка-регистратор | размеры, мм: 300x317 | название цвета: голубой | цвет товара: голубой | материал: бумвинил | комплектация: папка-регистратор — 1 штука | количество заводских упаковок: 1 | количество отделений: 1 | страна-изготовитель: россия | ширина корешка, мм: 80","Категория: Канцелярские товары
Название: attache / папка канцелярская
цвет: голубой
материал изделия: бумвинил
комплектация: папка-регистратор 1 шт
валюта: rub
высота предмета: 31.7 см
страна производства: россия
ширина предмета: 30 см","Категория: Канцелярские товары
Название: папка для документов bantex, папка-регистратор а4+, из бумвинила, с арочным механизмом, вместимость до 600 листов, корешок 80 мм, голубая.
бренд: bantex
тип: папка
вид папки: папка-регистратор
размеры, мм: 300x317
название цвета: голубой
цвет товара: голубой
материал: бумвинил
комплектация: папка-регистратор — 1 штука
вместимость папки, листов: 600
возраст учащегося: без ограничения
единиц в одном товаре: 1
количество заводских упаковок: 1
количество отделений: 1
страна-изготовитель: россия
толщина обложки, мм: 1.9
фиксация документов: арочный механизм
формат: a4 (21 × 29.7 см)
ширина корешка, мм: 80"
42,95563,223338328872,730144575368,Канцелярские товары,1.0,0.025957357762928745,FN,lexical_surprise,"calligrata рюкзак calligrata, мультиколор, черный","рюкзак молодёжный школьный для мальчика ""камуфляж"" с эргономичной спинкой, подростковый ранец для школы, 5-11 класс, два отделения и карманы, размер 44 х 30 х 17 см, объем 22 л, формат а4","Название: calligrata рюкзак calligrata, мультиколор, черный | тип: рюкзак | цвет товара: мультиколор | материал: текстиль","Название: рюкзак молодёжный школьный для мальчика ""камуфляж"" с эргономичной спинкой, подростковый ранец для школы, 5-11 класс, два отделения и карманы, размер 44 х 30 х 17 см, объем 22 л, формат а4 | бренд: calligrata | тип: ранец школьный | объем главного отделения, л: 22 | название цвета: камуфляж | материал рюкзака, пенала: металл | высота, см: 44 | количество внешних карманов: 3 | количество внутренних отделений: 2 | страна-изготовитель: россия | ширина, см: 30","Категория: Канцелярские товары
Название: calligrata рюкзак calligrata, мультиколор, черный
тип: рюкзак
цвет товара: мультиколор
материал: текстиль
застежка: молния
особенности модели: внутренний карман, водонепроницаемая, светоотражающие элементы
пол: для девочек, для мальчиков, женский, мужской, унисекс
принт: камуфляжный, надписи
способ ношения: на спине","Категория: Канцелярские товары
Название: рюкзак молодёжный школьный для мальчика ""камуфляж"" с эргономичной спинкой, подростковый ранец для школы, 5-11 класс, два отделения и карманы, размер 44 х 30 х 17 см, объем 22 л, формат а4
бренд: calligrata
тип: ранец школьный
объем главного отделения, л: 22
название цвета: камуфляж
материал рюкзака, пенала: металл
возраст учащегося: старшие классы
высота, см: 44
глубина, см: 17
застежка: молния
количество внешних карманов: 3
количество внутренних отделений: 2
минимальный возраст ребенка: от 7 лет
особенности конструкции сумки: влагонепроницаемый
пол ребенка: мальчик
специальные отделения: боковой карман для бутылки воды
страна-изготовитель: россия
ширина, см: 30"
43,100880,231928343241,360777272249,Канцелярские товары,1.0,2.931153155880896e-05,FN,lexical_surprise,художка / гуашь (см. описание),краски акварельные луч,Название: художка / гуашь (см. описание),Название: краски акварельные луч | бренд: луч | тип: краски акварельные | страна-изготовитель: россия,"Категория: Канцелярские товары
Название: художка / гуашь (см. описание)
валюта: rub","Категория: Канцелярские товары
Название: краски акварельные луч
бренд: луч
тип: краски акварельные
страна-изготовитель: россия"
44,160093,377957122513,704374650819,Канцелярские товары,1.0,0.007577241922677275,FN,lexical_surprise,"скетчбук, листов: 20","лилия холдинг планшет для эскизов а5, 20 листов ""нежность"", блок крафт-бумага 200 г/м²","Название: скетчбук, листов: 20 | бренд: нет бренда | тип: скетчбук | название цвета: коричневый | цвет товара: коричневый | материал обложки: картон | количество листов, шт: 20 | страна-изготовитель: россия","Название: лилия холдинг планшет для эскизов а5, 20 листов ""нежность"", блок крафт-бумага 200 г/м² | тип: планшет | цвет товара: коричневый | длина: 21 см | количество листов: 20 л. | ширина: 14.8 см","Категория: Канцелярские товары
Название: скетчбук, листов: 20
бренд: нет бренда
тип: скетчбук
название цвета: коричневый
цвет товара: коричневый
материал обложки: картон
количество листов, шт: 20
страна-изготовитель: россия","Категория: Канцелярские товары
Название: лилия холдинг планшет для эскизов а5, 20 листов ""нежность"", блок крафт-бумага 200 г/м²
тип: планшет
цвет товара: коричневый
длина: 21 см
количество листов: 20 л.
плотность: 200 г/м²
фактура бумаги: крафт
формат: a5
ширина: 14.8 см"
45,165039,386547105819,652835140592,Канцелярские товары,1.0,0.0015011819937681247,FN,confident_minilm_v1_error,"карандаши 24 цвета заточенные, шестигранные, пластиковые, картонная упаковка, европодвес","не определен карандаши 24 цвета, заточенные, трехгранные, пластиковые, картонная упаковка, европодвес","Название: карандаши 24 цвета заточенные, шестигранные, пластиковые, картонная упаковка, европодвес | бренд: in mother’s hands | тип: карандаш | вид карандаша: цветной | цвет товара: разноцветный | количество заводских упаковок: 1 | страна-изготовитель: китай","Название: не определен карандаши 24 цвета, заточенные, трехгранные, пластиковые, картонная упаковка, европодвес | тип: набор карандашей | количество цветов: 24 | диаметр грифеля: 2.6 мм","Категория: Канцелярские товары
Название: карандаши 24 цвета заточенные, шестигранные, пластиковые, картонная упаковка, европодвес
бренд: in mother’s hands
тип: карандаш
вид карандаша: цветной
цвет товара: разноцветный
количество заводских упаковок: 1
страна-изготовитель: китай","Категория: Канцелярские товары
Название: не определен карандаши 24 цвета, заточенные, трехгранные, пластиковые, картонная упаковка, европодвес
тип: набор карандашей
количество цветов: 24
диаметр грифеля: 2.6 мм
особенности: заточенные
упаковка: картонная
форма корпуса: трехгранная"
46,205267,481036397689,798863942468,Канцелярские товары,1.0,0.32082130731838393,FN,component_companion,"пенал-футляр стамм ""мишки"", 90 х 217 х 43 мм, пластиковый, розовый","пенал-футляр стамм ""мишки"", 90 х 217 х 43 мм, пластиковый, розовый","Название: пенал-футляр стамм ""мишки"", 90 х 217 х 43 мм, пластиковый, розовый | цвет товара: розовый | материал: пластик | количество отделений: 1","Название: пенал-футляр стамм ""мишки"", 90 х 217 х 43 мм, пластиковый, розовый | бренд: нет бренда | тип: пенал | вид пенала: пенал-футляр | количество отделений: 1 | страна-изготовитель: китай","Категория: Канцелярские товары
Название: пенал-футляр стамм ""мишки"", 90 х 217 х 43 мм, пластиковый, розовый
цвет товара: розовый
материал: пластик
количество отделений: 1
наполнение: ластик
особенности: футляр","Категория: Канцелярские товары
Название: пенал-футляр стамм ""мишки"", 90 х 217 х 43 мм, пластиковый, розовый
бренд: нет бренда
тип: пенал
вид пенала: пенал-футляр
количество отделений: 1
наполнение пенала: нет
страна-изготовитель: китай"
47,237744,558345793717,377957175814,Канцелярские товары,1.0,0.0005527785524441058,FN,lexical_surprise,"дневник для 5-11 класса ""футбольный мяч"", твёрдая обложка, глянцевая ламинация, 48 листов - 1 шт.",calligrata дневник школьный,"Название: дневник для 5-11 класса ""футбольный мяч"", твёрдая обложка, глянцевая ламинация, 48 листов - 1 шт. | цвет: белый",Название: calligrata дневник школьный | бренд: calligrata | тип: дневник школьный | цвет товара: белый | страна-изготовитель: россия,"Категория: Канцелярские товары
Название: дневник для 5-11 класса ""футбольный мяч"", твёрдая обложка, глянцевая ламинация, 48 листов - 1 шт.
цвет: белый
валюта: rub
страна производства: россия","Категория: Канцелярские товары
Название: calligrata дневник школьный
бренд: calligrata
тип: дневник школьный
цвет товара: белый
пол ребенка: унисекс
страна-изготовитель: россия"
48,297547,695784781813,584115642861,Канцелярские товары,1.0,0.022977372418942873,FN,lexical_surprise,lapanda / бумага для рукоделия,"декупажная карта noname a4 (21 × 29.7 см), листов: 1",Название: lapanda / бумага для рукоделия | комплектация: декупажная карта | высота упаковки: 30 см | длина упаковки: 1 см | ширина упаковки: 21 см,"Название: декупажная карта noname a4 (21 × 29.7 см), листов: 1 | бренд: noname | тип: декупажная карта | размеры, мм: 210х297 | цвет товара: разноцветный | материал обложки: полимерный материал | количество заводских упаковок: 5 | количество листов, шт: 1 | страна-изготовитель: россия","Категория: Канцелярские товары
Название: lapanda / бумага для рукоделия
комплектация: декупажная карта
валюта: rub
высота упаковки: 30 см
длина упаковки: 1 см
страна производства: россия
ширина упаковки: 21 см","Категория: Канцелярские товары
Название: декупажная карта noname a4 (21 × 29.7 см), листов: 1
бренд: noname
тип: декупажная карта
размеры, мм: 210х297
цвет товара: разноцветный
материал обложки: полимерный материал
количество заводских упаковок: 5
количество листов, шт: 1
плотность бумаги, г/м2: 45
разметка: без разметки
страна-изготовитель: россия
формат: a4 (21 × 29.7 см)"
49,302586,704374758546,635655195723,Канцелярские товары,1.0,0.20181322466072713,FN,confident_minilm_v1_error,"комплект 2 упаковок, бумага цветная promega jet (а3.160г, голубая пастель) 250л/уп","бумага цветная promega jet (а3, 160 грамм, голубая пастель) 250 листов в упаковке","Название: комплект 2 упаковок, бумага цветная promega jet (а3.160г, голубая пастель) 250л/уп | тип: бумага | вид бумаги: офисная | цвет товара: комплект 2 упаковок | количество листов: 250 шт. | количество пачек: 2 шт. | особенности: цветная","Название: бумага цветная promega jet (а3, 160 грамм, голубая пастель) 250 листов в упаковке | бренд: promega | тип: бумага для принтера | цвет товара: голубой | количество заводских упаковок: 1 | количество листов, шт: 250 | страна-изготовитель: россия","Категория: Канцелярские товары
Название: комплект 2 упаковок, бумага цветная promega jet (а3.160г, голубая пастель) 250л/уп
тип: бумага
вид бумаги: офисная
цвет товара: комплект 2 упаковок
количество листов: 250 шт.
количество пачек: 2 шт.
особенности: цветная
формат: a3","Категория: Канцелярские товары
Название: бумага цветная promega jet (а3, 160 грамм, голубая пастель) 250 листов в упаковке
бренд: promega
тип: бумага для принтера
цвет товара: голубой
единиц в одном товаре: 1
количество заводских упаковок: 1
количество листов, шт: 250
особенности бумаги: двухсторонняя
плотность, г/м2: 160
страна-изготовитель: россия
формат: a3 (29.7 × 42 см)"
50,342201,798864000072,566935752677,Канцелярские товары,1.0,0.0293122327122782,FN,component_companion,moonglee / рюкзак на молнии наружный карман 2 боковых кармана розовый,"рюкзак на молнии, наружный карман, 2 боковых кармана, розовый",Название: moonglee / рюкзак на молнии наружный карман 2 боковых кармана розовый | вес товара без упаковки (г): 450 г | цвет: розовый | комплектация: рюкзак на молнии наружный карман 2 боковых кармана розовый | высота предмета: 39 см | высота упаковки: 42 см | длина упаковки: 38 см | состав: текстиль | ширина предмета: 11 см | ширина упаковки: 3 см,"Название: рюкзак на молнии, наружный карман, 2 боковых кармана, розовый | бренд: noname | тип: рюкзак школьный | вид принта: надписи | внешние размеры, мм: 390х110х110 | вес товара, г: 450 | цвет товара: розовый | материал рюкзака, пенала: текстиль | высота, см: 39 | количество внешних карманов: 3 | количество внутренних отделений: 1 | количество заводских упаковок: 1 | страна-изготовитель: россия | ширина, см: 11","Категория: Канцелярские товары
Название: moonglee / рюкзак на молнии наружный карман 2 боковых кармана розовый
вес товара без упаковки (г): 450 г
цвет: розовый
комплектация: рюкзак на молнии наружный карман 2 боковых кармана розовый
валюта: rub
высота предмета: 39 см
высота упаковки: 42 см
глубина предмета: 28 см
длина упаковки: 38 см
состав: текстиль
страна производства: китай
ширина предмета: 11 см
ширина упаковки: 3 см","Категория: Канцелярские товары
Название: рюкзак на молнии, наружный карман, 2 боковых кармана, розовый
бренд: noname
тип: рюкзак школьный
вид принта: надписи
внешние размеры, мм: 390х110х110
вес товара, г: 450
цвет товара: розовый
материал рюкзака, пенала: текстиль
возраст учащегося: без ограничения
высота, см: 39
глубина, см: 11
застежка: молния
количество внешних карманов: 3
количество внутренних отделений: 1
количество заводских упаковок: 1
максимальный возраст ребенка: до 18 лет
минимальный возраст ребенка: от 11 лет
ортопедический: нет
особенности конструкции сумки: мягкая спинка
пол: девочки
пол ребенка: девочка
специальные отделения: боковой карман для бутылки воды
страна-изготовитель: россия
ширина, см: 11"
51,343722,798864065717,601295487759,Канцелярские товары,1.0,2.753568782174604e-05,FN,lexical_surprise,"феникс+ дневник универсальный 1-11 класс, 48 листов ""любознательный малыш"", интегральная обложка, матовая ламинация, выборочный уф-лак",lisik. дневник школьный,"Название: феникс+ дневник универсальный 1-11 класс, 48 листов ""любознательный малыш"", интегральная обложка, матовая ламинация, выборочный уф-лак | тип: дневник школьный | цвет товара: розовый, голубой, белый | материал обложки: картон | количество листов: 48",Название: lisik. дневник школьный | бренд: lisik. | тип: дневник школьный | страна-изготовитель: россия,"Категория: Канцелярские товары
Название: феникс+ дневник универсальный 1-11 класс, 48 листов ""любознательный малыш"", интегральная обложка, матовая ламинация, выборочный уф-лак
тип: дневник школьный
цвет товара: розовый, голубой, белый
материал обложки: картон
возрастная группа: начальная школа, средняя и старшая школа
количество листов: 48
обложка: интегральная","Категория: Канцелярские товары
Название: lisik. дневник школьный
бренд: lisik.
тип: дневник школьный
пол ребенка: унисекс
страна-изготовитель: россия"
