anchor_type,concept,strength,rule_id,canonical_rule,relation,conditional_support,conditional_positive,conditional_negative,conditional_match_prevalence,conditional_wilson_low_95,conditional_wilson_high_95,conditional_max_2_support,anchor_support,anchor_match_prevalence,prevalence_delta_vs_anchor,discovery_effect_class,validation_stability,generation_status,interpretation
brand,brand,weak,rule_1ffb8ef68c1848b0,net_weight has different explicit values,different_value,711,128,583,0.180028129395218,0.15352951759979408,0.2099658357763944,187,27312,0.28635764499121263,-0.10632951559599463,NEGATIVE,REPLICATED_95,READY_LABEL_0,HARD_NEGATIVE_GENERATION_SUPPORT
brand,brand,weak,rule_03f1ae8a0ecdbbf9,upper_material has different explicit values,different_value,696,67,629,0.09626436781609195,0.0765155502525446,0.12044559066848663,8,27312,0.28635764499121263,-0.1900932771751207,NEGATIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_644d3c78c0a6ceed,material is explicitly known on only one side,missing_one_side,659,323,336,0.49013657056145676,0.4521365061772687,0.5282509649772273,130,27312,0.28635764499121263,0.20377892557024413,POSITIVE,REPLICATED_95,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_ad85277882595a95,gender is explicitly known on only one side,missing_one_side,659,143,516,0.21699544764795145,0.18721239561608513,0.25005889212445503,53,27312,0.28635764499121263,-0.06936219734326118,POSITIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
product_line,product_line,medium,rule_82a663e70cda696b,brand is explicitly known on only one side,missing_one_side,630,423,207,0.6714285714285714,0.6338085584322315,0.7069705889130988,193,6613,0.45728111295932256,0.21414745846924882,NEUTRAL,NOT_REPLICATED,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_a38c8940aab48635,gender has different explicit values,different_value,622,106,516,0.17041800643086816,0.14291314950270448,0.20196900598200598,33,27312,0.28635764499121263,-0.11593963856034448,NEGATIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_a1008245cf714dc6,season has different explicit values,different_value,593,69,524,0.1163575042158516,0.09298320278758904,0.14467047282751555,9,27312,0.28635764499121263,-0.17000014077536102,NEGATIVE,OPPOSITE_DIRECTION,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_2950346aed6f5f45,model_name has different explicit values,different_value,574,74,500,0.1289198606271777,0.1039519555171207,0.15882178732174723,114,27312,0.28635764499121263,-0.15743778436403494,NEGATIVE,REPLICATED_95,READY_LABEL_0,HARD_NEGATIVE_GENERATION_SUPPORT
brand,brand,weak,rule_4deadb4b65365dba,volume has different explicit values,different_value,528,91,437,0.17234848484848486,0.14252898022295485,0.20690137648475665,201,27312,0.28635764499121263,-0.11400916014272777,NEGATIVE,REPLICATED_95,READY_LABEL_0,HARD_NEGATIVE_GENERATION_SUPPORT
brand,brand,weak,rule_937e8a8ed4137115,package_contents has different explicit values,different_value,523,104,419,0.1988527724665392,0.16689498222801047,0.23520234645674032,68,27312,0.28635764499121263,-0.08750487252467343,NEGATIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
product_line,product_line,medium,rule_ee04e3d59e0d7494,color is explicitly known on only one side,missing_one_side,517,258,259,0.4990328820116054,0.4560989872424663,0.5419810432312898,175,6613,0.45728111295932256,0.04175176905228284,POSITIVE,REPLICATED_95,,DIAGNOSTIC_ONLY
exact_model,model_number,strong,rule_4aa0f48b79ae60d8,color has different explicit values,different_value,506,153,353,0.30237154150197626,0.26396516742993853,0.3437561326758198,163,2525,0.5635643564356435,-0.26119281493366725,NEGATIVE,REPLICATED_95,READY_LABEL_0,HARD_NEGATIVE_GENERATION_SUPPORT
brand,brand,weak,rule_03fc8403c96891fe,height has different explicit values,different_value,500,76,424,0.152,0.12319191165756974,0.186114822839939,48,27312,0.28635764499121263,-0.13435764499121264,NEGATIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_90e2417b07fa7ab2,sole_material has different explicit values,different_value,497,29,468,0.05835010060362173,0.04093089157532789,0.08254447468817738,1,27312,0.28635764499121263,-0.2280075443875909,NEGATIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_ab550131d7febbdf,flavor has different explicit values,different_value,495,52,443,0.10505050505050505,0.08101318892889162,0.13517086629024008,172,27312,0.28635764499121263,-0.18130713994070757,NEGATIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
product_line,product_line,medium,rule_ecc4cfa545cd0dce,sku is explicitly known on only one side,missing_one_side,470,298,172,0.6340425531914894,0.5895697588424709,0.6763418875811442,181,6613,0.45728111295932256,0.17676144023216683,POSITIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
product_line,product_line,medium,rule_5755f73e3bd42430,country_of_origin has different explicit values,different_value,465,181,284,0.38924731182795697,0.34600992368958267,0.4342996734110158,133,6613,0.45728111295932256,-0.06803380113136559,NEGATIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_d33c469d623e1c3c,length has different explicit values,different_value,461,28,433,0.06073752711496746,0.04235307150100595,0.08638239451580493,115,27312,0.28635764499121263,-0.22562011787624517,NEGATIVE,REPLICATED_95,READY_LABEL_0,HARD_NEGATIVE_GENERATION_SUPPORT
brand,brand,weak,rule_0a862a81c61e7fbd,optical_power has different explicit values,different_value,446,2,444,0.004484304932735426,0.0012305950092829998,0.016201318802156403,154,27312,0.28635764499121263,-0.2818733400584772,NEGATIVE,REPLICATED_95,READY_LABEL_0,HARD_NEGATIVE_GENERATION_SUPPORT
exact_model,model_name,strong,rule_4aa0f48b79ae60d8,color has different explicit values,different_value,436,69,367,0.15825688073394495,0.12700155163532784,0.19548181510397106,114,2303,0.5214937038645245,-0.3632368231305796,NEGATIVE,REPLICATED_95,READY_LABEL_0,HARD_NEGATIVE_GENERATION_SUPPORT
brand,brand,weak,rule_378a449f28c55668,model_name is explicitly known on only one side,missing_one_side,428,114,314,0.26635514018691586,0.22668843559089635,0.3101787860940918,24,27312,0.28635764499121263,-0.020002504804296772,POSITIVE,OPPOSITE_DIRECTION,,DIAGNOSTIC_ONLY
product_line,product_line,medium,rule_adbb0b06f5afebc9,manufacturer_part_number is explicitly known on only one side,missing_one_side,419,188,231,0.4486873508353222,0.4017447206945267,0.49656235221409895,177,6613,0.45728111295932256,-0.00859376212400037,NEUTRAL,NOT_REPLICATED,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_ffca1c80d89f3934,lining_material has different explicit values,different_value,404,30,374,0.07425742574257425,0.052507241506526484,0.10402804081876842,2,27312,0.28635764499121263,-0.21210021924863837,NEGATIVE,REPLICATED_95,STRICT_ASSOCIATION_NEEDS_ISOLATION,DIAGNOSTIC_ONLY
brand,brand,weak,rule_e6089842c9cca12b,scent has different explicit values,different_value,404,100,304,0.24752475247524752,0.20794974939638144,0.2918560575639678,190,27312,0.28635764499121263,-0.03883289251596511,NEGATIVE,REPLICATED_95,READY_LABEL_0,TOLERATED_DIFFERENCE_CANDIDATE_NOT_DETERMINISTIC
model_family,model_family,medium,rule_4aa0f48b79ae60d8,color has different explicit values,different_value,396,33,363,0.08333333333333333,0.05995126894504177,0.1147219016305061,94,1555,0.1607717041800643,-0.07743837084673098,NEGATIVE,REPLICATED_95,READY_LABEL_0,HARD_NEGATIVE_GENERATION_SUPPORT
product_line,product_line,medium,rule_d5e11de98d52207f,shelf_life has different explicit values,different_value,392,170,222,0.4336734693877551,0.3854915172449056,0.48314280517092933,111,6613,0.45728111295932256,-0.02360764357156747,NEUTRAL,NOT_REPLICATED,,TOLERATED_DIFFERENCE_CANDIDATE_NOT_DETERMINISTIC
brand,brand,weak,rule_fdcb40de9809d8cb,color_code has different explicit values,different_value,356,16,340,0.0449438202247191,0.027850873838254808,0.07175295184504583,128,27312,0.28635764499121263,-0.24141382476649353,NEGATIVE,REPLICATED_95,READY_LABEL_0,HARD_NEGATIVE_GENERATION_SUPPORT
brand,brand,weak,rule_8ea3d9064e889dd2,scent is explicitly known on only one side,missing_one_side,345,169,176,0.48985507246376814,0.4375073695901866,0.5424262163124122,117,27312,0.28635764499121263,0.2034974274725555,UNCERTAIN,DISCOVERY_UNCERTAIN,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_bd4dca3350014094,shelf_life is explicitly known on only one side,missing_one_side,345,234,111,0.6782608695652174,0.6272363515864354,0.7253592104107576,141,27312,0.28635764499121263,0.3919032245740047,POSITIVE,REPLICATED_95,,DIAGNOSTIC_ONLY
product_line,product_line,medium,rule_7a1cd2fb1842ddd9,country_of_origin is explicitly known on only one side,missing_one_side,342,239,103,0.6988304093567251,0.6482200055672016,0.7450236065372995,159,6613,0.45728111295932256,0.24154929639740258,POSITIVE,REPLICATED_95,,DIAGNOSTIC_ONLY
exact_model,model_number,strong,rule_ee04e3d59e0d7494,color is explicitly known on only one side,missing_one_side,325,239,86,0.7353846153846154,0.6848765297863951,0.7803930711400083,111,2525,0.5635643564356435,0.1718202589489719,POSITIVE,REPLICATED_95,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_ae05d1e2541db252,dimensions has different explicit values,different_value,321,52,269,0.16199376947040497,0.12572458476520176,0.20625752590042729,56,27312,0.28635764499121263,-0.12436387552080766,NEGATIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_1d50fe34d508fb0c,weight is explicitly known on only one side,missing_one_side,313,101,212,0.3226837060702875,0.2733110193532709,0.37635619606288656,43,27312,0.28635764499121263,0.03632606107907488,POSITIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_8e82137f7157d410,closure_type has different explicit values,different_value,309,26,283,0.08414239482200647,0.05806597643341675,0.12043202383253256,0,27312,0.28635764499121263,-0.20221525016920616,NEGATIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_956d566fde0ca574,volume is explicitly known on only one side,missing_one_side,309,147,162,0.47572815533980584,0.42068382831382567,0.5313685841530587,92,27312,0.28635764499121263,0.1893705103485932,POSITIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
exact_model,model_name,strong,rule_ee04e3d59e0d7494,color is explicitly known on only one side,missing_one_side,308,188,120,0.6103896103896104,0.5548863894847028,0.6631730355567284,98,2303,0.5214937038645245,0.08889590652508583,POSITIVE,REPLICATED_95,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_bb1a2492e9b575cb,dimensions is explicitly known on only one side,missing_one_side,302,110,192,0.36423841059602646,0.3119845664816291,0.4199027895876565,34,27312,0.28635764499121263,0.07788076560481383,POSITIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_500720dc3dbc47f4,collection is explicitly known on only one side,missing_one_side,298,40,258,0.1342281879194631,0.10014441150060654,0.17762247020158428,2,27312,0.28635764499121263,-0.15212945707174955,POSITIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_3ef3ce1e761d912b,gemstone_type has different explicit values,different_value,297,10,287,0.03367003367003367,0.018389652898571758,0.06086002533741688,11,27312,0.28635764499121263,-0.25268761132117895,NEGATIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_4e3d66e43891a9f1,packaging_type has different explicit values,different_value,294,100,194,0.3401360544217687,0.28835421213823403,0.3960417889576506,52,27312,0.28635764499121263,0.05377840943055606,UNCERTAIN,DISCOVERY_UNCERTAIN,,TOLERATED_DIFFERENCE_CANDIDATE_NOT_DETERMINISTIC
product_line,product_line,medium,rule_1ffb8ef68c1848b0,net_weight has different explicit values,different_value,294,72,222,0.24489795918367346,0.1992394808987721,0.2971371165946607,84,6613,0.45728111295932256,-0.2123831537756491,NEGATIVE,REPLICATED_95,READY_LABEL_0,HARD_NEGATIVE_GENERATION_SUPPORT
brand,brand,weak,rule_28e4f1c6e900dd03,package_weight has different explicit values,different_value,289,32,257,0.11072664359861592,0.07953185251395176,0.152134686666274,72,27312,0.28635764499121263,-0.17563100139259671,NEGATIVE,REPLICATED_95,READY_LABEL_0,HARD_NEGATIVE_GENERATION_SUPPORT
brand,brand,weak,rule_26542e713cae946d,closure_type is explicitly known on only one side,missing_one_side,285,47,238,0.1649122807017544,0.1263400011650358,0.21239790916367035,8,27312,0.28635764499121263,-0.12144536428945824,UNCERTAIN,DISCOVERY_UNCERTAIN,,DIAGNOSTIC_ONLY
exact_model,model_name,strong,rule_82a663e70cda696b,brand is explicitly known on only one side,missing_one_side,285,174,111,0.6105263157894737,0.5528007112261041,0.6653119152099772,59,2303,0.5214937038645245,0.08903261192494916,NEUTRAL,NOT_REPLICATED,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_f11355f5aed07cbc,heel_height has different explicit values,different_value,275,8,267,0.02909090909090909,0.014812867137562382,0.056344377692477327,5,27312,0.28635764499121263,-0.2572667359003035,NEGATIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_1602b0a85156ffb7,sphere_power has different explicit values,different_value,272,2,270,0.007352941176470588,0.0020187208450531645,0.026409188505820667,45,27312,0.28635764499121263,-0.27900470381474207,NEGATIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
product_line,product_line,medium,rule_3b95309412fde006,package_quantity is explicitly known on only one side,missing_one_side,268,144,124,0.5373134328358209,0.4775109878877267,0.5960612688971069,106,6613,0.45728111295932256,0.08003231987649834,POSITIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_6781877044ead9dd,axis has different explicit values,different_value,267,3,264,0.011235955056179775,0.0038283888428823475,0.032508717421443366,39,27312,0.28635764499121263,-0.27512168993503283,NEGATIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
exact_model,model_name,strong,rule_ecc4cfa545cd0dce,sku is explicitly known on only one side,missing_one_side,264,158,106,0.5984848484848485,0.5383476707430899,0.6557969281541689,82,2303,0.5214937038645245,0.07699114462032397,POSITIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
product_line,product_line,medium,rule_f63c58ab0b7fda1d,product_type has different explicit values,different_value,261,115,146,0.44061302681992337,0.3816755950288557,0.5012733072583984,99,6613,0.45728111295932256,-0.016668086139399185,NEGATIVE,REPLICATED_95,READY_LABEL_0,TOLERATED_DIFFERENCE_CANDIDATE_NOT_DETERMINISTIC
brand,brand,weak,rule_f6e9a265e33d8ac5,product_form has different explicit values,different_value,254,86,168,0.33858267716535434,0.28317460304377307,0.3988006872119497,72,27312,0.28635764499121263,0.052225032174141706,NEGATIVE,SAME_DIRECTION_WEAK,,TOLERATED_DIFFERENCE_CANDIDATE_NOT_DETERMINISTIC
brand,brand,weak,rule_1556ca0d222272e3,upholstery_material has different explicit values,different_value,252,44,208,0.1746031746031746,0.1327145500055696,0.22626381785954697,20,27312,0.28635764499121263,-0.11175447038803804,UNCERTAIN,DISCOVERY_UNCERTAIN,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_55db3a675ae9a15d,heel_height is explicitly known on only one side,missing_one_side,248,26,222,0.10483870967741936,0.07255348538983517,0.1491795404486284,2,27312,0.28635764499121263,-0.18151893531379326,NEGATIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_360ef3a88794878e,size has different explicit values,different_value,248,31,217,0.125,0.08947549015278897,0.1719650343673856,38,27312,0.28635764499121263,-0.16135764499121263,NEGATIVE,OPPOSITE_DIRECTION,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_8c1ab2ff0c505580,insole_material has different explicit values,different_value,247,30,217,0.1214574898785425,0.08641624854270616,0.16809337027650087,0,27312,0.28635764499121263,-0.16490015511267014,UNCERTAIN,DISCOVERY_UNCERTAIN,,DIAGNOSTIC_ONLY
product_line,product_line,medium,rule_644d3c78c0a6ceed,material is explicitly known on only one side,missing_one_side,240,172,68,0.7166666666666667,0.6565902564721633,0.769916131281198,56,6613,0.45728111295932256,0.2593855537073441,POSITIVE,REPLICATED_95,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_a38abde56306044c,shoe_size has different explicit values,different_value,234,39,195,0.16666666666666666,0.12438188617587306,0.21971939804017657,19,27312,0.28635764499121263,-0.11969097832454598,UNCERTAIN,DISCOVERY_UNCERTAIN,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_e9386a206fb4c758,total_weight has different explicit values,different_value,231,17,214,0.0735930735930736,0.04645216885188042,0.11468452924590125,44,27312,0.28635764499121263,-0.21276457139813904,NEGATIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_44c4b42ce8f7dbc8,warranty_period has different explicit values,different_value,228,65,163,0.2850877192982456,0.2304264306581908,0.3468711725329535,22,27312,0.28635764499121263,-0.0012699256929670222,POSITIVE,REPLICATED_95,,TOLERATED_DIFFERENCE_CANDIDATE_NOT_DETERMINISTIC
brand,brand,weak,rule_9eef4bf5c9bb4b37,depth has different explicit values,different_value,227,28,199,0.12334801762114538,0.08673477231878463,0.17249753243044602,6,27312,0.28635764499121263,-0.16300962737006724,NEGATIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_256359903c634f53,target_age has different explicit values,different_value,225,70,155,0.3111111111111111,0.25421626429221844,0.37434777301568356,34,27312,0.28635764499121263,0.024753466119898482,UNCERTAIN,DISCOVERY_UNCERTAIN,,TOLERATED_DIFFERENCE_CANDIDATE_NOT_DETERMINISTIC
product_line,product_line,medium,rule_4deadb4b65365dba,volume has different explicit values,different_value,224,44,180,0.19642857142857142,0.14970509571697738,0.25338898367853246,107,6613,0.45728111295932256,-0.2608525415307511,NEGATIVE,REPLICATED_95,READY_LABEL_0,HARD_NEGATIVE_GENERATION_SUPPORT
brand,brand,weak,rule_7e16fc9f13e7410f,oxygen_permeability has different explicit values,different_value,213,12,201,0.056338028169014086,0.03251770188535267,0.09587832544519648,30,27312,0.28635764499121263,-0.23001961682219854,NEGATIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_df017e31cd14d393,package_contents is explicitly known on only one side,missing_one_side,213,79,134,0.37089201877934275,0.30884454459830735,0.4375140876936514,41,27312,0.28635764499121263,0.08453437378813011,UNCERTAIN,DISCOVERY_UNCERTAIN,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_775dee8edfa17b5a,frame_material has different explicit values,different_value,210,18,192,0.08571428571428572,0.054904524446293165,0.1314090833830534,8,27312,0.28635764499121263,-0.20064335927692692,NEGATIVE,REPLICATED_95,STRICT_ASSOCIATION_NEEDS_ISOLATION,DIAGNOSTIC_ONLY
product_line,product_line,medium,rule_18a60636e63690ba,model_number has different explicit values,different_value,210,17,193,0.08095238095238096,0.05115446146362471,0.12580642921433507,52,6613,0.45728111295932256,-0.3763287320069416,NEGATIVE,REPLICATED_95,READY_LABEL_0,HARD_NEGATIVE_GENERATION_SUPPORT
brand,brand,weak,rule_8f34258cfe0a4f40,flavor_profile has different explicit values,different_value,208,34,174,0.16346153846153846,0.11939507784623474,0.21973378069712982,52,27312,0.28635764499121263,-0.12289610652967417,NEGATIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_e54d32ebd8508c7a,target_audience is explicitly known on only one side,missing_one_side,207,70,137,0.33816425120772947,0.2771866762472686,0.4050392222471461,32,27312,0.28635764499121263,0.05180660621651684,POSITIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_9985fc48a8512f98,cylinder_power has different explicit values,different_value,200,2,198,0.01,0.0027466006037749346,0.03572248519617954,11,27312,0.28635764499121263,-0.2763576449912126,NEGATIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_c613e8c7e95169ab,sku has different explicit values,different_value,200,37,163,0.185,0.13730116322736063,0.2445718205011816,15,27312,0.28635764499121263,-0.10135764499121264,NEUTRAL,NOT_REPLICATED,,DIAGNOSTIC_ONLY
brand,brand,weak,rule_7d49f5a34bbfd76d,case_diameter has different explicit values,different_value,197,11,186,0.05583756345177665,0.03146119203262686,0.09720537903631506,6,27312,0.28635764499121263,-0.23052008153943598,NEGATIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
exact_model,model_number,strong,rule_0a862a81c61e7fbd,optical_power has different explicit values,different_value,195,2,193,0.010256410256410256,0.0028171396519349606,0.0366192760679144,72,2525,0.5635643564356435,-0.5533079461792333,NEGATIVE,REPLICATED_95,READY_LABEL_0,HARD_NEGATIVE_GENERATION_SUPPORT
brand,brand,weak,rule_4fdf27956d0b1043,product_type is explicitly known on only one side,missing_one_side,193,103,90,0.533678756476684,0.46332681567387296,0.6027161345968015,95,27312,0.28635764499121263,0.2473211114854713,POSITIVE,SAME_DIRECTION_WEAK,,DIAGNOSTIC_ONLY
