anchor_type,concept,strength,category,support,positive,negative,match_prevalence
manufacturer_part_number,manufacturer_part_number,strong,Детские товары,1,1.0,0.0,1.0
manufacturer_part_number,manufacturer_part_number,strong,Дом и сад,11,10.0,1.0,0.9090909090909091
manufacturer_part_number,manufacturer_part_number,strong,Канцелярские товары,3,3.0,0.0,1.0
manufacturer_part_number,manufacturer_part_number,strong,Мебель,20,18.0,2.0,0.9
manufacturer_part_number,manufacturer_part_number,strong,Музыкальные инструменты,8,7.0,1.0,0.875
manufacturer_part_number,manufacturer_part_number,strong,Спорт и отдых,4,3.0,1.0,0.75
manufacturer_part_number,manufacturer_part_number,strong,Строительство и ремонт,40,27.0,13.0,0.675
manufacturer_part_number,manufacturer_part_number,strong,Товары для животных,1,1.0,0.0,1.0
manufacturer_part_number,manufacturer_part_number,strong,Хобби и творчество,7,5.0,2.0,0.7142857142857143
manufacturer_part_number,manufacturer_part_number,strong,Электроника,20,17.0,3.0,0.85
manufacturer_part_number,manufacturer_part_number,strong,Ювелирные изделия,29,22.0,7.0,0.7586206896551724
manufacturer_part_number,part_number,strong,Автотовары,55,49.0,6.0,0.8909090909090909
manufacturer_part_number,part_number,strong,Музыкальные инструменты,6,6.0,0.0,1.0
manufacturer_part_number,part_number,strong,Строительство и ремонт,9,5.0,4.0,0.5555555555555556
manufacturer_part_number,part_number,strong,Хобби и творчество,1,0.0,1.0,0.0
manufacturer_part_number,part_number,strong,Электроника,7,4.0,3.0,0.5714285714285714
model_family,model_family,medium,Автотовары,105,17.0,88.0,0.1619047619047619
model_family,model_family,medium,Аптека,336,15.0,321.0,0.044642857142857144
model_family,model_family,medium,Бытовая химия,1,0.0,1.0,0.0
model_family,model_family,medium,Галантерея и аксессуары,14,4.0,10.0,0.2857142857142857
model_family,model_family,medium,Детские товары,59,24.0,35.0,0.4067796610169492
model_family,model_family,medium,Дом и сад,37,9.0,28.0,0.24324324324324326
model_family,model_family,medium,Канцелярские товары,55,25.0,30.0,0.45454545454545453
model_family,model_family,medium,Красота и гигиена,31,12.0,19.0,0.3870967741935484
model_family,model_family,medium,Мебель,225,24.0,201.0,0.10666666666666667
model_family,model_family,medium,Музыкальные инструменты,65,10.0,55.0,0.15384615384615385
model_family,model_family,medium,Обувь,105,13.0,92.0,0.12380952380952381
model_family,model_family,medium,Продукты питания,5,0.0,5.0,0.0
model_family,model_family,medium,Спорт и отдых,215,40.0,175.0,0.18604651162790697
model_family,model_family,medium,Строительство и ремонт,111,18.0,93.0,0.16216216216216217
model_family,model_family,medium,Товары для животных,59,9.0,50.0,0.15254237288135594
model_family,model_family,medium,Хобби и творчество,26,5.0,21.0,0.19230769230769232
model_family,model_family,medium,Электроника,64,12.0,52.0,0.1875
model_family,model_family,medium,Ювелирные изделия,42,13.0,29.0,0.30952380952380953
product_line,product_line,medium,Автотовары,81,14.0,67.0,0.1728395061728395
product_line,product_line,medium,Аптека,200,33.0,167.0,0.165
product_line,product_line,medium,Бытовая химия,1146,636.0,510.0,0.5549738219895288
product_line,product_line,medium,Галантерея и аксессуары,94,30.0,64.0,0.3191489361702128
product_line,product_line,medium,Детские товары,629,429.0,200.0,0.6820349761526232
product_line,product_line,medium,Дом и сад,285,127.0,158.0,0.4456140350877193
product_line,product_line,medium,Канцелярские товары,328,125.0,203.0,0.38109756097560976
product_line,product_line,medium,Красота и гигиена,799,355.0,444.0,0.44430538172715894
product_line,product_line,medium,Мебель,231,42.0,189.0,0.18181818181818182
product_line,product_line,medium,Музыкальные инструменты,118,29.0,89.0,0.2457627118644068
product_line,product_line,medium,Обувь,45,10.0,35.0,0.2222222222222222
product_line,product_line,medium,Продукты питания,718,312.0,406.0,0.43454038997214484
product_line,product_line,medium,Спорт и отдых,174,45.0,129.0,0.25862068965517243
product_line,product_line,medium,Строительство и ремонт,210,42.0,168.0,0.2
product_line,product_line,medium,Товары для животных,757,326.0,431.0,0.43064729194187584
product_line,product_line,medium,Хобби и творчество,619,421.0,198.0,0.6801292407108239
product_line,product_line,medium,Электроника,68,16.0,52.0,0.23529411764705882
product_line,product_line,medium,Ювелирные изделия,111,32.0,79.0,0.2882882882882883
product_line,series,medium,Хобби и творчество,1,0.0,1.0,0.0
