category,attribute,conflict_0,conflict_1,equal_0,equal_1,conflicts,equals,negative_rate_given_conflict,category_negative_rate,smoothed_negative_rate,negative_lift,candidate
Строительство и ремонт,структура жилы,62,3,0,0,65,0,0.9538461538461539,0.7837222870478413,0.9416944490748457,0.15797216202700437,True
Галантерея и аксессуары,материал линзы,631,6,110,4,637,114,0.9905808477237049,0.8319352378717663,0.9893452900145776,0.15741005214281134,True
Автотовары,"высота профиля, %",96,1,41,24,97,65,0.9896907216494846,0.8248735197642743,0.9816114470472683,0.15673792728299407,True
Спорт и отдых,количество порций,25,2,16,4,27,20,0.9259259259259259,0.7404275591020069,0.8969418061096885,0.15651424700768168,True
Электроника,тип видеокарты,331,5,2325,25,336,2350,0.9851190476190477,0.8267152121970645,0.9827964107360273,0.15608119853896285,True
Строительство и ремонт,диаметр резьбы,28,1,6,1,29,7,0.9655172413793104,0.7837222870478413,0.9387826892717414,0.15506040222390005,True
Автотовары,"ширина профиля, мм",69,1,32,12,70,44,0.9857142857142858,0.8248735197642743,0.9749915679842849,0.15011804822001062,True
Дом и сад,размер наволочки,648,82,14,2,730,16,0.8876712328767123,0.7369750932499097,0.8866460890697273,0.14967099581981758,True
Строительство и ремонт,"ширина, см",50,3,23,9,53,32,0.9433962264150944,0.7837222870478413,0.9296312316420553,0.145908944594214,True
Мебель,"ширина спального места, см",126,0,83,23,126,106,1.0,0.8491264607196576,0.9942414679663991,0.14511500724674153,True
Электроника,модель процессора,747,21,21,5,768,26,0.97265625,0.8267152121970645,0.9717122588111065,0.144997046614042,True
Строительство и ремонт,количество фаз,36,2,10,0,38,10,0.9473684210526315,0.7837222870478413,0.9283398008195164,0.1446175137716751,True
Спорт и отдых,количество колес,29,3,195,34,32,229,0.90625,0.7404275591020069,0.8838415620408118,0.1434140029388049,True
Электроника,встроенная память,24,0,45,15,24,60,1.0,0.8267152121970645,0.9701233124477697,0.14340810025070527,True
Строительство и ремонт,количество компонентов,48,3,3,1,51,4,0.9411764705882353,0.7837222870478413,0.9271180613435572,0.14339577429571593,True
Электроника,артикул,23,0,0,0,23,0,1.0,0.8267152121970645,0.969056287892333,0.14234107569526855,True
Строительство и ремонт,способ нанесения,47,3,5,0,50,5,0.94,0.7837222870478413,0.9257929351861673,0.14207064813832604,True
Канцелярские товары,цвет чернил,52,12,175,47,64,222,0.8125,0.6597844514410269,0.8014336559015237,0.14164920446049678,True
Галантерея и аксессуары,"ширина линзы, мм",24,0,10,1,24,11,1.0,0.8319352378717663,0.9710233168744424,0.13908807900267617,True
Электроника,оптический привод,133,4,643,12,137,655,0.9708029197080292,0.8267152121970645,0.9657294088801783,0.13901419668311388,True
Спорт и отдых,материал обода,129,17,98,15,146,113,0.8835616438356164,0.7404275591020069,0.8788221046060266,0.13839454550401975,True
Спорт и отдых,вид крючка,55,7,134,19,62,153,0.8870967741935484,0.7404275591020069,0.8761513103807468,0.13572375127873992,True
Строительство и ремонт,вид обоев,87,7,12,0,94,12,0.925531914893617,0.7837222870478413,0.9183698124771636,0.13464752542932235,True
Галантерея и аксессуары,материал оправы,534,18,379,5,552,384,0.967391304347826,0.8319352378717663,0.9661753612017214,0.13424012332995516,True
Строительство и ремонт,вид кабеля,75,6,8,0,81,8,0.9259259259259259,0.7837222870478413,0.9176582725027814,0.13393598545494012,True
Дом и сад,место для выращивания,59,8,0,1,67,1,0.8805970149253731,0.7369750932499097,0.8706232703645771,0.13364817711466737,True
Строительство и ремонт,особенности обоев,96,8,7,0,104,7,0.9230769230769231,0.7837222870478413,0.9166845085801761,0.13296222153233483,True
Дом и сад,"длина, см",58,8,11,12,66,23,0.8787878787878788,0.7369750932499097,0.8688010629049232,0.13182596965501348,True
Дом и сад,форма,38,5,0,0,43,0,0.8837209302325582,0.7369750932499097,0.8684349055468656,0.1314598122969559,True
Спорт и отдых,количество скоростей велосипеда,153,22,0,0,175,0,0.8742857142857143,0.7404275591020069,0.870567432197278,0.13013987309527109,True
Строительство и ремонт,материал оболочки,49,4,48,4,53,52,0.9245283018867925,0.7837222870478413,0.9123898523317104,0.12866756528386913,True
Спорт и отдых,цвет товара,1425,215,438,215,1640,653,0.8689024390243902,0.7404275591020069,0.8685119378696109,0.12808437876760403,True
Музыкальные инструменты,тональность,55,5,9,10,60,19,0.9166666666666666,0.7780700705488461,0.9060053900422189,0.12793531949337278,True
Мебель,"длина спального места, см",70,1,114,16,71,130,0.9859154929577465,0.8491264607196576,0.9769162145210301,0.12778975380137247,True
Автотовары,индекс нагрузки,982,50,118,122,1032,240,0.9515503875968992,0.8248735197642743,0.9509396023132317,0.12606608254895746,True
Строительство и ремонт,тип расцепления,37,3,58,8,40,66,0.925,0.7837222870478413,0.909302476338649,0.12558018929080772,True
Дом и сад,"ширина, см",23,3,12,14,26,26,0.8846153846153846,0.7369750932499097,0.8608024343951467,0.12382734114523697,True
Строительство и ремонт,количество полюсов,65,6,145,21,71,166,0.9154929577464789,0.7837222870478413,0.9068238346742,0.12310154762635872,True
Электроника,цвет товара,1467,77,1119,139,1544,1258,0.9501295336787565,0.8267152121970645,0.9497311659528634,0.12301595375579899,True
Электроника,материал,160,8,108,9,168,117,0.9523809523809523,0.8267152121970645,0.9487489945721694,0.12203378237510498,True
Продукты питания,не содержит,1091,190,5,0,1281,5,0.8516783762685401,0.7300237227333217,0.8512053799484188,0.1211816572150971,True
Музыкальные инструменты,материал нижней деки,247,28,229,53,275,282,0.8981818181818182,0.7780700705488461,0.8960369655455152,0.11796689499666901,True
Строительство и ремонт,количество клавиш,70,7,27,11,77,38,0.9090909090909091,0.7837222870478413,0.9014464809175512,0.11772419386970989,True
Продукты питания,упаковка,1059,192,640,128,1251,768,0.8465227817745803,0.7300237227333217,0.8460590116350848,0.11603528890176307,True
Галантерея и аксессуары,вид замка,696,39,684,39,735,723,0.9469387755102041,0.8319352378717663,0.9461617245802146,0.11422648670844837,True
Спорт и отдых,вид ловли,39,6,4,2,45,6,0.8666666666666667,0.7404275591020069,0.8540427559102006,0.11361519680819376,True
Спорт и отдых,пол,396,68,112,18,464,130,0.853448275862069,0.7404275591020069,0.8522433641695311,0.1118158050675242,True
Строительство и ремонт,тип фитинга,31,3,0,0,34,0,0.9117647058823529,0.7837222870478413,0.8953490111599797,0.11162672411213836,True
Электроника,подсветка клавиатуры,115,7,47,2,122,49,0.9426229508196722,0.8267152121970645,0.9380596540235064,0.11134444182644199,True
Продукты питания,вид лапши,35,6,60,10,41,70,0.8536585365853658,0.7300237227333217,0.8402199698623175,0.11019624712899578,True
Спорт и отдых,конструкция рулевой колонки,100,17,18,2,117,20,0.8547008547008547,0.7404275591020069,0.8500175229140168,0.10958996381200992,True
Строительство и ремонт,соединение,38,4,18,0,42,18,0.9047619047619048,0.7837222870478413,0.8918853496859406,0.10816306263809927,True
Мебель,размер кресла-мешка,35,1,20,1,36,21,0.9722222222222222,0.8491264607196576,0.9572105439902021,0.10808408327054453,True
Музыкальные инструменты,"ширина грифа, мм",67,8,45,9,75,54,0.8933333333333333,0.7780700705488461,0.8861293794093029,0.10805930886045678,True
Дом и сад,жизненный цикл,172,31,168,31,203,199,0.8472906403940886,0.7369750932499097,0.8446388243569689,0.10766373110705918,True
Продукты питания,вид чая,701,136,606,169,837,775,0.8375149342891278,0.7300237227333217,0.836876625431908,0.10685290269858627,True
Галантерея и аксессуары,форма,131,8,541,32,139,573,0.9424460431654677,0.8319352378717663,0.938608862426103,0.10667362455433671,True
Галантерея и аксессуары,стекло,1304,85,152,10,1389,162,0.9388048956083513,0.8319352378717663,0.9384215754586506,0.1064863375868843,True
Музыкальные инструменты,материал обечайки,119,15,115,35,134,150,0.8880597014925373,0.7780700705488461,0.8841032399478003,0.10603316939895413,True
Строительство и ремонт,шлиц,29,3,69,3,32,72,0.90625,0.7837222870478413,0.889692200952411,0.10596991390456967,True
Мебель,количество дверей,1721,81,0,0,1802,0,0.9550499445061044,0.8491264607196576,0.9547568524092962,0.10563039168963861,True
Строительство и ремонт,материал,310,38,534,66,348,600,0.8908045977011494,0.7837222870478413,0.8892878510913291,0.10556556404348783,True
Автотовары,название цвета,221,16,2,1,237,3,0.9324894514767933,0.8248735197642743,0.9302659818133114,0.10539246204903718,True
Галантерея и аксессуары,цвет линзы,23,1,22,0,24,22,0.9583333333333334,0.8319352378717663,0.9365405582537527,0.10460532038198644,True
Галантерея и аксессуары,материал корпуса,1211,82,202,17,1293,219,0.9365815931941222,0.8319352378717663,0.9361784870488127,0.10424324917704642,True
Продукты питания,вид пюре,23,4,13,3,27,16,0.8518518518518519,0.7300237227333217,0.8328162066770816,0.10279248394375984,True
Строительство и ремонт,лейка,20,2,12,4,22,16,0.9090909090909091,0.7837222870478413,0.8858744976014521,0.10215221055361079,True
Дом и сад,совместимые плиты,24,4,0,0,28,0,0.8571428571428571,0.7369750932499097,0.8389356201893802,0.10196052693947044,True
Строительство и ремонт,помещение,74,9,2,0,83,2,0.891566265060241,0.7837222870478413,0.8854387663095363,0.10171647926169503,True
Спорт и отдых,конструкция удилища,88,16,45,12,104,57,0.8461538461538461,0.7404275591020069,0.8413040164725691,0.10087645737056228,True
Мебель,"длина, см",105,5,79,12,110,91,0.9545454545454546,0.8491264607196576,0.9499620200312894,0.1008355593116318,True
Музыкальные инструменты,тип бриджа,84,11,115,28,95,143,0.8842105263157894,0.7780700705488461,0.8789035035274424,0.10083343297859626,True
Мебель,подъемный механизм,67,3,189,25,70,214,0.9571428571428572,0.8491264607196576,0.9499417640479771,0.10081530332831956,True
Дом и сад,цвет товара,1250,243,788,375,1493,1163,0.8372404554588078,0.7369750932499097,0.8369057913659878,0.09993069811607802,True
Галантерея и аксессуары,степень затемнения,62,4,0,0,66,0,0.9393939393939394,0.8319352378717663,0.9318264252022371,0.09989118733047087,True
Электроника,раскладка клавиатуры,181,14,10,0,195,10,0.9282051282051282,0.8267152121970645,0.9256678803049266,0.09895266810786219,True
Галантерея и аксессуары,цвет оправы,34,2,17,2,36,19,0.9444444444444444,0.8319352378717663,0.9307238094965569,0.0987885716247906,True
Музыкальные инструменты,бренд,637,89,1104,336,726,1440,0.8774104683195593,0.7780700705488461,0.8767309854346707,0.09866091488582451,True
Электроника,процессор,2525,204,101,5,2729,106,0.9252473433492122,0.8267152121970645,0.9250671455965565,0.098351933399492,True
Строительство и ремонт,назначение,287,38,85,17,325,102,0.8830769230769231,0.7837222870478413,0.8815715498037552,0.09784926275591388,True
Музыкальные инструменты,материал накладки грифа,184,26,200,61,210,261,0.8761904761904762,0.7780700705488461,0.8739086062918336,0.09583853574298751,True
Электроника,назначение,1211,102,66,9,1313,75,0.9223153084539223,0.8267152121970645,0.921952637375558,0.09523742517849354,True
Мебель,форма столешницы,924,54,2,0,978,2,0.9447852760736196,0.8491264607196576,0.9442987103800593,0.09517224966040172,True
Галантерея и аксессуары,материал ручки,19,1,10,3,20,13,0.95,0.8319352378717663,0.9263870475743532,0.09445180970258693,True
Галантерея и аксессуары,тип застежки,19,1,2,1,20,3,0.95,0.8319352378717663,0.9263870475743532,0.09445180970258693,True
Галантерея и аксессуары,"вес, кг",19,1,0,0,20,0,0.95,0.8319352378717663,0.9263870475743532,0.09445180970258693,True
Строительство и ремонт,форма,227,31,56,6,258,62,0.8798449612403101,0.7837222870478413,0.8780175339742935,0.09429524692645219,True
Мебель,"глубина сиденья, см",191,11,174,71,202,245,0.9455445544554455,0.8491264607196576,0.9432156149932285,0.0940891542735709,True
Спорт и отдых,особенности самоката,38,7,3,0,45,3,0.8444444444444444,0.7404275591020069,0.8340427559102007,0.09361519680819386,True
Спорт и отдых,сезон,118,23,2,1,141,3,0.8368794326241135,0.7404275591020069,0.8335762862706168,0.09314872716860989,True
Музыкальные инструменты,материал грифа,930,137,549,116,1067,665,0.8716026241799437,0.7780700705488461,0.8711663715977092,0.09309630104886302,True
Строительство и ремонт,покрытие,116,16,14,1,132,15,0.8787878787878788,0.7837222870478413,0.8753183316440818,0.09159604459624049,True
Мебель,"высота сиденья, см",165,10,212,73,175,285,0.9428571428571428,0.8491264607196576,0.9402535127977683,0.09112705207811067,True
Галантерея и аксессуары,материал подкладки,473,39,255,25,512,280,0.923828125,0.8319352378717663,0.9229394123585277,0.09100417448676146,True
Строительство и ремонт,управление,94,13,172,35,107,207,0.8785046728971962,0.7837222870478413,0.8742733163860643,0.09055102933822301,True
Электроника,ресурс,326,30,2,3,356,5,0.9157303370786517,0.8267152121970645,0.9144974406121477,0.08778222841508321,True
Продукты питания,вид меда,38,8,1,1,46,2,0.8260869565217391,0.7300237227333217,0.8166689924248354,0.08664526969151365,True
Галантерея и аксессуары,коллекция,715,63,235,59,778,294,0.9190231362467867,0.8319352378717663,0.9184670193989257,0.08653178152715946,True
Электроника,"вес, кг",47,4,20,5,51,25,0.9215686274509803,0.8267152121970645,0.913099572517595,0.08638436032053054,True
Мебель,"ширина, см",629,43,347,131,672,478,0.9360119047619048,0.8491264607196576,0.9353702101973387,0.0862437494776811,True
Мебель,конструкция,1392,96,259,16,1488,275,0.9354838709677419,0.8491264607196576,0.9351946632977886,0.08606820257813097,True
Электроника,особенности,266,25,19,3,291,22,0.9140893470790378,0.8267152121970645,0.912613432638464,0.0858982204413995,True
Дом и сад,комплектация,4127,888,570,90,5015,660,0.8229312063808575,0.7369750932499097,0.8228455927223605,0.08587049947245073,True
Продукты питания,форма чая,20,4,5,0,24,5,0.8333333333333334,0.7300237227333217,0.8155213315057451,0.0854976087724234,True
Мебель,форма раковины,488,34,60,17,522,77,0.9348659003831418,0.8491264607196576,0.934052433213659,0.08492597249400147,True
Спорт и отдых,"длина в сложенном виде, см",26,5,4,3,31,7,0.8387096774193549,0.7404275591020069,0.825059383208612,0.08463182410660519,True
Строительство и ремонт,"вес, кг",36,5,35,1,41,36,0.8780487804878049,0.7837222870478413,0.8677959007660697,0.08407361371822841,True
Музыкальные инструменты,наличие звукоснимателя,203,32,0,0,235,0,0.8638297872340426,0.7780700705488461,0.8620431264697677,0.08397305592092152,True
Электроника,покрытие,25,2,13,2,27,15,0.9259259259259259,0.8267152121970645,0.9104242519057913,0.0837090397087269,True
Мебель,пол ребенка,20,1,0,0,21,0,0.9523809523809523,0.8491264607196576,0.9325243193691649,0.08339785864950733,True
Мебель,"высота, см",452,33,383,102,485,485,0.931958762886598,0.8491264607196576,0.931113535313466,0.08198707459380838,True
Мебель,количество ножек,517,38,11,1,555,12,0.9315315315315316,0.8491264607196576,0.9307957719707113,0.0816693112510537,True
Галантерея и аксессуары,размер чемодана,109,10,8,2,119,10,0.9159663865546218,0.8319352378717663,0.9125780337851519,0.08064279591338563,True
Автотовары,бренд,1239,129,2308,554,1368,2862,0.9057017543859649,0.8248735197642743,0.9054074053887993,0.08053388562452501,True
Электроника,операционная система,600,61,559,205,661,764,0.9077155824508321,0.8267152121970645,0.9071074715630411,0.0803922593659766,True
Дом и сад,аромат,38,8,1,5,46,6,0.8260869565217391,0.7369750932499097,0.8173504993382265,0.08037540608831673,True
Продукты питания,вид шоколада,108,25,165,78,133,243,0.8120300751879699,0.7300237227333217,0.809058830533816,0.07903510780049428,True
Продукты питания,степень обжарки,95,22,194,72,117,266,0.811965811965812,0.7300237227333217,0.8086075296202181,0.07858380688689637,True
Спорт и отдых,рулевая колонка,38,8,9,2,46,11,0.8260869565217391,0.7404275591020069,0.8176889763825497,0.07726141728054281,True
Ювелирные изделия,вид замка,828,42,712,80,870,792,0.9517241379310345,0.8759460536049621,0.951291120306314,0.07534506670135188,True
Музыкальные инструменты,форма гитары,49,8,40,10,57,50,0.8596491228070176,0.7780700705488461,0.8530701669797456,0.07500009643089944,True
Спорт и отдых,материал колес,24,5,27,6,29,33,0.8275862068965517,0.7404275591020069,0.8147687586914716,0.07434119958946472,True
Спорт и отдых,"вес, кг",32,7,2,1,39,3,0.8205128205128205,0.7404275591020069,0.811412222625228,0.07098466352322119,True
Строительство и ремонт,особенности,108,18,15,2,126,17,0.8571428571428571,0.7837222870478413,0.8543405453071694,0.0706182582593281,True
Галантерея и аксессуары,циферблат,22,2,21,5,24,26,0.9166666666666666,0.8319352378717663,0.9020577996330631,0.07012256176129683,True
Обувь,"высота голенища, см",46,1,0,8,47,8,0.9787234042553191,0.901695110701107,0.9713168375674142,0.06962172686630719,True
Автотовары,форма выпуска,495,58,36,2,553,38,0.895117540687161,0.8248735197642743,0.8944881139763824,0.06961459421210814,True
Аптека,форма оправы,5815,18,2880,33,5833,2913,0.9969141093776788,0.9272748227972109,0.9968544662750918,0.06957964347788093,True
Галантерея и аксессуары,особенности часов,467,51,0,0,518,0,0.9015444015444015,0.8319352378717663,0.9008789219681813,0.06894368409641505,True
Аптека,покрытие линз,8129,32,129,1,8161,130,0.9960789118980518,0.9272748227972109,0.9960367835064886,0.06876196070927776,True
Спорт и отдых,шаг винта,23,5,0,0,28,0,0.8214285714285714,0.7404275591020069,0.8091556907730313,0.06872813167102443,True
Аптека,количество в упаковке,75,0,590,18,75,608,1.0,0.9272748227972109,0.9954546764248257,0.0681798536276148,True
Обувь,"высота каблука, см",167,5,23,43,172,66,0.9709302325581395,0.901695110701107,0.9689744381553985,0.06727932745429155,True
Аптека,материал линз,426,2,8388,36,428,8424,0.9953271028037384,0.9272748227972109,0.9945412797089748,0.06726645691176392,True
Аптека,пол,9385,54,695,7,9439,702,0.9942790549846382,0.9272748227972109,0.994243580486445,0.06696875768923416,True
Строительство и ремонт,зернистость,25,4,2,0,29,2,0.8620689655172413,0.7837222870478413,0.8505473951540943,0.06682510810625297,True
Музыкальные инструменты,цвет товара,830,152,512,226,982,738,0.845213849287169,0.7780700705488461,0.8448737085640773,0.06680363801523115,True
Аптека,аддидация,53,0,0,0,53,0,1.0,0.9272748227972109,0.9937305881721733,0.06645576537496245,True
Мебель,материал столешницы,462,43,715,104,505,819,0.9148514851485149,0.8491264607196576,0.9142071221639183,0.06508066144426072,True
Мебель,цвет товара,6012,569,1291,328,6581,1619,0.913538975839538,0.8491264607196576,0.913490074750015,0.0643636140303574,True
Обувь,коллекция,1261,44,130,11,1305,141,0.9662835249042145,0.901695110701107,0.9660370042393173,0.06434189353821029,True
Галантерея и аксессуары,гарантийный срок,1861,217,329,44,2078,373,0.8955726660250241,0.8319352378717663,0.8954199117567734,0.06348467388500711,True
Мебель,количество полок,449,43,640,59,492,699,0.9126016260162602,0.8491264607196576,0.9119630428643829,0.06283658214472532,True
Музыкальные инструменты,"количество в упаковке, шт",23,4,41,7,27,48,0.8518518518518519,0.7780700705488461,0.8403234485232572,0.062253377974411106,True
Мебель,"глубина, см",442,43,314,111,485,425,0.911340206185567,0.8491264607196576,0.9107053720481598,0.06157891132850224,True
Обувь,внутренний материал,836,33,454,78,869,532,0.9620253164556962,0.901695110701107,0.9616801779788392,0.05998506727773223,True
Мебель,особенности,1820,182,85,15,2002,100,0.9090909090909091,0.8491264607196576,0.908941520828898,0.059815060109240425,True
Автотовары,типоразмер,100,13,15,3,113,18,0.8849557522123894,0.8248735197642743,0.8824098949052658,0.057536375140991525,True
