similarity,left_category,left_concept,left_attribute_role,left_value_family,right_concept,right_attribute_role,right_value_family,manual_same_attribute,manual_notes
0.9381095767021179,Спорт и отдых,weight,вес товара без упаковки г | вес. г,mass,weight,вес с упаковкой кг | вес товара. г,mass,,
0.7700145840644836,Детские товары,product_type,вид сюжетно-ролевой игрушки | тип,text,product_type,тип,text,,
0.9656156897544861,Канцелярские товары,quantity,количество в упаковке. шт | комплектация,count,quantity,количество в наборе | количество в упаковке. шт,count,,
0.9797123670578003,Товары для животных,dog_breed_size,порода собаки | размер породы,text,breed_size,порода собаки | размер животного,text,,
0.9466348886489868,Бытовая химия,purpose,назначение моющего. чистящего средства | назначение средства,text,purpose,назначение моющего. чистящего средства,text,,
0.9616974592208862,Музыкальные инструменты,weight,вес товара. г | вес. кг,mass,weight,вес | вес товара. г,mass,,
0.7972872853279114,Дом и сад,plant_type,вид растений,text,flower_type,цветы,text,,
0.9703764319419861,Бытовая химия,target_surface,назначение моющего. чистящего средства | тип средства,text,target_surface,назначение | назначение моющего. чистящего средства,text,,
0.9356106519699097,Строительство и ремонт,weight,вес. кг,mass,weight,вес с упаковкой кг | вес с упаковкой. г,mass,,
0.9304001927375793,Бытовая химия,quantity,количество упаковок,count,quantity,количество в упаковке | комплектация,count,,
0.8034970164299011,Бытовая химия,target_insect,вид вредителя | вид насекомых,text,target_pest,из названия товара,text,,
0.9198735356330872,Дом и сад,material,материал наполнителя | состав,text,material,материал | материал основы,text,,
0.9828401207923889,Музыкальные инструменты,material,материал муз. инструмента/аксессуара,text,material,материал | материал муз. инструмента/аксессуара,text,,
0.8467240333557129,Красота и гигиена,classification,группа аромата | классификация аромата,text,fragrance_group,группа аромата | состав,text,,
0.852501630783081,Хобби и творчество,dimensions,длина упаковки | размеры. мм,length,unit_size,ширина предмета,length,,
0.9362499713897705,Спорт и отдых,diameter,внешний диаметр предмета | диаметр диска. см,length,diameter,диаметр предмета | диаметр. см,length,,
0.9124003052711487,Продукты питания,flavor,вкус сиропа,text,flavor,из названия товара,text,,
0.9514562487602234,Детские товары,age_min,возраст | минимальный возраст ребенка,age,age_range,возраст от | минимальный возраст ребенка,age,,
0.7765190005302429,Товары для животных,package_quantity,из названия товара,count,package_count,единиц в одном товаре | количество упаковок,count,,
0.7729490399360657,Бытовая химия,target_insect,вид вредителя | вид насекомых,text,target_pest_form,из названия товара,text,,
0.9693149924278259,Хобби и творчество,material,материалы набора,text,material,материал изделия | материалы набора,text,,
0.9112244844436646,Красота и гигиена,color,цвет,numeric,color,из названия товара,numeric,,
0.8382707834243774,Дом и сад,design,из названия товара,text,design_pattern,дизайн,text,,
0.9111339449882507,Хобби и творчество,material,из названия товара,text,material,материал | материал изделия,text,,
0.9959089756011963,Красота и гигиена,massage_zone,зона массажа | зоны массажа,mass,massage_zones,зона массажа | зоны массажа,mass,,
0.9182143211364746,Музыкальные инструменты,quantity,количество в упаковке. шт | комплектация,count,quantity,количество в наборе | комплектация,count,,
0.9212065935134888,Дом и сад,color,цвет рукояти | цвет товара,text,color,название цвета | цвет товара,text,,
0.932868242263794,Музыкальные инструменты,instrument_type,тип | тип инструмента,text,instrument_type,назначение | тип,text,,
0.956967830657959,Бытовая химия,form_release,состав набора | форма выпуска средства,text,form_release,форма выпуска средства,text,,
0.8922591209411621,Дом и сад,material,материал рамки | состав,text,material,состав материала | тип ткани,text,,
0.9613028168678284,Детские товары,min_age,возрастные ограничения | минимальный возраст ребенка,age,age_min,минимальный возраст ребенка | минимальный рекомендуемый возраст,age,,
0.8818752765655518,Канцелярские товары,dimensions_format,внешние размеры. мм | размеры вхшхг,length,dimensions,длина. в сантиметрах | размеры. мм,length,,
0.8874220252037048,Дом и сад,color,из названия товара,text,color,материал | цвет товара,text,,
0.8635375499725342,Мебель,material,материал | материал корпуса,text,material,материал | материал фасада,text,,
0.9665648341178894,Красота и гигиена,quantity,количество капель | количество предметов в упаковке,count,quantity,количество предметов в упаковке,count,,
0.7819725871086121,Аптека,optical_power_sph,оптическая сила | оптическая сила sph,power,optical_power,оптическая сила,power,,
0.9509761929512024,Канцелярские товары,color_count,количество цветов шт.,count,color_count,количество цветов шт. | количество цветов. шт,count,,
0.9701838493347168,Канцелярские товары,quantity,количество в упаковке. шт | состав,count,quantity,количество в наборе | количество в упаковке. шт.,count,,
0.779948353767395,Аптека,size,размер | российский размер,volume,size,из названия товара,volume,,
0.895267903804779,Детские товары,height,высота игрушки. см | габариты транспортной упаковки,length,height,высота игрушки. см | глубина предмета,length,,
0.9201887845993042,Строительство и ремонт,quantity,количество предметов в упаковке,count,quantity,кол-во в упаковке | комплектация,count,,
0.912034273147583,Товары для животных,target_animal_age,из названия товара,age,target_age,возраст животного,age,,
0.8762489557266235,Товары для животных,package_weight,вес одного предмета г | вес товара. г,mass,weight_unit,вес одного предмета г | вес товара. г,mass,,
0.8945134282112122,Дом и сад,width,ширина | ширина. м,length,width,ширина предмета,length,,
0.9374727010726929,Бытовая химия,scent,аромат освежителя | название аромата,text,scent,название аромата,text,,
0.8931203484535217,Канцелярские товары,quantity,количество в упаковке. шт.,count,quantity,комплектация,count,,
0.8751785159111023,Красота и гигиена,weight,вес товара без упаковки г | объем. мл,volume,weight,вес товара. г | объем товара,volume,,
0.7650442719459534,Мебель,material_frame,исполнение | материал сиденья,text,material,материал рамы | основной материал,text,,
0.9635576605796814,Строительство и ремонт,length,длина. мм | длина. см,length,length,длина | длина. м,length,,
0.8871073722839355,Ювелирные изделия,insert_material,вставка | состав ювелирного изделия,text,insert_stone,вставка | состав ювелирного изделия,text,,
0.770624041557312,Электроника,net_weight,вес товара. г | вес. в кг,mass,weight,вес товара без упаковки г | вес товара. г,mass,,
0.8576915860176086,Электроника,color,из названия товара,text,color,цвет картриджа/чернил,text,,
0.8223615288734436,Товары для животных,target_animal,предназначено для,text,intended_animal,вид животного | предназначено для,text,,
0.946491003036499,Спорт и отдых,diameter,толщина. мм,length,diameter,толщина лески | толщина. мм,length,,
0.8408963084220886,Автотовары,brand,бренд | модель,numeric,brand,бренд | цвет товара,numeric,,
0.9545832872390747,Строительство и ремонт,color,цвет корпуса | цвет товара,text,color,цвет профиля | цвет товара,text,,
0.9142005443572998,Дом и сад,weight,вес с упаковкой кг | вес товара. г,mass,weight,вес без упаковки кг | вес. кг,mass,,
0.9762011170387268,Ювелирные изделия,gold_color,материал изделия | состав ювелирного изделия,text,gold_color,состав ювелирного изделия,text,,
0.9879346489906311,Красота и гигиена,country_of_origin,страна производства | страна-изготовитель,count,country_of_origin,страна-изготовитель | страна-производитель,count,,
0.9169729948043823,Товары для животных,volume,вес товара. г | объем,volume,volume_or_weight,из названия товара,volume,,
0.8564648628234863,Обувь,material,материал | материал верха,text,material,материал ботинка | материалы внутреннего ботинка,text,,
0.7538187503814697,Спорт и отдых,dimensions,внешний размер дхшхв. см,numeric,size,размер | размер крючка. n,numeric,,
0.8041850328445435,Дом и сад,decoration_shape,из названия товара,text,decoration_theme,из названия товара,text,,
0.8953054547309875,Спорт и отдых,product_model,из названия товара,text,model,из названия товара,text,,
0.7503400444984436,Электроника,ram,оперативная память | оперативная память ram,data,memory_type,тип памяти,data,,
0.9122957587242126,Электроника,package_quantity,из названия товара,count,package_quantity,единиц в одном товаре,count,,
0.9301517009735107,Товары для животных,color,цвет товара,text,color,цвет свечения | цвет товара,text,,
0.7686970233917236,Товары для животных,flavor,вкус,text,taste,вид вкуса корма | вкус корма для животных,text,,
0.7964214086532593,Канцелярские товары,target_age_group,возрастная группа | пол ребенка,age,gender,возрастная группа | пол ребенка,age,,
0.8951935768127441,Дом и сад,quantity,количество в упаковке. шт | комплектация,count,quantity,количество. шт.,count,,
0.9087636470794678,Аптека,product_type,из названия товара,text,product_type,тип | тип аксессуара,text,,
0.9679642915725708,Дом и сад,width,ширина предмета | ширина. см,length,width,ширина предмета,length,,
0.7538613677024841,Спорт и отдых,wheel_size,из названия товара,length,tire_width,ширина. см,length,,
0.7987874150276184,Детские товары,product_type,тип | тип оружия,text,product_type,тип,text,,
0.9539565443992615,Музыкальные инструменты,material,материал оплетки | тип,text,material,материал изделия | тип,text,,
0.8787752389907837,Дом и сад,placement_type,размещение,text,placement,размещение,text,,
0.9367232918739319,Канцелярские товары,dimensions,длина | размеры. мм,length,dimensions,высота предмета | размеры. мм,length,,
0.8632696866989136,Мебель,color,цвет столешницы | цвет товара,text,color,название цвета | цвет товара,text,,
0.9431169033050537,Автотовары,vehicle_model,из названия товара,numeric,vehicle_model,модель автомобиля,numeric,,
0.9037942290306091,Бытовая химия,packaging_material,из названия товара,text,packaging_type,из названия товара,text,,
0.9729697108268738,Мебель,weight,вес с упаковкой кг | вес товара. г,mass,weight,вес товара. г | вес. кг,mass,,
0.9171526432037354,Хобби и творчество,age_limit,минимальный возраст | минимальный возраст ребенка,age,recommended_age,минимальный возраст ребенка | рекомендуемый возраст,age,,
0.899042010307312,Спорт и отдых,weight,вес без упаковки кг,mass,weight,вес. кг,mass,,
0.8039001822471619,Аптека,package_quantity,количество предметов в упаковке,count,quantity,количество в упаковке. шт,count,,
0.8134939074516296,Детские товары,height,высота | размер упаковки длина х ширина х высота . см,length,height,высота игрушки. см | высота/длина,length,,
0.8101877570152283,Хобби и творчество,country_of_origin,из названия товара,count,country_of_origin,бренд | страна-изготовитель,count,,
0.9449025988578796,Спорт и отдых,weight,вес товара. г | вес. в граммах,mass,weight,вес самоката | вес. кг,mass,,
0.9232742190361023,Канцелярские товары,color,тип | цвет товара,text,color,обложка | цвет товара,text,,
0.7626378536224365,Канцелярские товары,model_code,артикул производителя,identifier,product_code,комплектация,identifier,,
0.927360475063324,Строительство и ремонт,voltage,напряжение | номинальное напряжение. в,numeric,output_voltage,выходное напряжение. в | напряжение,numeric,,
0.8479529023170471,Канцелярские товары,format,формат конверта,length,format,формат,length,,
0.8824383020401001,Хобби и творчество,size,комплектация,length,size,размеры. мм,length,,
0.9339339137077332,Автотовары,car_brand,из названия товара,text,car_brand,марка тс,text,,
0.9118397831916809,Канцелярские товары,color,тип | цвет товара,text,product_color,цвет товара,text,,
0.8761850595474243,Продукты питания,carbonation_level,степень газирования | степень газирования воды,text,carbonation,газирование,text,,
0.8257638812065125,Товары для животных,neck_circumference_max,обхват шеи | обхват шеи максимальный. cм,length,neck_circumference,обхват шеи. см | размер животного,length,,
0.9680300354957581,Бытовая химия,volume_unit,вес/объем | объем. мл,volume,volume_unit,объем | объем. мл,volume,,
0.9777030944824219,Аптека,volume,объем мл | объем. мл,volume,volume,объем средства | объем. мл,volume,,
0.9702670574188232,Строительство и ремонт,diameter,диаметр. мм | комплектация,length,diameter,диаметр сверл. мм,length,,
0.8913548588752747,Спорт и отдых,color,цвет товара,numeric,color,название цвета | цвет производителя,numeric,,
0.8838169574737549,Красота и гигиена,volume,объем,volume,volume_unit,объем. в миллилитрах | объем. мл,volume,,
0.8286353349685669,Детские товары,product_model,из названия товара,text,product_type_detail,из названия товара,text,,
0.9321938753128052,Автотовары,compatible_car_model,модель,numeric,compatible_vehicle_model,модель,numeric,,
0.8766776919364929,Автотовары,vehicle_model,модель,text,model_car,вид техники | модель автомобиля,text,,
0.9736753702163696,Хобби и творчество,material,материал,text,material,материал | материалы набора,text,,
0.7786350250244141,Товары для животных,size_range,из названия товара,length,height,из названия товара,length,,
0.9147748947143555,Дом и сад,product_type,тип | тип благовоний,text,product_type,из названия товара,text,,
0.9538590908050537,Хобби и творчество,dimensions,размеры. мм | ширина предмета,length,dimensions,размеры дхшхв | размеры. мм,length,,
0.9002111554145813,Электроника,device_model,подходит для устройств | совместимость,numeric,device_model,модель устройства,numeric,,
0.8630057573318481,Строительство и ремонт,weight,вес без упаковки кг | вес с упаковкой. г,mass,weight,вес брутто | вес товара. г,mass,,
0.8353478312492371,Электроника,package_contents,комплектация,count,package_contents,количество предметов в упаковке | комплектация,count,,
0.9370381832122803,Спорт и отдых,diameter,толщина. мм,length,diameter,толщина лески,length,,
0.7919132709503174,Спорт и отдых,diameter,диаметр колес дюймы | диаметр колес. дюймы,length,tire_width,ширина покрышек | ширина. см,length,,
0.8346901535987854,Строительство и ремонт,length,длина проводника м,length,length,длина трубы. м,length,,
0.7807939052581787,Электроника,power,из названия товара,power,power_va,мощность устройства ва,power,,
0.8224575519561768,Дом и сад,quantity,количество предметов,count,quantity,количество в комплекте. шт. | количество в наборе,count,,
0.9369208216667175,Автотовары,installation_side,место установки | мост установки,text,installation_side,мост установки,text,,
0.9119614362716675,Канцелярские товары,product_type,из названия товара,text,product_type,тип аксессуаров,text,,
0.7896638512611389,Товары для животных,packaging_units,количество заводских упаковок | количество предметов в упаковке,count,packaging,комплектация,count,,
0.908786952495575,Хобби и творчество,quantity,из названия товара,count,quantity,количество в упаковке,count,,
0.8683111071586609,Спорт и отдых,package_quantity,единиц в одном товаре | количество предметов в упаковке,count,package_quantity,из названия товара,count,,
0.9351710081100464,Музыкальные инструменты,material,цвет товара,text,material,цвет,text,,
0.9189063906669617,Бытовая химия,quantity,количество штук в упаковке | комплектация,count,quantity,количество упаковок,count,,
0.9431799054145813,Электроника,cable_length,длина. м | модель,length,cable_length,длина кабеля питания. м,length,,
0.9325657486915588,Автотовары,car_brand,бренд | марка автомобиля,text,vehicle_brand,марка автомобиля | марка тс,text,,
0.9161406755447388,Дом и сад,width,ширина штор | ширина. см,length,width,ширина предмета,length,,
0.9181760549545288,Канцелярские товары,year,из названия товара,numeric,year,год,numeric,,
0.8187049627304077,Аптека,package_quantity_unit,количество пар в упаковке,count,quantity,количество в упаковке. шт | количество картриджей,count,,
0.8884822130203247,Детские товары,color,название цвета | цвет,text,color,бренд | цвет,text,,
0.866273045539856,Товары для животных,model,модель,numeric,model,из названия товара,numeric,,
0.8720255494117737,Товары для животных,material,состав | состав наполнителя,text,material,материал,text,,
0.9360709190368652,Спорт и отдых,weight,вес одной шт.. г,mass,weight,вес одного предмета г | вес одной шт.. г,mass,,
0.948606014251709,Строительство и ремонт,inner_diameter,внутренний диаметр шайбы | внутренний диаметр. мм,length,inner_diameter,внутренний диаметр. мм,length,,
0.9756202697753906,Красота и гигиена,package_quantity,количество в упаковке. шт | количество предметов в упаковке,count,package_quantity,количество в упаковке | количество в упаковке. шт,count,,
0.791933536529541,Дом и сад,volume,объем кастрюли,volume,volume,вес товара с упаковкой г | объем. мл,volume,,
0.8640186190605164,Хобби и творчество,shape,размеры дхш | форма пазла,text,shape,форма холста,text,,
0.9906188249588013,Обувь,size,российский размер | российский размер обуви,numeric,size_ru,российский размер | российский размер обуви,numeric,,
0.9393557906150818,Дом и сад,color,цвет товара | циферблат,text,color,цвет рамы | цвет товара,text,,
0.9525690078735352,Детские товары,min_age,возраст | минимальный возраст ребенка,age,age_limit,возраст | минимальный возраст ребенка,age,,
0.9718431830406189,Дом и сад,color,цвет товара,text,color,основной цвет | цвет товара,text,,
0.8492426872253418,Детские товары,width,ширина упаковки | ширина. см,length,dimensions,размеры. мм | ширина предмета,length,,
0.9038119316101074,Красота и гигиена,quantity,единиц в одном товаре | кол-во в упаковке,count,quantity,количество в упаковке. шт | комплектация,count,,
0.9252792000770569,Канцелярские товары,pencil_type,из названия товара,text,pencil_type,вид карандаша | тип карандашей,text,,
0.9321088194847107,Товары для животных,volume,объем. л,volume,volume,объем мл,volume,,
0.9847217798233032,Хобби и творчество,age_range,возрастные ограничения | минимальный возраст ребенка,age,age_range,возраст | минимальный возраст ребенка,age,,
0.9434065818786621,Электроника,compatibility,подходит для устройств | совместимость,numeric,compatible_device,подходит для устройств | совместимость,numeric,,
0.8979766964912415,Красота и гигиена,quantity,количество в упаковке. шт | комплектация,count,package_quantity,количество в упаковке. шт | количество предметов в упаковке,count,,
0.8977596759796143,Спорт и отдых,weight,вес одной шт.. г | вес товара без упаковки г,mass,weight,вес грузов г,mass,,
0.7511924505233765,Бытовая химия,product_type,тип | тип продукта,text,type,назначение | тип,text,,
0.9095041751861572,Электроника,capacity,емкость | емкость. ма ч,volume,capacity_description,емкость | емкость картриджа,volume,,
0.8668646812438965,Спорт и отдых,scent,вкус ароматизатора,text,flavor,аромат | вкус приманки,text,,
0.8955041766166687,Музыкальные инструменты,diameter,диаметр. см,length,width,размеры. мм | ширина предмета,length,,
0.8060751557350159,Автотовары,compatible_vehicle_model,из названия товара,text,car_model,из названия товара,text,,
0.9326682090759277,Спорт и отдых,weight,вес товара. г | вес. кг,mass,weight,вес одной шт.. кг,mass,,
0.8838497400283813,Мебель,material,материал изделия,text,material,материал корпуса | материал фурнитуры,text,,
0.8937852382659912,Электроника,page_yield,максимальный ресурс | ресурс,numeric,page_yield,ресурс,numeric,,
0.9559321403503418,Красота и гигиена,scent_classification,классификация аромата | семейство,text,scent_classification,группа ароматов | классификация аромата,text,,
0.864320695400238,Ювелирные изделия,design_style,из названия товара,text,design,дизайн,text,,
0.8908425569534302,Дом и сад,weight,вес товара. г | вес. г,mass,weight,из названия товара,mass,,
0.9281665086746216,Продукты питания,flavor_profile,из названия товара,text,flavor,из названия товара,text,,
0.9177019000053406,Дом и сад,material,материал наполнителя | состав,text,material,вставка,text,,
0.9682593941688538,Дом и сад,compatible_stoves,совместимые плиты | тип варочной поверхности,text,compatible_stoves,совместимые плиты | тип варочной панели,text,,
0.7757733464241028,Детские товары,product_type,вид транспорта для кукол,text,product_type,вид интерактивной игрушки,text,,
0.8178642988204956,Дом и сад,package_quantity,комплектация,count,packaging_quantity,комплектация,count,,
0.8962896466255188,Товары для животных,dimensions,ширина предмета,length,dimensions,длина упаковки. см | размеры. мм,length,,
0.9020154476165771,Бытовая химия,quantity,количество в упаковке. шт,count,quantity,количество в упаковке | общее количество капсул/таблеток,count,,
0.8804206252098083,Продукты питания,flavor,вкус,text,flavor,вкус | вкус энергетик,text,,
